
[00:00:00.000 --> 00:00:04.880]  各位我們又來到聖地這個地方了
[00:00:04.880 --> 00:00:06.160]  今天是第三集
[00:00:06.160 --> 00:00:09.600]  第一集我們去了白尼恆耶穌出生的地方
[00:00:09.600 --> 00:00:15.760]  第二集我們去了那撒勒,就是耶穌成長的地方
[00:00:15.760 --> 00:00:18.240]  在那裡大概有三十年的時間
[00:00:18.240 --> 00:00:20.960]  然後才出來公開傳道
[00:00:20.960 --> 00:00:22.640]  其實在公開傳道之前
[00:00:22.640 --> 00:00:25.360]  他的表哥施洗約翰
[00:00:25.360 --> 00:00:29.440]  其實已經在猶太地的約旦河一帶開始施洗
[00:00:29.440 --> 00:00:31.680]  叫人悔改受洗
[00:00:31.680 --> 00:00:36.080]  然後預備天國預備彌賽亞的里林
[00:00:36.080 --> 00:00:38.400]  約翰福音一章二十八節
[00:00:38.400 --> 00:00:42.640]  這是在約旦河外約旦河東伯大利
[00:00:42.640 --> 00:00:45.680]  Bethany約翰施洗的地方所作的見證
[00:00:45.680 --> 00:00:50.080]  伯大利約旦河東的伯大利叫做Kasar al-Yahu
[00:00:50.080 --> 00:00:52.320]  意思是說The Tower of the Jews
[00:00:52.320 --> 00:00:54.800]  就是猶太人的亡流
[00:00:54.800 --> 00:00:58.240]  在耶利哥爾東十公里或者五六英里左右
[00:00:58.240 --> 00:01:03.040]  因為耶穌受洗是耶穌事蹟裡面最重要的一個
[00:01:03.040 --> 00:01:04.880]  四福音都有記載
[00:01:04.880 --> 00:01:06.800]  所以自四世紀以來
[00:01:06.800 --> 00:01:12.240]  很多教會和宗派會來到Kasar al-Yahu去朝聖
[00:01:12.240 --> 00:01:15.840]  設立很多教堂和修道院
[00:01:15.840 --> 00:01:18.400]  來紀念耶穌受洗的事蹟
[00:01:18.400 --> 00:01:21.440]  所以這裡又叫修道院之地
[00:01:21.440 --> 00:01:22.720]  Land of Monasteries
[00:01:22.720 --> 00:01:25.760]  因為有很多修道院在這裡
[00:01:25.760 --> 00:01:30.320]  現在看到的這一帶至少有七間舊教堂
[00:01:30.320 --> 00:01:33.520]  不過1967年以色列六日戰的時候
[00:01:33.520 --> 00:01:35.920]  以色列佔據了這個地方
[00:01:35.920 --> 00:01:39.440]  因為戰局一直很動盪
[00:01:39.440 --> 00:01:44.800]  所以在這裡以軍埋設了三千多個地雷
[00:01:44.800 --> 00:01:48.240]  所以過去五十年都成為軍事重地
[00:01:48.240 --> 00:01:52.320]  朝聖者和遊人都來不了這個地方
[00:01:52.320 --> 00:01:55.360]  直到2011年才逐步開放
[00:01:55.360 --> 00:01:59.440]  所以你看到有不少地方仍然被攔住
[00:01:59.440 --> 00:02:03.360]  很多地方都有地雷的告示牌
[00:02:03.360 --> 00:02:08.720]  直到2019年政府才決心要清理所有地雷
[00:02:08.720 --> 00:02:13.440]  所以現在已經差不多全部開放了
[00:02:13.440 --> 00:02:19.920]  你看到很多教徒來自世界各地來這個地方受洗
[00:02:19.920 --> 00:02:23.520]  有些第一次 有些是重新受洗
[00:02:23.520 --> 00:02:27.360]  這裡我們看到一些埃塞俄比亞裔的信徒
[00:02:27.360 --> 00:02:30.320]  受洗是一個很隆重的儀式
[00:02:30.320 --> 00:02:32.800]  所以他們在這裡慶祝
[00:02:32.800 --> 00:02:36.960]  然後我們看到下面就是約旦河
[00:02:36.960 --> 00:02:40.560]  對面就是今天的約旦王國
[00:02:40.560 --> 00:02:43.920]  只是一條小河去分界
[00:02:43.920 --> 00:02:48.720]  對面就是聖經所說的約旦河東或約旦河外
[00:02:48.720 --> 00:02:50.720]  Beyond the Jordan
[00:02:50.720 --> 00:02:54.720]  也有古教去紀念聖經的事蹟
[00:02:54.720 --> 00:02:55.920]  施洗約翰的事蹟
[00:02:55.920 --> 00:02:57.920]  或舊約先知以利亞
[00:02:57.920 --> 00:02:59.920]  你記得在這裡是升天的
[00:02:59.920 --> 00:03:04.320]  我所說的所謂約旦河東和所謂約旦河外
[00:03:04.320 --> 00:03:05.120]  為什麼呢?
[00:03:05.120 --> 00:03:10.560]  因為大家知道河流在平原的地方不停地改道
[00:03:10.560 --> 00:03:16.960]  歷史上早期的文獻已經記錄了約旦河改道好幾次
[00:03:16.960 --> 00:03:21.680]  所以到底我們現在站的地方是約旦河東還是約旦河西
[00:03:21.680 --> 00:03:24.960]  要視乎考古的發現
[00:03:24.960 --> 00:03:27.520]  但因為這裡仍然是非常敏感的地方
[00:03:27.520 --> 00:03:30.800]  所以還沒有這樣的研究
[00:03:30.800 --> 00:03:34.320]  這裡我們和兩個以色列的女兵聊天
[00:03:34.320 --> 00:03:39.120]  河的兩邊都是打手的森嚴
[00:03:39.120 --> 00:03:42.720]  今天的約旦河有兩個可以公開受洗的地方
[00:03:42.720 --> 00:03:45.280]  第一個就是這裡,其實是阿爾也河
[00:03:45.280 --> 00:03:48.320]  另一個地方就是在北邊的,叫做雅典尼
[00:03:48.320 --> 00:03:50.320]  就是小約旦河的意思
[00:03:50.320 --> 00:03:55.760]  北邊加里里海出約旦河的地方就是雅典尼的地方
[00:03:55.760 --> 00:03:59.520]  1981年以色列政府特別開設
[00:03:59.520 --> 00:04:04.480]  因為這裡南面的地方是軍事重地
[00:04:04.480 --> 00:04:06.480]  所以開設了另一個地方
[00:04:06.480 --> 00:04:10.800]  那裡你可以看到雅典尼的水因為在北邊
[00:04:10.800 --> 00:04:13.440]  所以清潔很多
[00:04:13.440 --> 00:04:16.640]  也有較多教會去那個地方
[00:04:16.640 --> 00:04:20.720]  現在這一處是阿爾也河
[00:04:20.720 --> 00:04:22.720]  就是約旦河的下流
[00:04:22.720 --> 00:04:24.720]  所以水的泥比較多
[00:04:24.720 --> 00:04:27.520]  加上有很多分流
[00:04:27.520 --> 00:04:29.520]  有工業污染等等
[00:04:29.520 --> 00:04:31.520]  水就比較足
[00:04:31.520 --> 00:04:34.880]  相片可以看到我只是浸腳
[00:04:34.880 --> 00:04:36.880]  然後就洗腳
[00:04:36.880 --> 00:04:38.880]  不要下水,我沒有他那麼大膽
[00:04:38.880 --> 00:04:40.880]  小心一點會比較好
[00:04:40.880 --> 00:04:49.840]  (音樂)
[00:04:49.840 --> 00:04:53.680]  來到這個地方是施洗約翰開始傳道的地方
[00:04:53.680 --> 00:04:55.680]  猶太的抗野的其中一部分
[00:04:55.680 --> 00:04:59.680]  信息的中心是來自以塞亞書第43章
[00:04:59.680 --> 00:05:01.680]  馬達福音第3章記載
[00:05:01.680 --> 00:05:03.680]  他說那時施洗的約翰出來
[00:05:03.680 --> 00:05:06.720]  在猶太的抗野傳道說
[00:05:06.720 --> 00:05:09.280]  天國近了,你們應當悔改
[00:05:09.280 --> 00:05:11.280]  先知以塞亞所說
[00:05:11.280 --> 00:05:14.080]  在抗野有呼喊者的聲音
[00:05:14.080 --> 00:05:16.480]  預備主的道收藉他的路
[00:05:16.480 --> 00:05:21.120]  所以先知以塞亞所預言來到的先鋒就是施洗約翰
[00:05:21.120 --> 00:05:23.120]  在約旦河東的抗野
[00:05:23.120 --> 00:05:26.400]  其實有很多聖經故事都是跟這裡有關
[00:05:26.400 --> 00:05:28.800]  譬如你想起舊約的先知
[00:05:28.800 --> 00:05:31.520]  以利亞在這裡升天
[00:05:31.520 --> 00:05:34.880]  神應許末後天國來到的時候
[00:05:34.880 --> 00:05:36.880]  以利亞會再來
[00:05:36.880 --> 00:05:40.880]  那時人們會迴轉成為新的神國的子民
[00:05:40.880 --> 00:05:42.160]  新的以色列民
[00:05:42.160 --> 00:05:46.800]  怪不得施洗約翰的裝束是很像以利亞
[00:05:46.800 --> 00:05:49.600]  除了以利亞的故事在這裡發生
[00:05:49.600 --> 00:05:51.120]  跟施洗約翰有關
[00:05:51.120 --> 00:05:58.080]  這裡約旦河的渡口也是昔日約書亞帶領以色列人
[00:05:58.080 --> 00:06:00.080]  過約旦河
[00:06:00.080 --> 00:06:02.960]  入主迦南去建立天國的時候
[00:06:02.960 --> 00:06:06.480]  這些都是聖經裡面舊約先知的預言
[00:06:06.480 --> 00:06:07.680]  上帝的應許
[00:06:07.680 --> 00:06:09.040]  神災來的時候
[00:06:09.040 --> 00:06:12.320]  神國要建立的時候的景象
