
[00:00:00.000 --> 00:00:01.480]   - Thank you everyone.
[00:00:01.480 --> 00:00:02.320]   Mark.
[00:00:02.320 --> 00:00:06.360]   - Good morning to all of you.
[00:00:06.360 --> 00:00:09.480]   And we're gonna turn to the word of God today.
[00:00:09.480 --> 00:00:11.520]   And we're gonna start a new series.
[00:00:11.520 --> 00:00:14.640]   And this new series of messages
[00:00:14.640 --> 00:00:17.840]   is on new heaven and new earth.
[00:00:17.840 --> 00:00:19.560]   New heaven, new earth.
[00:00:19.560 --> 00:00:21.820]   If you know the Bible a little bit,
[00:00:21.820 --> 00:00:25.420]   you should know that the Bible has quite a bit
[00:00:25.420 --> 00:00:29.680]   to say about our future, the conclusion.
[00:00:29.680 --> 00:00:34.680]   Just imagine there's a song or there's a great musical piece.
[00:00:34.680 --> 00:00:41.240]   When you're playing along and listen along the song
[00:00:41.240 --> 00:00:44.240]   or the musical piece, it's going somewhere, right?
[00:00:44.240 --> 00:00:47.080]   It's going somewhere, it's going to some conclusion
[00:00:47.080 --> 00:00:48.700]   or some coda.
[00:00:48.700 --> 00:00:50.600]   This is what the Bible says.
[00:00:50.600 --> 00:00:55.120]   The Bible, the first two chapters is on the first creation.
[00:00:55.120 --> 00:00:58.420]   And the last two chapters is on the final,
[00:00:58.420 --> 00:01:01.080]   new heaven and new earth, the new creation.
[00:01:01.080 --> 00:01:04.120]   So the Bible, if you read from cover to cover,
[00:01:04.120 --> 00:01:06.600]   you should know there's a grand story.
[00:01:06.600 --> 00:01:08.280]   It going from the first creation,
[00:01:08.280 --> 00:01:11.880]   which is our current life and creation,
[00:01:11.880 --> 00:01:16.000]   and it's going somewhere in the final destination.
[00:01:16.000 --> 00:01:17.880]   It's like going on a journey.
[00:01:17.880 --> 00:01:20.120]   You're taking different turns
[00:01:20.120 --> 00:01:22.260]   and different detours in between.
[00:01:22.260 --> 00:01:26.680]   However, there was a final destination going toward.
[00:01:27.540 --> 00:01:31.160]   That is what the biblical story and biblical worldview.
[00:01:31.160 --> 00:01:34.200]   We need to understand this so that we know
[00:01:34.200 --> 00:01:38.800]   where our story fits into God's whole grand story.
[00:01:38.800 --> 00:01:41.160]   And in the middle of it, first creation,
[00:01:41.160 --> 00:01:43.920]   and then the last creation, the new creation,
[00:01:43.920 --> 00:01:47.720]   in between is what Jesus Christ did for us.
[00:01:47.720 --> 00:01:51.880]   Jesus came to human history and he died on the cross,
[00:01:51.880 --> 00:01:53.840]   sacrificed himself to redeem us
[00:01:53.840 --> 00:01:56.260]   so that we can be the people of God.
