
[00:00:00.000 --> 00:00:03.040]  我們來到浩劫重生的第八次最後一次
[00:00:03.040 --> 00:00:06.040]  今次我們仍然是看舊約的先知書
[00:00:06.040 --> 00:00:08.280]  我們看一本書叫做耶利米書
[00:00:08.280 --> 00:00:10.480]  這裡記載一個叫做耶利米的人
[00:00:10.480 --> 00:00:12.480]  他做先知的時候的經歷
[00:00:12.480 --> 00:00:13.980]  他的講道
[00:00:13.980 --> 00:00:15.480]  他的侍奉的生涯
[00:00:15.480 --> 00:00:19.680]  耶利米有另一個綽號叫做淚眼先知
[00:00:19.680 --> 00:00:20.680]  哭泣的先知
[00:00:20.680 --> 00:00:22.180]  weeping prophet
[00:00:22.180 --> 00:00:24.680]  為什麼呢?因為他是眼見
[00:00:24.680 --> 00:00:26.980]  他自己的國民不肯悔改
[00:00:26.980 --> 00:00:28.680]  不肯聽上帝的話
[00:00:28.680 --> 00:00:30.680]  最後淪陷亡國
[00:00:30.680 --> 00:00:35.680]  耶利米身處的時代就是一個國破家亡的時候
[00:00:35.680 --> 00:00:38.180]  甚至當時整個近東的世界
[00:00:38.180 --> 00:00:39.480]  國際的關係
[00:00:39.480 --> 00:00:42.680]  都處於一個天下大亂的當中
[00:00:42.680 --> 00:00:45.180]  時勢有多艱難我們可以想象
[00:00:45.180 --> 00:00:47.680]  同樣我們今天面對的世界
[00:00:47.680 --> 00:00:49.680]  我們面對很多不安動盪
[00:00:49.680 --> 00:00:52.680]  或者可以從耶利米書得到一些啟迪
[00:00:52.680 --> 00:00:54.680]  耶利米書很長的
[00:00:54.680 --> 00:00:57.180]  我們主要可以分成兩大段
[00:00:57.680 --> 00:01:00.680]  第一段就是耶利米對自己的人民的說話
[00:01:00.680 --> 00:01:02.680]  第一至第25章
[00:01:02.680 --> 00:01:04.680]  就是警告他們要他們悔改
[00:01:04.680 --> 00:01:05.680]  如果他們不悔改
[00:01:05.680 --> 00:01:07.180]  上帝的審判就會淪落
