
[00:00:00.000 --> 00:00:02.000]  大家好又係到聖經考古嘅時間
[00:00:02.000 --> 00:00:05.000]  我相信大家都聽過Dead Sea Scroll死海古卷
[00:00:05.000 --> 00:00:08.500]  呢個係20世紀裏面最大嘅考古發現嚟嘅
[00:00:08.500 --> 00:00:11.000]  1947年嘅時候出土
[00:00:11.000 --> 00:00:13.500]  其實唔係單單係20世紀最大發現
[00:00:13.500 --> 00:00:17.000]  相信直到今日21世紀
[00:00:17.000 --> 00:00:20.500]  呢個死海古卷發現仍然係聖經考古裏面
[00:00:20.500 --> 00:00:23.000]  其中一個最重要嘅考古發現
[00:00:23.000 --> 00:00:25.000]  今日想同大家分享下
[00:00:25.000 --> 00:00:29.000]  死海古卷發現嘅傳奇故事
[00:00:29.000 --> 00:00:32.500]  死海古卷發現嘅地方係昆蘭
[00:00:32.500 --> 00:00:36.000]  昆蘭呢個名我哋唔係好清楚真正嘅意思
[00:00:36.000 --> 00:00:39.000]  可能係出自一個阿拉伯字詞
[00:00:39.000 --> 00:00:43.000]  意思係邊白或者月亮嘅光嘅意思
[00:00:43.000 --> 00:00:48.000]  呢個意思白白地好似月亮咁嘅光
[00:00:48.000 --> 00:00:53.000]  其實對昆蘭呢個地方昆蘭嚟講係非常之貼切
[00:00:53.000 --> 00:00:57.000]  因為如果你睇下昆蘭呢個地方
[00:00:57.000 --> 00:01:02.000]  就正正係喺死海嘅西北岸嘅猶大礦業
[00:01:02.000 --> 00:01:06.000]  礦業呢一帶嘅石質都係黃黃白白
[00:01:06.000 --> 00:01:07.000]  又係好乾旱
[00:01:07.000 --> 00:01:11.000]  一啲比較軟嘅石灰岩soft limestone
[00:01:11.000 --> 00:01:13.000]  呢度就係寸草不生
[00:01:13.000 --> 00:01:17.000]  你見到呢個相片或者你曾經到過昆蘭嘅時候
[00:01:17.000 --> 00:01:21.000]  你都會明白呢一個地方嗰個嘅環境係點樣
[00:01:21.000 --> 00:01:26.000]  發現第一批死海古卷嘅時間係1947年嘅時候
[00:01:26.000 --> 00:01:31.000]  死海古卷呢一個發現嘅故事係非常之傳奇
[00:01:31.000 --> 00:01:33.000]  並且係非常之曲折
[00:01:33.000 --> 00:01:34.000]  版本亦都好多
[00:01:34.000 --> 00:01:37.000]  將一啲重點今日同大家分享一下
[00:01:37.000 --> 00:01:39.000]  話說喺1947年嘅時候
[00:01:39.000 --> 00:01:42.000]  兩位貝都恩人我哋叫佢做Bedouin
[00:01:42.000 --> 00:01:43.000]  呢啲遊牧民族
[00:01:43.000 --> 00:01:46.000]  其中一位叫做Mohammad Adif
[00:01:46.000 --> 00:01:48.000]  佢綽號叫做豺狼
[00:01:48.000 --> 00:01:52.000]  據說豺狼就喺昆蘭嗰一帶
[00:01:52.000 --> 00:01:55.000]  去到當時搵緊一隻咪羊
[00:01:55.000 --> 00:01:58.000]  以為隻羊仔就躲喺個山洞裏面
[00:01:58.000 --> 00:02:00.000]  於是佢就執起一塊細嘅石頭
[00:02:00.000 --> 00:02:02.000]  佢就掉入去山洞裏面
[00:02:02.000 --> 00:02:05.000]  咁希望將一啲響聲
[00:02:05.000 --> 00:02:08.000]  嚟到佢讓隻羊仔驚嘅時候
[00:02:08.000 --> 00:02:11.000]  佢就從山洞走返出嚟
[00:02:11.000 --> 00:02:14.000]  你見到呢個相片兩位貝都恩人
[00:02:14.000 --> 00:02:16.000]  右邊嗰位就係豺狼
[00:02:16.000 --> 00:02:19.000]  點知豺狼將呢塊小石
[00:02:19.000 --> 00:02:22.000]  掟入去呢個山洞嘅時候
[00:02:22.000 --> 00:02:27.000]  佢聽到嘅就係啞屏破裂嘅聲音
[00:02:27.000 --> 00:02:29.000]  於是佢入去睇下嘅時候
[00:02:29.000 --> 00:02:33.000]  就發現有十個圓形嘅啞屏
[00:02:33.000 --> 00:02:36.000]  八個打開嘅時候係空嘅
[00:02:36.000 --> 00:02:39.000]  第九個只係裏面一啲泥土
[00:02:39.000 --> 00:02:41.000]  第十個打開嘅時候
[00:02:41.000 --> 00:02:46.000]  裏面就藏住三卷古代嘅手抄本
[00:02:46.000 --> 00:02:49.000]  兩卷係有麻布包起
[00:02:49.000 --> 00:02:52.000]  之後呢啲貝都恩人
[00:02:52.000 --> 00:02:54.000]  就喺山洞裏面又再發現
[00:02:54.000 --> 00:02:57.000]  另外四卷嘅手抄本
[00:02:57.000 --> 00:02:59.000]  因為呢啲手抄本
[00:02:59.000 --> 00:03:01.000]  藏咗喺啞屏裏面
