
[00:00:00.000 --> 00:00:08.440]  第五部分 文化古文作需要了解
[00:00:08.440 --> 00:00:12.540]  不只是古代文化 現今文化
[00:00:12.540 --> 00:00:15.100]  如果我們想比對研究的時候
[00:00:15.100 --> 00:00:19.960]  我們知道文化的處境
[00:00:19.960 --> 00:00:26.360]  我們可能會明白多一點聖經和當時的文化的互動
[00:00:26.360 --> 00:00:32.500]  我們說過以色列的文獻 希伯來舊的聖經
[00:00:32.500 --> 00:00:38.140]  有它的處境 有它的文化 有它的文學背景等等
[00:00:38.140 --> 00:00:50.420]  這些都是和其他以色列以外的埃及 巴比倫 亞述所有的背景共通
[00:00:50.420 --> 00:00:57.340]  所以我們找到一些大家寫的東西 討論的東西 方法 手法
[00:00:57.340 --> 00:01:02.460]  是相似的 是絕對是我們預期當中要有的
[00:01:02.460 --> 00:01:07.580]  應該要有的 正如我所說 聖經不是從天而降的
[00:01:07.580 --> 00:01:10.640]  有它自己本身寫作的環境
[00:01:10.640 --> 00:01:14.740]  所以它有一些概念是大家差不多
[00:01:14.740 --> 00:01:17.560]  其實這個是我們預期會發生的
[00:01:17.560 --> 00:01:22.560]  不需要詫異的 但我們這個comparative study
[00:01:22.560 --> 00:01:27.760]  這個approach 比對研究 需要強調不單止是相似
[00:01:27.760 --> 00:01:29.760]  就是要有differences
[00:01:29.760 --> 00:01:35.940]  因為以色列的文獻和其他所謂外邦的文獻
[00:01:35.940 --> 00:01:39.520]  他們的討論是有很大的分別
[00:01:39.520 --> 00:01:42.860]  本質上有很大的分別 神論 獨一的神論
[00:01:42.860 --> 00:01:48.180]  或者人觀 世界觀等等 都是有一些對話的
[00:01:48.180 --> 00:01:52.340]  甚至倫理的教導 神與人之間的關係等等
[00:01:52.340 --> 00:01:57.680]  這些多數會反對或者提出另一個的alternative
[00:01:57.680 --> 00:02:03.600]  一個counter的option 或者一個polymics 一個爭辯
[00:02:03.600 --> 00:02:10.880]  所以在William Harrold和其他教學者開始去認識這一方面的時候
[00:02:10.880 --> 00:02:16.820]  開始在比對研究的方法上不斷向前
[00:02:16.820 --> 00:02:19.500]  去refine的時候就明白了
[00:02:19.500 --> 00:02:24.520]  我們不如舉一些例子 怎樣去明白一下
[00:02:24.520 --> 00:02:28.540]  一個文化的動態會是怎樣的呢
[00:02:28.540 --> 00:02:32.440]  不如我們舉一個現代一點的例子
[00:02:32.440 --> 00:02:35.680]  我在美國的 英文有時候會講這句話
[00:02:35.680 --> 00:02:39.200]  Eat, drink and be merry, for tomorrow we may die
[00:02:39.200 --> 00:02:42.280]  或者頭一句 Eat, drink and be merry
[00:02:42.280 --> 00:02:47.200]  不要理那麼多了 今天我們先行動 今天我們先開心
[00:02:47.200 --> 00:02:49.900]  因為我們反正都會死的
[00:02:49.900 --> 00:02:53.040]  英文人講這句話的時候
[00:02:53.040 --> 00:02:58.420]  很多人都會知道這句話 會懂得講
[00:02:58.420 --> 00:03:02.320]  但是他很少會想到底是引述哪一個人的
[00:03:02.320 --> 00:03:07.460]  那個典故是怎樣 我們有一些成語的典故是怎樣
[00:03:07.460 --> 00:03:11.540]  但是沒有人會理會典故是怎樣的
[00:03:11.540 --> 00:03:17.640]  也沒有人會在講這句話的時候刻意或者無意去引用典故
[00:03:17.640 --> 00:03:21.140]  這句話我們很多時候說
[00:03:21.140 --> 00:03:26.020]  本身出自一個希臘的哲學家叫做Apicurus
[00:03:26.020 --> 00:03:30.180]  Apicurus是第一個去講這句話的
[00:03:30.180 --> 00:03:32.420]  Eat, drink and be merry, for tomorrow we may die
