
[00:00:00.000 --> 00:00:03.640]  各位團友,我們再一次來到聖地以色列巴勒斯坦地
[00:00:03.640 --> 00:00:08.360]  你記得上一集我們查訪過耶穌出生的事跡
[00:00:08.360 --> 00:00:09.680]  我們去過白利恆
[00:00:09.680 --> 00:00:12.000]  你記得故事內容大概是這樣
[00:00:12.000 --> 00:00:17.400]  約瑟瑪利亞當時他們在北面加利利一個小鎮叫做拿撒勒
[00:00:17.400 --> 00:00:21.800]  因為羅馬帝國要迫人民回鄉到布水
[00:00:21.800 --> 00:00:24.720]  所以約瑟利亞帶著有生人的瑪利亞
[00:00:24.720 --> 00:00:28.960]  他就回到自己的家鄉猶太地的白利恆
[00:00:28.960 --> 00:00:31.480]  在那裡耶穌剛好出生
[00:00:31.480 --> 00:00:35.960]  可能因為在白利恆有其他家人親屬照顧
[00:00:35.960 --> 00:00:39.080]  所以他們暫時留在白利恆
[00:00:39.080 --> 00:00:41.960]  誰知到耶穌大約兩歲的時候
[00:00:41.960 --> 00:00:44.960]  大希律王就想追殺耶穌
[00:00:44.960 --> 00:00:47.560]  然後他們有神的指引
[00:00:47.560 --> 00:00:53.440]  他們一家就逃難到埃及成為難民
[00:00:53.440 --> 00:00:55.880]  大希律不久就死了
[00:00:55.880 --> 00:00:58.760]  他的國土就分給他三個兒子
[00:00:58.760 --> 00:01:01.560]  第一個兒子叫做阿基努
[00:01:01.560 --> 00:01:06.040]  他管理猶太地、撒瑪利亞和以東地
[00:01:06.040 --> 00:01:08.560]  第二個兒子叫做安提柏
[00:01:08.560 --> 00:01:10.000]  叫希律安提柏
[00:01:10.000 --> 00:01:16.360]  他管北面的加利利省和約旦河東的一處比利亞
[00:01:16.360 --> 00:01:18.280]  然後東北面的巴山地
[00:01:18.280 --> 00:01:21.640]  現在我們叫做哥蘭高地
[00:01:21.640 --> 00:01:24.160]  就交給他定愛的第三個兒子
[00:01:24.160 --> 00:01:27.000]  叫做希律菲力菲勒
[00:01:27.000 --> 00:01:29.680]  約瑟聽聞大希律王死了之後
[00:01:29.680 --> 00:01:31.480]  當時耶穌還小
[00:01:31.480 --> 00:01:34.920]  本來他們想一家回到白利恆
[00:01:34.920 --> 00:01:39.360]  可能他覺得至少那裡有本族的親友照顧
[00:01:39.360 --> 00:01:40.760]  可以照顧小孩
[00:01:40.760 --> 00:01:42.480]  所以想回到白利恆
[00:01:42.480 --> 00:01:47.680]  但他知道阿基努來接管猶太省的時候
[00:01:47.680 --> 00:01:49.560]  心裡非常不安
[00:01:49.560 --> 00:01:51.120]  說起阿基努
[00:01:51.120 --> 00:01:53.840]  他和父王大希律其實都一樣
[00:01:53.840 --> 00:01:56.000]  生性非常凶殘
[00:01:56.000 --> 00:02:01.480]  結果阿基努只管了猶太省九年這麼短
[00:02:01.480 --> 00:02:04.160]  即是公元前四年至公元後六年
[00:02:04.160 --> 00:02:08.400]  羅馬帝國蓋薩將阿基努革職
[00:02:08.400 --> 00:02:11.440]  然後流亡到歐洲一個大的地方
[00:02:11.440 --> 00:02:13.600]  省份叫做高盧
[00:02:13.600 --> 00:02:17.680]  在那裡的一個城市就是今天的奧地利維也納
[00:02:17.680 --> 00:02:20.360]  那裡放逐王
[00:02:20.360 --> 00:02:23.120]  你放心和莫扎特是沒有關係的
[00:02:23.120 --> 00:02:25.320]  因為是不同年代的事
[00:02:25.320 --> 00:02:26.840]  無論如何
[00:02:26.840 --> 00:02:31.400]  之後猶太省由羅馬帝國直接委派一個總督
[00:02:31.400 --> 00:02:33.080]  來直接管轄
[00:02:33.080 --> 00:02:37.600]  所以為什麼有秦府或總督比拉多等人
[00:02:37.600 --> 00:02:40.120]  他們直接管理猶太省這個地方
[00:02:40.120 --> 00:02:41.200]  言歸正傳
[00:02:41.200 --> 00:02:43.160]  神再次指示約瑟
[00:02:43.160 --> 00:02:46.880]  叫他全家回到北邊的加利利納薩勒
[00:02:46.880 --> 00:02:48.800]  馬太福音第二章
[00:02:48.800 --> 00:02:52.080]  這樣解釋耶穌在白利恆出生
[00:02:52.080 --> 00:02:54.400]  然後在納薩勒成長
[00:02:54.400 --> 00:02:55.760]  馬太福音第二章
[00:02:55.760 --> 00:02:56.880]  希律死後
[00:02:56.880 --> 00:02:58.880]  這個說的是大希律
[00:02:58.880 --> 00:03:02.280]  埃及主的使者在夢中向約瑟顯言說
[00:03:02.280 --> 00:03:04.840]  納薩勒要殺害這孩子的人已經死了
[00:03:04.840 --> 00:03:07.960]  起來帶著孩子和母親回以色列地去吧
[00:03:07.960 --> 00:03:09.040]  約瑟就起來
[00:03:09.040 --> 00:03:11.920]  帶著孩子和母親回以色列地去
[00:03:11.920 --> 00:03:15.920]  只是聽見阿基努接觸他父親希律作了猶太王
[00:03:15.920 --> 00:03:18.800]  他就不敢到猶太地去
[00:03:18.800 --> 00:03:20.200]  猶在夢中得了指示
[00:03:20.200 --> 00:03:22.120]  於是往加利利境去
[00:03:22.120 --> 00:03:24.120]  來到納薩勒城住下
[00:03:24.120 --> 00:03:26.480]  這樣就應驗了先知所說的
[00:03:26.480 --> 00:03:28.920]  他必稱為納薩勒人
