
[00:00:00.000 --> 00:00:01.280]  各位大型姐妹
[00:00:01.280 --> 00:00:06.720]  今天很開心來到城會教會跟大家分享訊息
[00:00:06.720 --> 00:00:12.000]  這次是我第一次親身來到城會教會
[00:00:12.000 --> 00:00:16.680]  所以我很榮幸Mark Sir邀請我來到城會教會趕導
[00:00:16.680 --> 00:00:19.480]  我來到這裡為城會教會感恩
[00:00:19.480 --> 00:00:23.080]  原來這裡比我想像中更加Cyber
[00:00:23.080 --> 00:00:24.280]  更加Modern
[00:00:24.280 --> 00:00:27.160]  敬拜隊也很棒
[00:00:27.160 --> 00:00:29.560]  所以給剛才的敬拜隊掌聲
[00:00:29.560 --> 00:00:32.080]  我覺得我來到芝加哥之後
[00:00:32.080 --> 00:00:37.400]  很少聽到廣東話的崇拜有這麼現代的敬拜隊
[00:00:37.400 --> 00:00:39.800]  通常是英文的Church
[00:00:39.800 --> 00:00:44.200]  所以我很榮幸很開心可以在這裡參與大家的崇拜
[00:00:44.200 --> 00:00:45.680]  和一起分享訊息
[00:00:45.680 --> 00:00:51.720]  今天我要分享的主題是耶穌的奇尼加普
[00:00:51.720 --> 00:00:56.640]  我要分享的經文是馬太福音的第一章1至17節
[00:00:56.640 --> 00:01:03.280]  我猜這段經文應該是或許是整本馬太福音裡
[00:01:03.280 --> 00:01:05.000]  大家最少看的經文
[00:01:05.000 --> 00:01:05.560]  是不是?
[00:01:05.560 --> 00:01:06.200]  我不知道是不是
[00:01:06.200 --> 00:01:07.200]  但我就是
[00:01:07.200 --> 00:01:08.480]  不知道大家是不是
[00:01:08.480 --> 00:01:12.360]  在我小時候通常零修看馬太福音的時候
[00:01:12.360 --> 00:01:13.440]  最好的方法是什麼呢?
[00:01:13.440 --> 00:01:16.640]  就是快點跳過這一段的加普
[00:01:16.640 --> 00:01:18.440]  我就可以看少17節了
[00:01:18.440 --> 00:01:21.040]  是非常非常化算的方法
[00:01:21.040 --> 00:01:23.560]  很快就可以看完整本馬太福音了
[00:01:23.560 --> 00:01:26.840]  不過馬太這位福音書的作者
[00:01:26.840 --> 00:01:32.880]  將耶穌基督的加普放在整本福音書的最開頭
[00:01:32.880 --> 00:01:35.720]  一定有它一個很重要的目的
[00:01:35.720 --> 00:01:39.600]  所以今天我們就留心去看這個加普
[00:01:39.600 --> 00:01:42.160]  究竟想說些什麼
[00:01:42.160 --> 00:01:44.240]  今天我的講題剛才說過
[00:01:44.240 --> 00:01:46.720]  是耶穌的奇尼加普
[00:01:46.720 --> 00:01:48.640]  所以我們會集中去看一下
[00:01:48.640 --> 00:01:52.640]  究竟這個加普有什麼奇尼的地方
[00:01:52.640 --> 00:01:55.480]  我們先去看一下這個加普的標題
[00:01:55.480 --> 00:01:57.200]  這個加普的標題是
[00:01:57.200 --> 00:02:00.000]  耶穌基督大衛的兒子
[00:02:00.000 --> 00:02:02.840]  阿伯拉罕的兒子的加普
[00:02:02.840 --> 00:02:04.960]  透過這個標題我們可以看到
[00:02:04.960 --> 00:02:08.160]  這個加普有兩個重要的人物
[00:02:08.160 --> 00:02:10.000]  第一個是大衛
[00:02:10.000 --> 00:02:12.280]  而第二個就是阿伯拉罕
[00:02:12.280 --> 00:02:14.640]  我們首先會去看一下
[00:02:14.640 --> 00:02:18.400]  這個加普究竟怎樣去圍繞著大衛
[00:02:18.400 --> 00:02:20.920]  不知道大家有沒有想過
[00:02:20.920 --> 00:02:24.520]  為什麼這個加普由阿伯拉罕去到耶穌
[00:02:24.520 --> 00:02:27.920]  會剛好有三個十四代呢
[00:02:27.920 --> 00:02:29.600]  不知道大家有沒有聽過
[00:02:29.600 --> 00:02:30.560]  為什麼是十四的
[00:02:30.560 --> 00:02:32.400]  為什麼是十四個數字
[00:02:32.400 --> 00:02:34.080]  大家有沒有聽過呢
[00:02:34.080 --> 00:02:37.600]  如果我們比較一下在歷代至上的加普的話
[00:02:37.600 --> 00:02:38.720]  我們會發現
[00:02:38.720 --> 00:02:41.280]  馬太刪減了不少的人物
[00:02:41.280 --> 00:02:44.440]  是特意砌三個十四代出來
[00:02:44.440 --> 00:02:46.880]  為什麼馬太要這樣做呢
[00:02:46.880 --> 00:02:50.880]  其實這一點是和希伯來文有關的
[00:02:50.880 --> 00:02:54.960]  希伯來文和中文是很不同的
[00:02:54.960 --> 00:02:59.600]  希伯來文每一個字母都是對應著一個數字的
[00:02:59.600 --> 00:03:01.560]  而在希伯來文裡面
[00:03:01.560 --> 00:03:05.880]  十四剛剛好就是對應著大V
[00:03:05.880 --> 00:03:07.640]  這三個字母
[00:03:07.640 --> 00:03:09.800]  也就是大衛這個名字
[00:03:09.800 --> 00:03:11.440]  所以你就明白
[00:03:11.440 --> 00:03:14.400]  為什麼馬太要特意砌呢
[00:03:14.400 --> 00:03:17.040]  這個加普是要分成三個十四代
[00:03:17.040 --> 00:03:20.560]  因為十四這個數字是一個很重要的意思
[00:03:20.560 --> 00:03:22.880]  就是代表著大衛的這個名字
[00:03:22.880 --> 00:03:26.080]  在希伯來文裡面的這個名字
[00:03:26.080 --> 00:03:29.520]  如果大V等於十四
[00:03:29.520 --> 00:03:30.880]  所以要砌十四代的話
[00:03:30.880 --> 00:03:33.760]  為什麼要砌三個十四代呢
[00:03:33.760 --> 00:03:35.520]  如果我們去看這個加普的話
[00:03:35.520 --> 00:03:36.920]  這裡有三個十四代
[00:03:36.920 --> 00:03:39.840]  我用了一個表格去列出來
[00:03:39.840 --> 00:03:40.960]  如果我們留意
[00:03:40.960 --> 00:03:44.760]  每一個十四代的最後一個名字
[00:03:44.760 --> 00:03:47.760]  第一個十四代的最後一個名字是大衛
[00:03:47.760 --> 00:03:51.280]  第二個十四代的最後一個名字是耶哥尼亞
[00:03:51.280 --> 00:03:55.760]  第三個十四代的最後一個名字是耶穌
[00:03:55.760 --> 00:03:58.680]  這三個名字都是和大衛王朝有關的
[00:03:58.680 --> 00:04:02.280]  而且是關係著大衛王朝最重要的事件
[00:04:02.280 --> 00:04:03.800]  第一個人物大衛
[00:04:03.800 --> 00:04:07.160]  就是代表著大衛王朝的建立者
