
[00:00:00.000 --> 00:00:07.360]  我先跟大家讀一讀今天的經文
[00:00:07.360 --> 00:00:08.280]  講道經文
[00:00:08.280 --> 00:00:11.960]  記載在《聖經》舊約的第一本書《創世紀》
[00:00:11.960 --> 00:00:18.040]  在32章22到29節
[00:00:18.040 --> 00:00:20.240]  33章1至4節
[00:00:20.240 --> 00:00:22.560]  32章22節
[00:00:22.560 --> 00:00:28.800]  「雅各那夜起來,帶著他的兩個妻子,兩個婢女,
[00:00:28.800 --> 00:00:32.960]  和十一個孩子,都過了阿博渡口。
[00:00:32.960 --> 00:00:36.120]  他帶著他們,先打發他們過河,
[00:00:36.120 --> 00:00:40.000]  然後又打發他所有的都過去。
[00:00:40.000 --> 00:00:44.400]  只留下雅各一人,有一個人來與他摔角,
[00:00:44.400 --> 00:00:47.360]  直到天快亮的時候。
[00:00:47.360 --> 00:00:50.320]  那人見自己不能勝過他,
[00:00:50.320 --> 00:00:54.040]  就在他的大腿窩上打了一下。
[00:00:54.040 --> 00:00:57.640]  於是雅各與那人摔角的時候,
[00:00:57.640 --> 00:01:00.120]  大腿窩脫了節。
[00:01:00.120 --> 00:01:04.200]  那人說:天快亮了,讓我走吧。
[00:01:04.200 --> 00:01:09.800]  雅各說:如果你不給我祝福,我就不讓你走。
[00:01:09.800 --> 00:01:12.720]  那人問他:你叫什麼名字?
[00:01:12.720 --> 00:01:14.600]  他回答:雅各。
[00:01:14.600 --> 00:01:18.640]  那人說:你的名字不要再叫雅各,
[00:01:18.640 --> 00:01:20.120]  要叫以色列,
[00:01:20.120 --> 00:01:24.320]  因為你與神與人較力,都得了勝。
[00:01:24.320 --> 00:01:29.160]  雅各問他:說,整把你的名告訴我。
[00:01:29.160 --> 00:01:32.800]  那人回答:為什麼問我的名呢?
[00:01:32.800 --> 00:01:36.040]  他就在那裡給雅各祝福。
[00:01:36.040 --> 00:01:38.040]  三十三章一節,
[00:01:38.040 --> 00:01:43.000]  雅各舉目觀看,見以素帶著四百人來了。
[00:01:43.000 --> 00:01:45.600]  他就把孩子分開三對,
[00:01:45.600 --> 00:01:50.160]  交給莉雅、拉傑和兩個婢女。
[00:01:50.160 --> 00:01:54.720]  他叫兩個婢女和他們的孩子走在前頭,
[00:01:54.720 --> 00:01:57.240]  莉雅和她的孩子跟著,
[00:01:57.240 --> 00:02:00.720]  拉傑和約瑟走在最後。
[00:02:00.720 --> 00:02:03.440]  他自己卻走在他們前面,
[00:02:03.440 --> 00:02:05.560]  七次俯伏在地,
[00:02:05.560 --> 00:02:09.000]  直到走近他哥哥跟前。
[00:02:09.000 --> 00:02:12.520]  以素跑來迎接他,擁抱他,
[00:02:12.520 --> 00:02:16.520]  伏在他頸上,與他親吻,
[00:02:16.520 --> 00:02:19.240]  兩個人都哭了。
[00:02:19.240 --> 00:02:25.360]  我把時間交給我們今天的講員,Steve。
[00:02:25.360 --> 00:02:34.200]  謝謝你們的愛和支持。
[00:02:34.200 --> 00:02:35.920]  我們在這四個月特別回來,
[00:02:35.920 --> 00:02:47.520]  我們真的很感受到
[00:02:47.520 --> 00:02:50.840]  我們到了這個地步,
[00:02:50.840 --> 00:02:55.160]  因為我們在工場的時候,
[00:02:55.160 --> 00:03:00.720]  我們只會讓我們去關心別人,
[00:03:00.720 --> 00:03:04.160]  但回來後,我們很嚮往這個生活,
[00:03:04.160 --> 00:03:06.200]  讓弟兄姊妹去關心我們,
[00:03:06.200 --> 00:03:07.600]  希望不只是關心我們,
[00:03:07.600 --> 00:03:11.320]  你們無時無刻都可以關心你們同工和弟兄姊妹。
[00:03:11.320 --> 00:03:15.080]  說起同工,我這次回來,
[00:03:15.080 --> 00:03:18.280]  我今年四十二歲,我覺得所有同工,
[00:03:18.280 --> 00:03:20.200]  除了Mark,比我年輕。
[00:03:20.200 --> 00:03:22.720]  我覺得這是一件好事。
[00:03:22.720 --> 00:03:26.840]  我昨天剛剛去完機場回來下機,
[00:03:26.840 --> 00:03:29.160]  其中一位領袖就說,
[00:03:29.160 --> 00:03:31.160]  他其中一句說話,我記得很清楚,
[00:03:31.160 --> 00:03:33.120]  作為一位領袖就這樣說,
[00:03:33.120 --> 00:03:35.720]  "I am needing to leave."
[00:03:35.720 --> 00:03:39.440]  我帶領將來預備好自己離開,
[00:03:39.440 --> 00:03:40.280]  這是真的。
[00:03:40.280 --> 00:03:54.360]  我希望見到城會教會可以有下一代的新領袖上來。
[00:03:54.360 --> 00:03:55.720]  你們知道,弟兄姊妹,
[00:03:55.720 --> 00:03:58.320]  其實你們知道在芝加哥有很多風暴,
[00:03:58.320 --> 00:04:02.640]  我在台灣每年夏天的時候,
[00:04:02.640 --> 00:04:05.920]  是非常之多颱風的,
[00:04:05.920 --> 00:04:08.520]  特別是在香港,你明白的了,
[00:04:08.520 --> 00:04:10.720]  這件事是避免不了的,一定會來的。
[00:04:10.720 --> 00:04:13.600]  你看看我們,我們想預備是沒有用的。
[00:04:13.600 --> 00:04:17.360]  你看到我兒女在那裡抹水,
[00:04:17.360 --> 00:04:19.080]  但是我自己在做什麼呢?
[00:04:19.080 --> 00:04:20.880]  我自己在外面的陽台,
[00:04:20.880 --> 00:04:23.240]  因為陽台的水多得快要淹進來了,
[00:04:23.240 --> 00:04:25.640]  我一直在舀水,舀水,舀水,舀水,
[00:04:25.640 --> 00:04:29.920]  舀到一個地步,被一百五十公里的雨打下來,
[00:04:29.920 --> 00:04:32.800]  真的很痛,第一次經歷這件事。
[00:04:32.800 --> 00:04:35.000]  到了一個地步,我自己已經很無奈了,
[00:04:35.000 --> 00:04:37.800]  我真的不太清楚發生什麼事。
[00:04:37.800 --> 00:04:39.920]  我想放棄了,水一直淹進來,
[00:04:39.920 --> 00:04:44.320]  但是幸好我老婆,那個洞去不了水,
[00:04:44.320 --> 00:04:46.280]  跟那個廁所的洞差不多,
[00:04:46.280 --> 00:04:47.960]  她馬上拿東西給我出來泵,
[00:04:47.960 --> 00:04:53.080]  最後又成功了,真的很好。
[00:04:53.080 --> 00:04:56.680]  這些風暴其實不只是雨水的風暴,
[00:04:56.680 --> 00:04:59.880]  我們人生有很多風暴,
[00:04:59.880 --> 00:05:04.120]  我第一任在台灣,不是每件事都順應的,
[00:05:04.120 --> 00:05:06.920]  我們一家有很多風暴,
[00:05:06.920 --> 00:05:08.920]  特別一個風暴就是,
[00:05:08.920 --> 00:05:12.920]  很簡略地介紹一下,
[00:05:12.920 --> 00:05:14.480]  我們香港有一個情況,
[00:05:14.480 --> 00:05:19.800]  有一個人在教會是很有影響力的,
[00:05:19.800 --> 00:05:21.320]  他做錯事,
[00:05:21.320 --> 00:05:24.800]  但是沒有人敢去說他,
[00:05:24.800 --> 00:05:27.200]  因為他有錢跟我有關係,
[00:05:27.200 --> 00:05:31.320]  你知道有些人來到教會這麼多年,
[00:05:31.320 --> 00:05:34.320]  只是坐那個位置,還是以為那個位置是他的呢?
[00:05:34.320 --> 00:05:37.520]  有時我們覺得那些人,那些弟兄姊妹,有些黑人討厭,
[00:05:37.520 --> 00:05:39.040]  但是他們都是弟兄姊妹,
[00:05:39.040 --> 00:05:42.120]  所以怎樣去對待他們是很難的,
[00:05:42.120 --> 00:05:44.120]  所以我們經歷過這個情況,
[00:05:44.120 --> 00:05:47.040]  我不清楚怎麼做,我以為自己在做夢,
[00:05:47.040 --> 00:05:52.760]  我似乎有一刻,我想收拾包袱,我想離開,
[00:05:52.760 --> 00:05:56.800]  我想回黎智亞哥,我不玩了。
[00:05:56.800 --> 00:06:01.320]  所以在這個風暴,我每一晚都出去公園,
