
[00:00:00.000 --> 00:00:07.000]   [music]
[00:00:07.000 --> 00:00:09.360]   Hello everyone! I'm Miss Rebecca.
[00:00:09.360 --> 00:00:12.440]   Welcome back to Family Sunday School.
[00:00:12.440 --> 00:00:15.760]   This week is the fifth episode.
[00:00:15.760 --> 00:00:20.680]   Do you remember what we talked about in the fourth episode?
[00:00:20.680 --> 00:00:25.080]   Yes, we get to know a lot of different animals
[00:00:25.080 --> 00:00:26.880]   and make a lot of different sounds.
[00:00:26.880 --> 00:00:28.880]   But what's the most important thing?
[00:00:28.880 --> 00:00:30.880]   The dog!
[00:00:30.880 --> 00:00:32.880]   What is Peter doing?
[00:00:32.880 --> 00:00:36.880]   Yes, he is rejecting Jesus.
[00:00:36.880 --> 00:00:40.880]   Did you notice that I'm wearing different glasses?
[00:00:40.880 --> 00:00:42.880]   Do you remember?
[00:00:42.880 --> 00:00:48.880]   In the last episode, I asked my parents to read other Bible verses.
[00:00:48.880 --> 00:00:54.880]   I asked them to see if they could relate to the story I told.
[00:00:54.880 --> 00:00:58.880]   Why do we need to see so many different verses?
[00:00:58.880 --> 00:01:02.880]   So that we can see them from different angles.
[00:01:02.880 --> 00:01:04.880]   For example, I'm wearing these glasses.
[00:01:04.880 --> 00:01:06.880]   I'm a little blurred when I'm looking at things.
[00:01:06.880 --> 00:01:07.880]   Why?
[00:01:07.880 --> 00:01:13.880]   Because of the eyebrows, the nose, and the nose.
[00:01:13.880 --> 00:01:17.880]   But if I wear glasses or wear clothes,
[00:01:17.880 --> 00:01:21.880]   will it be more clear?
[00:01:21.880 --> 00:01:24.880]   I'm wearing these glasses, but they are a little dirty.
[00:01:24.880 --> 00:01:26.880]   I can't see very clearly.
[00:01:26.880 --> 00:01:30.880]   I change my clothes, but I can see different things.
[00:01:30.880 --> 00:01:34.880]   This pair of glasses is so clear.
[00:01:34.880 --> 00:01:39.880]   When we turn our glasses, we can see different things.
[00:01:39.880 --> 00:01:42.880]   Sometimes it's a little blurry, sometimes it's clearer.
[00:01:42.880 --> 00:01:45.880]   Or something is magnified.
[00:01:45.880 --> 00:01:49.880]   Because there are many different glasses for different purposes.
[00:01:49.880 --> 00:01:56.880]   For example, when parents or elders are reading,
[00:01:56.880 --> 00:01:58.880]   they are a little blurry.
[00:01:58.880 --> 00:02:00.880]   They can't read when they are close to reading.
