
[00:00:00.000 --> 00:00:01.560]  打開櫃子後
[00:00:01.560 --> 00:00:05.120]  我發現裡面竟然有一包巧克力
[00:00:05.120 --> 00:00:08.160]  我當時在想
[00:00:08.160 --> 00:00:10.080]  媽媽,你真是狡猾
[00:00:10.080 --> 00:00:13.520]  藏起了一包巧克力不讓我們知道
[00:00:13.520 --> 00:00:18.720]  我是一個很疼弟弟的姐姐
[00:00:18.720 --> 00:00:21.560]  拿著一包巧克力
[00:00:21.560 --> 00:00:24.000]  我把巧克力放在櫃子里
[00:00:24.000 --> 00:00:27.360]  我看到櫃子里有一個巧克力
[00:00:27.360 --> 00:00:31.320]  我拿著這包巧克力
[00:00:31.320 --> 00:00:33.160]  我把它分了一半
[00:00:33.160 --> 00:00:35.320]  給了一半給我弟弟
[00:00:35.320 --> 00:00:38.200]  小時候哥哥經常欺負我們
[00:00:38.200 --> 00:00:40.760]  所以我沒有給哥哥
[00:00:40.760 --> 00:00:43.160]  那包巧克力很好吃
[00:00:43.160 --> 00:00:47.000]  我和弟弟就久久地吃掉了
[00:00:47.000 --> 00:00:49.880]  但吃了不久
[00:00:49.880 --> 00:00:53.320]  我兩個就開始很肚痛
[00:00:53.320 --> 00:00:57.200]  原來是巧克力射糖
[00:00:57.200 --> 00:00:59.240]  很不妥
[00:00:59.240 --> 00:01:00.280]  那天晚上
[00:01:00.280 --> 00:01:01.840]  你知道香港也有個廁所
[00:01:01.840 --> 00:01:03.040]  大家都不用用廁所
[00:01:03.040 --> 00:01:05.680]  因為被我們兩個姐弟霸佔了
[00:01:05.680 --> 00:01:11.520]  我的弟弟真的感謝這個關照他的姐姐
[00:01:11.520 --> 00:01:17.040]  就好像我很意外地發現這包巧克力一樣
[00:01:17.040 --> 00:01:19.360]  今天希望我們嘗試
[00:01:19.360 --> 00:01:22.840]  在這個我們已經聽過無數次的故事里
[00:01:22.840 --> 00:01:25.320]  耶穌基督的出生里
[00:01:25.320 --> 00:01:27.320]  我們看看隱藏的功課
[00:01:27.320 --> 00:01:29.320]  我們先低頭祈禱
[00:01:29.320 --> 00:01:36.720]  主啊願禰的名被高舉
[00:01:36.720 --> 00:01:39.200]  我們人有受教的心
[00:01:39.200 --> 00:01:41.480]  祈禱奉主耶穌基督成名祈求
[00:01:41.480 --> 00:01:43.200]  Amen
[00:01:43.200 --> 00:01:45.320]  上兩個星期Mark Sir講到
[00:01:45.320 --> 00:01:47.920]  《路加福音》的二章一至七節
[00:01:47.920 --> 00:01:48.800]  講到這個
[00:01:48.800 --> 00:01:54.400]  「哀煞奧古士督新官上任三把火」
[00:01:54.400 --> 00:01:56.920]  他要做人口統計
[00:01:56.920 --> 00:01:59.600]  其實是方便他自己稅收
[00:01:59.600 --> 00:02:03.760]  要求全世界回到自己的地方去登記
[00:02:03.760 --> 00:02:09.280]  約瑟帶著這個操身大勢的瑪利亞回到伯利恆
[00:02:09.280 --> 00:02:12.400]  應驗了《馬太福音》二章的預言
[00:02:12.400 --> 00:02:14.720]  瑪利亞到報之後不久
[00:02:14.720 --> 00:02:16.840]  耶穌就在那裡出生
[00:02:16.840 --> 00:02:19.040]  接下來就是今天的經文
[00:02:19.040 --> 00:02:21.120]  我嘗試很快地跟大家讀一次
[00:02:21.120 --> 00:02:23.920]  《路加福音》二章八至二十節
[00:02:23.920 --> 00:02:25.560]  「在伯利恆的郊外
[00:02:25.560 --> 00:02:28.760]  有一些牧人在夜間看守羊群
[00:02:28.760 --> 00:02:31.640]  主的一位使者站在他們旁邊
[00:02:31.640 --> 00:02:34.480]  主的榮光四面照著他們
[00:02:34.480 --> 00:02:36.000]  他們就非常害怕
