
[00:00:00.000 --> 00:00:03.000]  上一次我們提過出埃及這件事
[00:00:03.000 --> 00:00:07.400]  是在公元前1500至1200年間發生
[00:00:07.400 --> 00:00:11.400]  當時的世界都是面臨史無前例的動盪
[00:00:11.400 --> 00:00:16.800]  近東有很多人正在遷徙移居
[00:00:16.800 --> 00:00:20.000]  想找一個安居之所
[00:00:20.000 --> 00:00:23.000]  我們舉個例子就是海人Sea People
[00:00:23.000 --> 00:00:27.600]  其中一組人就是菲利士人Philistines
[00:00:27.600 --> 00:00:33.000]  在大歷史圖畫中以色列人是其中一群在遷徙
[00:00:33.000 --> 00:00:36.200]  他們在埃及被欺壓多年
[00:00:36.200 --> 00:00:39.200]  離開時前無去路後有追兵
[00:00:39.200 --> 00:00:43.800]  但有特別的地方是他們發現上帝親自帶領他們
[00:00:43.800 --> 00:00:48.800]  對於今天你和我面對社會政局的不穩
[00:00:48.800 --> 00:00:53.800]  有一種被迫的感覺流散在世界不同的地方
[00:00:53.800 --> 00:00:58.400]  同樣面對很多改變身份改變和未知之數
[00:00:58.400 --> 00:01:04.200]  這樣看出埃及這個故事對我們來說是非常切身
[00:01:04.200 --> 00:01:07.200]  但當我們看出埃及這個技術時
[00:01:07.200 --> 00:01:10.600]  我們一定要梳理一下歷史的問題
[00:01:10.600 --> 00:01:13.600]  為什麼呢?因為在舊約聖經中
[00:01:13.600 --> 00:01:16.600]  經常提到出埃及這件歷史事蹟
[00:01:16.600 --> 00:01:20.400]  可以這樣說在舊約歷史中出埃及這件事
[00:01:20.400 --> 00:01:24.600]  就有如新約的耶穌基督從死裡復活
[00:01:24.600 --> 00:01:27.400]  歷史性都是這麼重要
[00:01:27.400 --> 00:01:32.600]  但在過去幾十年越來越多人質疑
[00:01:32.600 --> 00:01:36.800]  為什麼沒有證據證明出埃及這件事
[00:01:36.800 --> 00:01:42.200]  或者可能出埃及是很後期虛構的故事
[00:01:42.200 --> 00:01:46.800]  我記得好幾年前在香港電台上受過訪問
[00:01:46.800 --> 00:01:50.800]  主持人問了一個問題很有道理
[00:01:50.800 --> 00:01:55.800]  他說出埃及這麼大件事總會有少少線索
[00:01:55.800 --> 00:01:58.200]  居然一點線索都沒有
[00:01:58.200 --> 00:02:02.400]  有些道理我們必須承認
[00:02:02.400 --> 00:02:06.600]  暫時到現在都沒有直接的歷史證明
[00:02:06.600 --> 00:02:08.800]  但我們這樣說也好
[00:02:08.800 --> 00:02:10.600]  我們都需要留意幾點
[00:02:10.600 --> 00:02:14.200]  第一就是證據的不存在
[00:02:14.200 --> 00:02:17.400]  不一定等於不存在的證據
[00:02:17.400 --> 00:02:20.400]  這個你動高床板就要想一想
[00:02:20.400 --> 00:02:25.800]  The absence of evidence is not the evidence of absence
[00:02:25.800 --> 00:02:28.800]  因為很多歷史事跡
[00:02:28.800 --> 00:02:32.000]  包括聖經或聖經以外的歷史事跡
[00:02:32.000 --> 00:02:35.800]  都未必找到考古的證據
[00:02:35.800 --> 00:02:38.400]  我們不能夠踏時光機回去以前
[00:02:38.400 --> 00:02:42.800]  將歷史放在化驗室裡面去證明多一次
[00:02:42.800 --> 00:02:44.800]  何況當時的背景
[00:02:44.800 --> 00:02:47.400]  埃及帝國是獨裁的政權
[00:02:47.400 --> 00:02:50.800]  他們不會將失敗的事跡寫下
[00:02:50.800 --> 00:02:53.200]  第二件事我們需要留意
[00:02:53.200 --> 00:02:56.200]  當我們想起考古證據的時候
[00:02:56.200 --> 00:03:00.200]  我們對考古證據的要求一定要實際
[00:03:00.200 --> 00:03:03.600]  假設以色列人出埃及的話
[00:03:03.600 --> 00:03:05.400]  你想一下他們會帶著什麼
[00:03:05.400 --> 00:03:08.400]  他們好像難民一樣離開埃及
[00:03:08.400 --> 00:03:11.400]  我不知道你有沒有做過服務難民的工作
[00:03:11.400 --> 00:03:15.800]  我記得有一次我參與一個難民服務的工作
[00:03:15.800 --> 00:03:20.800]  去到機場接一家六口從剛果難民營來的難民
[00:03:20.800 --> 00:03:23.600]  六個人他們入境下機的時候
[00:03:23.600 --> 00:03:25.800]  每個人你想一下他們帶著什麼
[00:03:25.800 --> 00:03:28.200]  他們只是帶著一個小的膠袋
[00:03:28.200 --> 00:03:29.800]  就是這麼多
[00:03:29.800 --> 00:03:31.400]  所以你再想一想
[00:03:31.400 --> 00:03:35.200]  作為難民甚至作為平民百姓也好
[00:03:35.200 --> 00:03:37.000]  過了一百年之後
[00:03:37.000 --> 00:03:40.400]  你看我們這班平民百姓的人
[00:03:40.400 --> 00:03:42.800]  都一定是蕭聲匿跡的
[00:03:42.800 --> 00:03:46.800]  就是說在考古歷史裡面是看不到我們的
[00:03:46.800 --> 00:03:49.600]  所以為什麼有這麼多皇帝想建皇陵
[00:03:49.600 --> 00:03:52.200]  大墳墓有兵馬俑金字塔等等
[00:03:52.200 --> 00:03:54.800]  因為他們想留芳百世
[00:03:54.800 --> 00:04:00.000]  所以沒有考古證據不代表你不存在
[00:04:00.000 --> 00:04:02.000]  再有一點需要留意
[00:04:02.000 --> 00:04:04.200]  如果你真的按照聖經所說
