
[00:00:00.000 --> 00:00:14.000]  大家早安,冷了一陣子終於暖了一點,我已經很期待夏天的來臨,今年真的很冷。
[00:00:14.000 --> 00:00:27.000]  先給大家看一張圖,在歷史上有一個很出名的故事,就是人慶和教會的爭論,大家認不認得他是誰呢?
[00:00:27.000 --> 00:00:36.000]  有沒有認得?對,嘉莉略,聰明,拉奧神真聰明。
[00:00:36.000 --> 00:00:55.000]  他就是嘉莉略一個很出名的數學家,天文學家,當年嘉莉略用望遠鏡觀察星空,發現太陽不是圍著地球轉,相反是地球圍著太陽轉。
[00:00:55.000 --> 00:01:07.000]  這個知識對我們來說現在很正常,小學也讀過,但是當時很多實學家堅信聖經的自然變異事,
[00:01:07.000 --> 00:01:19.000]  聖經有幾句是說太陽又升起又落下,是來自詩篇十九章和傳道書一章,所以一定是太陽移動而不是地球移動。
[00:01:19.000 --> 00:01:28.000]  結果他們就因為自己對於信仰的詮釋的堅持,寧願否認我們看到的事實。
[00:01:28.000 --> 00:01:42.000]  當年這一班自以為為了真理把關的宗教領袖就在羅馬的審訊廳裡面一次又一次地盤問,嘉莉略,你是不是承認自己錯?
[00:01:42.000 --> 00:01:48.000]  你是不是承認聖經是不可以給你這些新的理論去挑戰的?
[00:01:48.000 --> 00:01:59.000]  最後這個年老的科學家嘉莉略被迫跪在地上,他讀他的懺悔文,公開收回自己的言論,
[00:01:59.000 --> 00:02:08.000]  太陽是圍著地球轉的,不是地球圍著太陽轉。
[00:02:08.000 --> 00:02:15.000]  只因他看到的事實和教廷一直堅持的詮釋不一樣。
[00:02:15.000 --> 00:02:30.000]  幾百年之後,科學證明了嘉莉略說的是真的,教會就要承認當時的錯誤,向死了幾百年的嘉莉略道歉。
[00:02:30.000 --> 00:02:39.000]  這個故事提醒我們,有時我們以為我們一直堅持的信念就等於上帝的真理。
[00:02:39.000 --> 00:02:46.000]  可能我們出於虔誠,出於經驗,出於傳統,覺得自己沒有錯。
[00:02:46.000 --> 00:02:57.000]  但如果我們不肯學習,不肯聆聽,我們就可能會被真理推翻,成為了當年教廷的人。
[00:02:57.000 --> 00:03:06.000]  所以今天我們要問自己,我們堅持的東西是真理本身,還是我們覺得是好像真理的東西?
[00:03:06.000 --> 00:03:12.000]  兩樣東西是很不同的,是真理本身,還是我覺得那個是真理?
[00:03:12.000 --> 00:03:15.000]  你分得到那兩樣東西是甚麼嗎?
[00:03:15.000 --> 00:03:20.000]  如果大家準備好,我們就會進入我們今天的講道。
[00:03:20.000 --> 00:03:24.000]  聽到這邊的講道,我們會知道三樣東西。
[00:03:24.000 --> 00:03:27.000]  當時的猶太人為甚麼會拒絕耶穌?
[00:03:27.000 --> 00:03:32.000]  十誡為甚麼成為了他們最大的信耶穌的阻礙?
[00:03:32.000 --> 00:03:36.000]  而這樣會否同樣地成為了我們的阻礙呢?
[00:03:36.000 --> 00:03:39.000]  如果準備好,我們就一起來了。
[00:03:39.000 --> 00:03:43.000]  上一次我們講了約翰福音的頭頭那幾節,
[00:03:43.000 --> 00:03:49.000]  今天我們再繼續講約翰福音的一章,下面中間那段經文。
[00:03:49.000 --> 00:03:52.000]  一章十四至十八節。
