
[00:00:00.000 --> 00:00:11.840]  我們來到第七集聖地網上行報主腳鐘
[00:00:11.840 --> 00:00:17.200]  今次我們來到耶穌事蹟裡面一個很重要的轉捩點
[00:00:17.200 --> 00:00:20.880]  上一次我們講到馬太福音第十四章
[00:00:20.880 --> 00:00:26.480]  分封王希律聽見耶穌的名聲開始對他有威脅
[00:00:26.480 --> 00:00:30.440]  於是福音書的記載就說他五餅而餘
[00:00:30.440 --> 00:00:34.960]  餵飽五千人之後在加利利湖的風暴上
[00:00:34.960 --> 00:00:36.600]  他就在水上行走
[00:00:36.600 --> 00:00:42.360]  然後他去到加利利湖的西北岸旁邊
[00:00:42.360 --> 00:00:46.240]  一個叫格尼撒勒的地方來治病
[00:00:46.240 --> 00:00:48.000]  到馬太福音第十五章
[00:00:48.000 --> 00:00:54.560]  耶路撒冷的宗教權貴政治權貴派人反對耶穌
[00:00:54.560 --> 00:00:59.160]  你會感覺到對耶穌反對的勢力越來越強大
[00:00:59.160 --> 00:01:01.760]  所以到十五章第21節
[00:01:01.760 --> 00:01:08.240]  這裡講到耶穌去到一個地方叫做泰爾西頓的境內
[00:01:08.240 --> 00:01:12.320]  你記得那個故事就是一個加拿大外邦的婦人
[00:01:12.320 --> 00:01:14.200]  對耶穌是很有信心的
[00:01:14.200 --> 00:01:16.080]  那裡有一個神蹟
[00:01:16.080 --> 00:01:18.640]  完了這個加拿大婦女的故事
[00:01:18.640 --> 00:01:21.880]  耶穌又回到加利利湖的海邊
[00:01:21.880 --> 00:01:26.320]  但她繞過猶太人的境地
[00:01:26.320 --> 00:01:28.520]  當然那裡的反對勢力因為越來越強
[00:01:28.520 --> 00:01:35.080]  所以耶穌大部分時間都是用外邦人這個地方來做事
[00:01:35.080 --> 00:01:37.160]  馬太福音第七章第31節說
[00:01:37.160 --> 00:01:41.840]  耶穌又離開了泰爾的境地經過西頓
[00:01:41.840 --> 00:01:46.720]  然後他就經過我們今天叫他哥蘭高地的地方
[00:01:46.720 --> 00:01:48.720]  就經過低加波利亞
[00:01:48.720 --> 00:01:49.840]  又是外邦人的地方
[00:01:49.840 --> 00:01:52.680]  就是加利利海
[00:01:52.680 --> 00:01:57.160]  應該是加利利海的東邊或東南邊
[00:01:57.160 --> 00:02:00.800]  在這裡有另一個餵飽四千人的神蹟
[00:02:00.800 --> 00:02:04.160]  這也是外邦人的地方
[00:02:04.160 --> 00:02:08.880]  十六章耶穌就渡船過去猶太人的地方
[00:02:08.880 --> 00:02:11.360]  去了這個莫大拉
[00:02:11.360 --> 00:02:15.640]  然後就叫門徒和他一起渡去另外一個地方
[00:02:15.640 --> 00:02:17.080]  過去對面
[00:02:17.080 --> 00:02:21.040]  應該就是白菜大或外邦人的地方
[00:02:21.040 --> 00:02:26.200]  你可以看到當這些反對勢力繼續威脅耶穌和他的門徒的時候
[00:02:26.200 --> 00:02:29.080]  耶穌大部分時間在這兩章裡面
[00:02:29.080 --> 00:02:33.280]  他都是留在外邦人的地方
[00:02:33.280 --> 00:02:36.440]  或者是加利利湖的東邊
[00:02:36.440 --> 00:02:38.720]  加利利湖很近的西北邊
[00:02:38.720 --> 00:02:42.120]  這些全部都是外邦人羅馬希臘人的地方
[00:02:42.120 --> 00:02:44.320]  馬太福音第十六章十三節
[00:02:44.320 --> 00:02:46.400]  在讀新漢語譯本
[00:02:46.400 --> 00:02:49.800]  耶穌來到凱撒利亞菲勒比境內
[00:02:49.800 --> 00:02:53.040]  他問門徒說人們說人子是誰
[00:02:53.040 --> 00:02:55.560]  他們說有人說是施洗的約翰
[00:02:55.560 --> 00:02:57.560]  有人說是以利亞
[00:02:57.560 --> 00:03:01.680]  也有人說是耶利米和先知中的一位
[00:03:01.680 --> 00:03:04.520]  耶穌對他們說那你們呢
[00:03:04.520 --> 00:03:06.920]  你們說我是誰
[00:03:06.920 --> 00:03:08.600]  西門彼得回答說
[00:03:08.600 --> 00:03:11.680]  你是基督是永活神的兒子
[00:03:11.680 --> 00:03:14.080]  經過幾集我們希望大家明白
[00:03:14.080 --> 00:03:16.640]  聖經經文記載一些地名
[00:03:16.640 --> 00:03:18.840]  一些地理的細節
[00:03:18.840 --> 00:03:20.800]  是有它特定的意思的
[00:03:20.800 --> 00:03:24.640]  也告訴我們要明白那段事跡
[00:03:24.640 --> 00:03:28.080]  我們一定要先了解背景
[00:03:28.080 --> 00:03:31.920]  那個地方才能夠掌握裡面的內容
[00:03:31.920 --> 00:03:34.240]  這裡耶穌和門徒來到一個地方
[00:03:34.240 --> 00:03:36.440]  叫做凱撒利亞菲勒比
[00:03:36.440 --> 00:03:38.720]  或者是和合本的翻譯叫做
[00:03:38.720 --> 00:03:40.000]  蓋撒利亞菲勒比
[00:03:40.000 --> 00:03:41.840]  Caesarea Philippi
[00:03:41.840 --> 00:03:44.400]  這裡是加利海北面
[00:03:44.400 --> 00:03:47.160]  25英里或者40公里那麼遠的
