
[00:00:00.000 --> 00:00:12.160]  這三個星期,今天是第二個星期
[00:00:12.160 --> 00:00:18.000]  我們講到教會在一個很不利的環境裡面
[00:00:18.000 --> 00:00:21.560]  特別是現在很多聽到基督徒的領袖
[00:00:21.560 --> 00:00:22.880]  教會的領袖
[00:00:22.880 --> 00:00:25.640]  他們在聖上跌倒
[00:00:25.640 --> 00:00:27.960]  在這樣的環境
[00:00:27.960 --> 00:00:29.480]  在這樣的世代當中
[00:00:29.480 --> 00:00:34.920]  我們應該如何去面對呢?
[00:00:34.920 --> 00:00:38.240]  我們回到聖經裡面一套書
[00:00:38.240 --> 00:00:39.360]  三本的
[00:00:39.360 --> 00:00:40.960]  叫做提摩太前書
[00:00:40.960 --> 00:00:42.200]  提摩太后書
[00:00:42.200 --> 00:00:43.840]  和提多書
[00:00:43.840 --> 00:00:45.520]  就在教穆的書信
[00:00:45.520 --> 00:00:46.960]  Pastoral Levels裡面
[00:00:46.960 --> 00:00:48.800]  我們回頭看
[00:00:48.800 --> 00:00:51.440]  到底這些新約的書信
[00:00:51.440 --> 00:00:53.440]  給我們有什麼啓迪呢?
[00:00:53.440 --> 00:00:55.680]  上一次我講到這三本書
[00:00:55.680 --> 00:00:57.920]  其實跟我們寫的時候
[00:00:57.920 --> 00:01:02.600]  跟我們現在這個年代的環境其實差不多
[00:01:02.600 --> 00:01:03.680]  因為我們提過
[00:01:03.680 --> 00:01:05.480]  教穆書信Pastoral Levels
[00:01:05.480 --> 00:01:07.600]  是主考60年代的時候寫的
[00:01:07.600 --> 00:01:08.920]  60年代發生什麼事呢?
[00:01:08.920 --> 00:01:13.560]  就是基督教本身是猶太教其中一個支派
[00:01:13.560 --> 00:01:15.160]  跟其他猶太教都是一樣
[00:01:15.160 --> 00:01:17.320]  所以羅馬帝國裡面有法律的保護
[00:01:17.320 --> 00:01:18.400]  都算是合法
[00:01:18.400 --> 00:01:19.840]  但60年代
[00:01:19.840 --> 00:01:21.320]  第一世紀60年代的時候
[00:01:21.320 --> 00:01:24.160]  就開始大家分道揚鑣了
[00:01:24.160 --> 00:01:29.880]  猶太教仍然有它在羅馬帝國裡面的法律保護
[00:01:29.880 --> 00:01:33.000]  不過基督教開始分道揚鑣的時候
[00:01:33.000 --> 00:01:35.120]  就沒有了這種環境
[00:01:35.120 --> 00:01:36.800]  就變成了非法
[00:01:36.800 --> 00:01:38.800]  變成了被人歧視
[00:01:38.800 --> 00:01:41.000]  是一種對福音很不利的環境
[00:01:41.000 --> 00:01:42.880]  對教會很不利的環境裡面
[00:01:42.880 --> 00:01:45.640]  教會是如何在世教裡面立足呢?
[00:01:45.640 --> 00:01:48.320]  這三本書信經常提到一件事
[00:01:48.320 --> 00:01:51.480]  就是教會請你搞好你自己
[00:01:51.480 --> 00:01:53.360]  Put it in order
[00:01:53.360 --> 00:01:56.720]  然後上帝的道不會有人毀旁
[00:01:56.720 --> 00:02:00.720]  我們會在教穆書信裡面去看一看不同的經文
[00:02:00.720 --> 00:02:01.720]  譬如這一段
[00:02:01.720 --> 00:02:03.440]  提多書二章四節
[00:02:03.440 --> 00:02:05.000]  提多是一個人
[00:02:05.000 --> 00:02:09.600]  他是在地中海一個大的海島上
[00:02:09.600 --> 00:02:10.600]  去到穆會
[00:02:10.600 --> 00:02:13.200]  他是保羅的一個徒弟之一
[00:02:13.200 --> 00:02:16.320]  他接到這封信
[00:02:16.320 --> 00:02:18.040]  這封信二章四節說什麼呢?
[00:02:18.040 --> 00:02:19.720]  他剛剛說到
[00:02:19.720 --> 00:02:22.120]  告訴提多這位穆者
[00:02:22.120 --> 00:02:23.960]  他在教會裡面
[00:02:23.960 --> 00:02:26.040]  在眾多小組的教會裡面
[00:02:26.040 --> 00:02:28.480]  他要怎麼處理不同的
[00:02:28.480 --> 00:02:30.000]  各式各樣的人
[00:02:30.000 --> 00:02:33.280]  以及不同的年齡層
[00:02:33.280 --> 00:02:36.320]  這裡剛剛提到少年婦女
[00:02:36.320 --> 00:02:37.880]  就是提到一些
[00:02:37.880 --> 00:02:39.400]  I guess young ladies(年輕女士)
[00:02:39.400 --> 00:02:42.280]  他說好指教少年婦女
[00:02:42.280 --> 00:02:43.640]  她們要愛丈夫
[00:02:43.640 --> 00:02:44.840]  愛兒女
[00:02:44.840 --> 00:02:45.880]  謹守
[00:02:45.880 --> 00:02:46.960]  Self-control(自我控制)
[00:02:46.960 --> 00:02:48.320]  要有貞潔
[00:02:48.320 --> 00:02:50.280]  要料理家務
[00:02:50.280 --> 00:02:51.560]  待人要有恩
[00:02:51.560 --> 00:02:52.880]  馴服自己的丈夫
[00:02:52.880 --> 00:02:54.240]  免得什麼呢?
[00:02:54.240 --> 00:02:57.080]  上帝的毀謗
[00:02:57.080 --> 00:02:59.480]  你可以看到當時的教會
[00:02:59.480 --> 00:03:01.200]  遇見一個這樣的環境
[00:03:01.200 --> 00:03:03.120]  有什麼行差踏錯呢?
[00:03:03.120 --> 00:03:05.840]  新聞就會看到
[00:03:05.840 --> 00:03:07.840]  人們就會對教會
[00:03:07.840 --> 00:03:08.880]  嘲笑教會也好
[00:03:08.880 --> 00:03:10.280]  或者反對教會也好
[00:03:10.280 --> 00:03:11.760]  或者抨擊教會也好
[00:03:11.760 --> 00:03:13.240]  所以你看到
[00:03:13.240 --> 00:03:15.320]  跟我們今天的時代其實也是一樣
[00:03:15.320 --> 00:03:18.000]  教會裡面出現一些性醜聞
[00:03:18.000 --> 00:03:20.680]  基督教裡面一些性醜聞
[00:03:20.680 --> 00:03:22.040]  對教會是非常不利的
[00:03:22.040 --> 00:03:23.520]  對福音是非常不利的
[00:03:23.520 --> 00:03:26.120]  人已經對福音有些反感了
[00:03:26.120 --> 00:03:29.640]  加上教會的見證做得不是很好的時候
[00:03:29.640 --> 00:03:31.840]  特別有性失德的時候
[00:03:31.840 --> 00:03:34.080]  有些性醜聞的時候
[00:03:34.080 --> 00:03:38.280]  更加使教會很難立足
[00:03:38.280 --> 00:03:41.160]  提多書講的事情
[00:03:41.160 --> 00:03:42.480]  環境也是一樣
[00:03:42.480 --> 00:03:46.600]  今天針對的其實也是我們這個環境
[00:03:46.600 --> 00:03:48.520]  他說免得上帝的道理
[00:03:48.840 --> 00:03:50.920]  他的福音被人毀謗
[00:03:50.920 --> 00:03:55.880]  我們可以怎麼講呢?
[00:03:55.880 --> 00:03:57.160]  上個星期講了一點點
[00:03:57.160 --> 00:03:59.960]  今天我可以從天主教開始講
[00:03:59.960 --> 00:04:03.000]  雖然我們跟天主教不是一樣
[00:04:03.000 --> 00:04:04.480]  不過基本上
[00:04:04.480 --> 00:04:07.880]  基本上的教義其實都是相關的
[00:04:07.880 --> 00:04:14.040]  天主教爆出的醜聞越來越大件事
[00:04:14.040 --> 00:04:16.080]  那個《大紀報》
[00:04:16.080 --> 00:04:17.520]  上次我提了
