
[00:00:00.000 --> 00:00:01.600]   - Thank you, Phoebe.
[00:00:01.600 --> 00:00:05.820]   Yeah, one more reminder is that we have a few workers,
[00:00:05.820 --> 00:00:10.820]   interns among us, and I wanna personally introduce them
[00:00:10.820 --> 00:00:15.080]   and wanna appreciate their work and ministry in the summer.
[00:00:15.080 --> 00:00:17.200]   The first one, of course, is Phoebe.
[00:00:17.200 --> 00:00:20.320]   So Phoebe is one of our summer intern.
[00:00:20.320 --> 00:00:24.960]   She is finishing off her master's study
[00:00:24.960 --> 00:00:26.940]   at Lagos Evangelical Seminary,
[00:00:26.940 --> 00:00:29.280]   so she's doing some intern here.
[00:00:29.280 --> 00:00:33.520]   And also Wendy, is Wendy around here?
[00:00:33.520 --> 00:00:34.360]   Back there, right?
[00:00:34.360 --> 00:00:35.760]   Yeah, Wendy.
[00:00:35.760 --> 00:00:38.280]   Wendy is another intern, so we wanna thank her
[00:00:38.280 --> 00:00:43.280]   for doing all the background and backstage ministry for us.
[00:00:43.280 --> 00:00:47.040]   And also Lucy, Lucy right there.
[00:00:47.040 --> 00:00:51.360]   And thank you for joining us for this summer intern,
[00:00:51.360 --> 00:00:55.320]   and she is studying as Wendy as well
[00:00:55.320 --> 00:00:57.200]   at Moody Bible Institute,
[00:00:57.200 --> 00:01:00.480]   and she is music composition major.
[00:01:00.480 --> 00:01:03.800]   So if you want some new songs, go to Lucy.
[00:01:03.800 --> 00:01:06.140]   She will be helping us with the instrument
[00:01:06.140 --> 00:01:08.080]   and all the music as well.
[00:01:08.080 --> 00:01:10.860]   So do pray for our interns, all right?
[00:01:10.860 --> 00:01:14.560]   We're going to put them to work,
[00:01:14.560 --> 00:01:18.520]   and they will work very, very hard, okay?
[00:01:18.520 --> 00:01:23.520]   So they will have a very, very busy month in the summer.
[00:01:23.520 --> 00:01:25.040]   So let's pray together.
[00:01:25.040 --> 00:01:27.280]   Father, give thanks as a community of faith,
[00:01:27.280 --> 00:01:31.400]   as your believers, we come before you.
[00:01:31.400 --> 00:01:34.040]   We know that we are born in the spirit.
[00:01:34.040 --> 00:01:36.200]   Thank you for the privilege and the blessing.
[00:01:36.200 --> 00:01:38.040]   We can praise you, we can worship you,
[00:01:38.040 --> 00:01:39.660]   we can draw close to you.
[00:01:39.660 --> 00:01:43.320]   Thank you for inviting us into your presence,
[00:01:43.320 --> 00:01:45.040]   and may your spirit speak to us
[00:01:45.040 --> 00:01:47.280]   and lead us into true worship.
[00:01:47.280 --> 00:01:50.040]   And may all that we do, all that we think,
[00:01:50.040 --> 00:01:53.640]   and all that we say be pleasing to you.
[00:01:53.640 --> 00:01:55.880]   We again come before you.
[00:01:55.880 --> 00:01:58.300]   We ask that you will cleanse our sins,
[00:01:58.300 --> 00:02:00.000]   and you will forgive us.
[00:02:00.000 --> 00:02:04.480]   You will help us to come before you,
[00:02:04.480 --> 00:02:07.840]   knowing that in Christ we are righteous,
[00:02:07.840 --> 00:02:12.080]   because all that your son has done for all of us.
[00:02:12.080 --> 00:02:13.440]   Pray for our church as well.
[00:02:13.440 --> 00:02:16.040]   During the summer, there are people in now,
[00:02:16.040 --> 00:02:17.760]   especially there are some brothers and sisters
[00:02:17.760 --> 00:02:19.600]   who are out of town, and I just pray
[00:02:19.600 --> 00:02:21.640]   that you will grant them safety.
[00:02:21.640 --> 00:02:24.040]   I also wanna pray for those who are sick,
[00:02:24.040 --> 00:02:26.640]   who are going through some challenges and struggles.
