
[00:00:00.000 --> 00:00:03.640]  我們這次繼續追溯阿巴拉罕的故事
[00:00:03.640 --> 00:00:09.280]  上兩次我們提到阿巴拉罕離開吾爾哈蘭米索不達米亞來到迦南地
[00:00:09.280 --> 00:00:10.800]  然後這裡有饑荒
[00:00:10.800 --> 00:00:13.800]  他們暫時到了埃及避難
[00:00:13.800 --> 00:00:17.880]  在那裡發生了第一次太太當是妹妹的失敗故事
[00:00:17.880 --> 00:00:20.560]  在危機裡面上帝用恩典來保守
[00:00:20.560 --> 00:00:22.880]  然後他們一家又回到迦南地
[00:00:22.880 --> 00:00:25.120]  阿巴拉罕的故事
[00:00:25.120 --> 00:00:27.040]  可能我們現代人看下去的時候
[00:00:27.040 --> 00:00:28.440]  我們會覺得很鬆散
[00:00:28.440 --> 00:00:29.520]  有些事情說了
[00:00:29.520 --> 00:00:31.000]  然後又暫時不說
[00:00:31.000 --> 00:00:32.880]  然後之後再看
[00:00:32.880 --> 00:00:35.080]  看了這麼多集你應該明白了
[00:00:35.080 --> 00:00:37.080]  聖經的編排
[00:00:37.080 --> 00:00:39.680]  很多時候不一定按照我們現代人
[00:00:39.680 --> 00:00:40.520]  直線
[00:00:40.520 --> 00:00:42.400]  按時序硬性編排
[00:00:42.400 --> 00:00:47.560]  有很多時候整個故事的情節會不斷向前
[00:00:47.560 --> 00:00:50.800]  但是故事的中心
[00:00:50.800 --> 00:00:52.560]  很多時候不一定在尾段
[00:00:52.560 --> 00:00:53.800]  而是在中間
[00:00:53.800 --> 00:00:55.240]  特別在創世紀
[00:00:55.240 --> 00:00:56.320]  特別很多時候
[00:00:56.320 --> 00:00:59.360]  作者會取材一些故事
[00:00:59.360 --> 00:01:01.080]  是一對一對記載的
[00:01:01.080 --> 00:01:03.480]  構成一種三文字或者交叉
[00:01:03.480 --> 00:01:04.800]  Chaostic的結構
[00:01:04.800 --> 00:01:07.560]  阿巴拉罕的故事主要的內容
[00:01:07.560 --> 00:01:10.680]  可以在創世紀十二至二十二章找到
[00:01:10.680 --> 00:01:12.680]  如果這樣列出來的話
[00:01:12.680 --> 00:01:14.440]  大家可能會清楚很多
[00:01:14.440 --> 00:01:17.000]  一直按著ABCDE
[00:01:17.000 --> 00:01:18.520]  來進發
[00:01:18.520 --> 00:01:20.920]  然後在下面的一半
[00:01:20.920 --> 00:01:23.880]  又是影照上面ABCDE
[00:01:23.880 --> 00:01:25.520]  不過是調轉次序
[00:01:25.520 --> 00:01:27.480]  譬如你看A
[00:01:27.480 --> 00:01:29.440]  就是哈塔拉的後代
[00:01:29.440 --> 00:01:30.520]  有一個是加普
[00:01:30.520 --> 00:01:33.120]  然後最後就說到阿巴拉罕的兄弟
[00:01:33.120 --> 00:01:34.920]  拿學的後代
[00:01:34.920 --> 00:01:36.320]  然後第二段
[00:01:36.320 --> 00:01:39.120]  就是說到阿巴蘭信心的旅程
[00:01:39.120 --> 00:01:40.160]  他的啟示
[00:01:40.160 --> 00:01:41.160]  十二章開始
[00:01:41.160 --> 00:01:43.760]  這裡就影照
[00:01:43.760 --> 00:01:46.320]  就是他最後一次信心的旅程
[00:01:46.320 --> 00:01:48.320]  就是憲爾薩的旅程
[00:01:48.320 --> 00:01:49.680]  就是他信心的高峰
[00:01:49.680 --> 00:01:51.480]  二十二章一到十九節
[00:01:51.480 --> 00:01:52.800]  第三段
[00:01:52.800 --> 00:01:54.640]  就是說到撒萊
[00:01:54.640 --> 00:01:55.560]  或者撒拉
[00:01:55.560 --> 00:01:57.200]  阿巴拉罕的太太
[00:01:57.200 --> 00:01:59.000]  在外邦的宮廷
[00:01:59.000 --> 00:02:01.520]  然後危機得到化解
[00:02:01.520 --> 00:02:04.840]  然後這個相對於下面的
[00:02:04.840 --> 00:02:07.240]  另外一個也是撒拉的故事
[00:02:07.240 --> 00:02:09.720]  在外邦的宮廷裡面
[00:02:09.720 --> 00:02:11.160]  這次在基拉爾
[00:02:11.160 --> 00:02:13.400]  危機也得到化解
[00:02:13.400 --> 00:02:16.280]  所以你這樣一段一段看的時候
[00:02:16.280 --> 00:02:16.920]  你就會發現
[00:02:16.920 --> 00:02:18.480]  原來一直邁向一個
[00:02:18.480 --> 00:02:20.920]  最重要的中間位置
[00:02:20.920 --> 00:02:21.560]  中心
[00:02:21.560 --> 00:02:22.520]  就是神
[00:02:22.520 --> 00:02:24.720]  和阿巴拉罕來到納約
[00:02:25.560 --> 00:02:27.960]  講完十二到二十二章了
[00:02:27.960 --> 00:02:29.560]  主要的內容
[00:02:29.560 --> 00:02:30.680]  交代了
[00:02:30.680 --> 00:02:33.120]  然後到二十三章
[00:02:33.120 --> 00:02:36.160]  就講到阿巴拉罕買了一個墳地
[00:02:36.160 --> 00:02:37.720]  去撞他太太
[00:02:37.720 --> 00:02:38.680]  撒拉
