
[00:00:00.000 --> 00:00:01.500]   Okay, Mark.
[00:00:01.500 --> 00:00:06.080]   - Hey, good morning, everyone.
[00:00:06.080 --> 00:00:09.760]   Why don't we say hello and shake hands to one another,
[00:00:09.760 --> 00:00:11.300]   call each other brother and sisters,
[00:00:11.300 --> 00:00:13.020]   remember what I said last week.
[00:00:13.020 --> 00:00:14.800]   So find some people and shake their hands
[00:00:14.800 --> 00:00:17.020]   and welcome them to our worship community.
[00:00:17.020 --> 00:00:21.440]   - Hello, Mark.
[00:00:21.440 --> 00:00:24.600]   (audience chattering)
[00:00:24.600 --> 00:00:35.760]   - All right, good to see you guys, good to see you.
[00:00:35.760 --> 00:00:36.600]   Good to see you.
[00:00:36.600 --> 00:00:40.880]   All right, so it's good to be here
[00:00:40.880 --> 00:00:43.000]   and today at the end of service,
[00:00:43.000 --> 00:00:44.400]   we have Communion Sunday.
[00:00:44.400 --> 00:00:46.160]   It's the first Sunday of the month
[00:00:46.160 --> 00:00:48.100]   and we're looking forward to this time
[00:00:48.100 --> 00:00:50.400]   to take the communion elements,
[00:00:50.400 --> 00:00:52.000]   to remember what Christ has done for us.
[00:00:52.000 --> 00:00:56.280]   And again, Pastor Mark and the announcer was called,
[00:00:56.280 --> 00:00:58.280]   Kelly, did she introduce herself?
[00:00:58.280 --> 00:00:59.120]   - I don't know.
[00:00:59.120 --> 00:01:00.200]   - Okay, oh, you were there.
[00:01:00.200 --> 00:01:01.860]   Okay, Kelly, thank you very much.
[00:01:01.860 --> 00:01:04.560]   And there's also one more announcement.
[00:01:04.560 --> 00:01:08.000]   There's a sister show show next week, right?
[00:01:08.000 --> 00:01:10.680]   So it's after our Sunday worship service,
[00:01:10.680 --> 00:01:13.920]   you guys are gonna eat together, hot pot, right?
[00:01:13.920 --> 00:01:16.520]   Hot pot together and make candles together.
[00:01:16.520 --> 00:01:19.960]   Yeah, candles and then hot pot and then Super Bowl
[00:01:19.960 --> 00:01:22.200]   and then show show, whatever, okay?
[00:01:22.200 --> 00:01:24.500]   So it's gonna be a long day next week.
[00:01:24.500 --> 00:01:27.160]   Anyways, but today let's turn our attention
[00:01:27.160 --> 00:01:28.280]   to the word of God.
[00:01:28.280 --> 00:01:32.040]   We are on a series called Becoming a Healthier Church.
[00:01:32.040 --> 00:01:35.840]   Healthier Church, I think that's what God desire.
[00:01:35.840 --> 00:01:40.840]   God wants His church and local churches to be healthy, right?
[00:01:40.840 --> 00:01:43.540]   He wants you to be healthy too, right?
[00:01:43.540 --> 00:01:45.620]   So it's kind of related topic.
[00:01:45.620 --> 00:01:48.460]   You think about how to be healthier.
[00:01:48.460 --> 00:01:50.400]   Maybe it's your New Year's resolution.
[00:01:50.400 --> 00:01:52.840]   Nobody cares about it now, right?
[00:01:52.840 --> 00:01:54.280]   It's already February.
[00:01:54.280 --> 00:01:58.400]   So maybe it's one of your goals to be healthier.
[00:01:58.400 --> 00:02:02.800]   What kind of things that you would do or change
[00:02:02.800 --> 00:02:05.220]   in order to be healthier?
[00:02:05.220 --> 00:02:08.040]   Now, again, a related topic is the church.
[00:02:08.040 --> 00:02:12.320]   As a church, as a faith community, as a family of God,
[00:02:12.320 --> 00:02:14.600]   how can we be more healthy?
[00:02:14.600 --> 00:02:17.520]   And we spent two weeks to take a look
[00:02:17.520 --> 00:02:21.080]   at some of the passages from the letter of Ephesians
[00:02:21.080 --> 00:02:22.640]   in the New Testament.
[00:02:22.640 --> 00:02:25.520]   Now we are turning our attention to another book,
[00:02:25.520 --> 00:02:29.440]   another letter written by Paul as well.
[00:02:29.440 --> 00:02:32.480]   It's the letter of Philippians.
[00:02:32.480 --> 00:02:37.480]   So if you have your Bible, you can turn to Philippians 1,
[00:02:37.480 --> 00:02:40.360]   how to be a healthier church.
[00:02:40.360 --> 00:02:45.360]   Chapter one, above all, you must live as citizens
[00:02:46.760 --> 00:02:51.760]   of heaven, conducting yourself in a manner worthy
[00:02:51.760 --> 00:02:54.840]   of the good news, the gospel of Christ.
[00:02:54.840 --> 00:02:59.520]   Then whether I come and see you again,
[00:02:59.520 --> 00:03:03.360]   or only hear about you, I will know that you are standing
[00:03:03.360 --> 00:03:08.080]   together with one spirit and one purpose,
[00:03:08.080 --> 00:03:11.840]   fighting together, contending together for the faith,
[00:03:11.840 --> 00:03:14.320]   which is the good news, the gospel.
[00:03:14.320 --> 00:03:16.920]   So it's a short verse from chapter one
[00:03:16.920 --> 00:03:21.680]   of the letter of Philippians, written to the Philippians,
[00:03:21.680 --> 00:03:24.400]   written to the Christians in Philippi.
[00:03:24.400 --> 00:03:28.720]   So today, I just learned some of the new here
[00:03:28.720 --> 00:03:31.640]   who are students, especially students
[00:03:31.640 --> 00:03:33.240]   at Moody Bible Institute.
[00:03:33.240 --> 00:03:36.200]   So I prepared some pop quiz.
[00:03:36.200 --> 00:03:38.880]   Okay, I prepared some pop quiz.
[00:03:38.880 --> 00:03:41.360]   All right, so well, I think you will do well
[00:03:41.360 --> 00:03:43.180]   because you're Moody students.
[00:03:44.240 --> 00:03:46.920]   Anyways, let's go over these questions together.
[00:03:46.920 --> 00:03:48.880]   All right, it's a multiple choice questions.
[00:03:48.880 --> 00:03:51.440]   As we begin to study the book of Philippians,
[00:03:51.440 --> 00:03:53.440]   I would like to begin with some of the questions
[00:03:53.440 --> 00:03:55.280]   to warm up your mind, all right?
[00:03:55.280 --> 00:03:56.560]   So are you ready?
[00:03:56.560 --> 00:03:57.400]   - Yes.
[00:03:57.400 --> 00:03:59.560]   - All right, question one, all right?
[00:03:59.560 --> 00:04:01.320]   Question one, all right.
[00:04:01.320 --> 00:04:02.160]   You ready?
[00:04:02.160 --> 00:04:05.600]   It's all about the epistle of the Philippines, all right?
[00:04:05.600 --> 00:04:11.560]   The church in Philippi was planned by, who planned it?
[00:04:11.560 --> 00:04:15.880]   All right, A, Apostle Peter, B, Apostle Paul.
[00:04:15.880 --> 00:04:17.000]   A or B?
[00:04:17.000 --> 00:04:17.840]   Who said A?
[00:04:17.840 --> 00:04:19.920]   Who said B?
[00:04:19.920 --> 00:04:22.660]   Why you hesitate?
[00:04:22.660 --> 00:04:24.080]   (laughing)
[00:04:24.080 --> 00:04:25.600]   Why you hesitate?
[00:04:25.600 --> 00:04:28.640]   All right, so it is.
[00:04:28.640 --> 00:04:30.520]   It is planned by Apostle Paul, right?
[00:04:30.520 --> 00:04:31.360]   Why you hesitate?
[00:04:31.360 --> 00:04:32.980]   It's such a simple question, all right?
[00:04:32.980 --> 00:04:35.160]   So more difficult question to come, all right?
[00:04:35.160 --> 00:04:37.480]   All right, now this is a tough one, okay?
[00:04:37.480 --> 00:04:39.280]   This is a tough one, all right?
[00:04:39.280 --> 00:04:42.600]   On which of his missionary journey
[00:04:42.600 --> 00:04:45.040]   did Paul plan the church in Philippi?
[00:04:45.040 --> 00:04:50.040]   All right, A, first, B, second, C, third journey.
[00:04:50.040 --> 00:04:53.160]   All right, think about it, okay?
[00:04:53.160 --> 00:04:56.000]   Work with your neighbors, work with your neighbors, okay?
[00:04:56.000 --> 00:05:00.080]   Ask your neighbors, do you know the answer or not, okay?
[00:05:00.080 --> 00:05:02.720]   On which of his missionary journey
[00:05:02.720 --> 00:05:06.080]   did Paul plan the church in Philippi?
[00:05:06.080 --> 00:05:08.000]   The first one, second, or third, okay?
[00:05:08.000 --> 00:05:10.220]   How many of you say A, the first one?
[00:05:10.220 --> 00:05:14.440]   Okay, I see a hand in the room, okay.
[00:05:14.440 --> 00:05:16.000]   By the way, thank you very much.
[00:05:16.000 --> 00:05:21.000]   They work so hard to make our worship service possible.
[00:05:21.000 --> 00:05:24.440]   Sometimes there are technical difficulties, all right?
[00:05:24.440 --> 00:05:27.440]   You have any complaint, we invite you to join the team
[00:05:27.440 --> 00:05:28.840]   to help us out. (laughing)
[00:05:28.840 --> 00:05:33.040]   Anyways, option one is A, is first missionary journey.
[00:05:33.040 --> 00:05:35.280]   How many of you say B, second?
[00:05:36.280 --> 00:05:38.560]   All right, some said B.
[00:05:38.560 --> 00:05:41.040]   What, you following others, or?
[00:05:41.040 --> 00:05:43.800]   Okay, are you sure James is right?
[00:05:43.800 --> 00:05:46.900]   All right, how many of you say C, the third journey?
[00:05:46.900 --> 00:05:50.320]   All right, so let's see the answer.
[00:05:50.320 --> 00:05:53.400]   It is B, it is the second journey, okay?
[00:05:53.400 --> 00:05:55.960]   Second missionary journey, all right?
[00:05:55.960 --> 00:05:58.880]   All right, not bad, guys, not bad.
[00:05:58.880 --> 00:06:01.280]   All right, those of you who are hesitating
[00:06:01.280 --> 00:06:04.200]   to raise your hand to answer the question,
[00:06:04.200 --> 00:06:06.200]   you have to answer this question, okay?
[00:06:06.200 --> 00:06:08.560]   Question three, does the church in Philippi
[00:06:08.560 --> 00:06:10.880]   support Paul's mission?
[00:06:10.880 --> 00:06:12.320]   Yes or no, okay?
[00:06:12.320 --> 00:06:14.760]   Yes or no, how many say yes?
[00:06:14.760 --> 00:06:16.520]   Okay, how many say no?
[00:06:16.520 --> 00:06:19.600]   That's why he wrote the letter, right?
[00:06:19.600 --> 00:06:21.020]   No, yeah, he did.
[00:06:21.020 --> 00:06:23.400]   All right, all right.
[00:06:23.400 --> 00:06:26.560]   So Paul did, Paul did receive offering
[00:06:26.560 --> 00:06:29.160]   and support from the church of Philippi, all right?
[00:06:29.160 --> 00:06:32.320]   So they're a pretty good church, very generous, okay?
[00:06:32.320 --> 00:06:34.200]   So last question, okay?
[00:06:35.040 --> 00:06:36.960]   Uh, there you go, okay.
[00:06:36.960 --> 00:06:40.040]   This is a tough one, okay?
[00:06:40.040 --> 00:06:42.240]   Which of the following people were the leaders
[00:06:42.240 --> 00:06:44.320]   of the church in Philippi?
[00:06:44.320 --> 00:06:46.880]   Which of the following people were the leaders
[00:06:46.880 --> 00:06:48.600]   of the church in Philippi?
[00:06:48.600 --> 00:06:51.320]   A is, um,
[00:06:51.320 --> 00:06:55.160]   Euodia and Sinti, okay?
[00:06:55.160 --> 00:06:56.680]   Euodia and Sinti.
[00:06:56.680 --> 00:06:59.760]   A, B is Alexander and Philip.
[00:06:59.760 --> 00:07:02.560]   C is Timothy and Luke.
[00:07:02.560 --> 00:07:04.320]   All right, how many of you say A?
[00:07:04.320 --> 00:07:08.280]   All right, all right, I see some hands, okay.
[00:07:08.280 --> 00:07:09.520]   How many of you say B?
[00:07:09.520 --> 00:07:13.760]   B, names very familiar, Alexander and Philip.
[00:07:13.760 --> 00:07:16.200]   By the way, they're father and son, yeah.
[00:07:16.200 --> 00:07:18.440]   No, C, Timothy and Luke?
[00:07:18.440 --> 00:07:21.120]   Timothy and Luke, okay, good.
[00:07:21.120 --> 00:07:23.320]   Brave hand, brave people.
[00:07:23.320 --> 00:07:24.560]   The answer is,
[00:07:24.560 --> 00:07:27.560]   is A, all right?
[00:07:27.560 --> 00:07:31.440]   If you read chapter four, you find these two names show up.
[00:07:31.440 --> 00:07:34.800]   They are actually having some problem in the church.
[00:07:34.800 --> 00:07:39.040]   In any case, I want to warm you up with these questions
[00:07:39.040 --> 00:07:42.720]   to think about what the letter has to say about the church,
[00:07:42.720 --> 00:07:45.720]   about us as people in Christ.
[00:07:45.720 --> 00:07:50.040]   So the church of Philippi was planted by the apostle Paul
[00:07:50.040 --> 00:07:52.800]   in his second missionary journey.
[00:07:52.800 --> 00:07:55.920]   He went the first one, he went to what we call
[00:07:55.920 --> 00:08:00.560]   Asia Minor or modern day Turkey in that area
[00:08:00.560 --> 00:08:01.800]   from Antioch.
[00:08:01.800 --> 00:08:05.520]   So he preached the gospel to different towns and cities
[00:08:05.520 --> 00:08:09.600]   and find some people who embrace the gospel
[00:08:09.600 --> 00:08:13.480]   and planted all these house churches in different towns.
[00:08:13.480 --> 00:08:16.800]   And then they return to their home base
[00:08:16.800 --> 00:08:19.320]   in Jerusalem and Antioch.
[00:08:19.320 --> 00:08:21.440]   And then as they pray about it,
[00:08:21.440 --> 00:08:24.960]   they felt that the Spirit is moving them
[00:08:24.960 --> 00:08:27.160]   to go on for an other journey.
[00:08:27.160 --> 00:08:29.320]   So they started the second journey.
[00:08:29.320 --> 00:08:31.720]   And the second missionary journey,
[00:08:31.720 --> 00:08:36.720]   they pass through what we call Turkey,
[00:08:36.720 --> 00:08:38.680]   you see the blue line,
[00:08:38.680 --> 00:08:42.640]   they were in Jerusalem and then they were back to Antioch.
[00:08:42.640 --> 00:08:45.600]   And then from Antioch, they move west
[00:08:45.600 --> 00:08:49.960]   through Asia Minor.
[00:08:49.960 --> 00:08:52.920]   And there are different things happen
[00:08:52.920 --> 00:08:54.520]   and they wanted to go to that town,
[00:08:54.520 --> 00:08:56.720]   but the Holy Spirit is not leading them to.
[00:08:56.720 --> 00:08:59.560]   And then they moved on to another town
[00:08:59.560 --> 00:09:00.840]   and then move around.
[00:09:00.840 --> 00:09:03.120]   As they move around, they move westward
[00:09:03.120 --> 00:09:08.120]   to a place or a port or harbor called Chorus.
[00:09:08.120 --> 00:09:12.520]   So when they were there, they spend the night
[00:09:12.520 --> 00:09:15.120]   and God show Paul a vision.
[00:09:15.120 --> 00:09:19.560]   And in that vision, a man, a Macedonian man,
[00:09:19.560 --> 00:09:23.040]   Macedonian man by race, Macedonia.
[00:09:23.040 --> 00:09:26.000]   And in the dream, in the vision,
[00:09:26.000 --> 00:09:29.360]   this Macedonian man call on Paul and his team
[00:09:29.360 --> 00:09:32.600]   to come over, to cross the sea,
