
[00:00:00.000 --> 00:00:00.880]   Good morning, UV.
[00:00:00.880 --> 00:00:03.880]   It is good to be able to worship with you this morning.
[00:00:03.880 --> 00:00:07.960]   And as Pastor Mark say, it's good to see some old faces back
[00:00:07.960 --> 00:00:10.280]   and also some new faces as well this morning.
[00:00:10.280 --> 00:00:13.280]   So welcome and thank you for joining us.
[00:00:13.280 --> 00:00:18.240]   So what are some of the hardest things
[00:00:18.240 --> 00:00:21.600]   that you have been asked to do before?
[00:00:21.600 --> 00:00:23.760]   Or if you think about it,
[00:00:23.760 --> 00:00:25.800]   what are some of the most challenging tasks
[00:00:25.800 --> 00:00:28.040]   that you have gone through?
[00:00:29.280 --> 00:00:32.120]   As I reflect on my personal experience,
[00:00:32.120 --> 00:00:35.560]   I think they usually fall under a few categories.
[00:00:35.560 --> 00:00:37.640]   Some of these things are hard
[00:00:37.640 --> 00:00:40.520]   because they test our human limits
[00:00:40.520 --> 00:00:43.440]   and they push us to our very edge,
[00:00:43.440 --> 00:00:48.100]   intellectually, emotionally, or physically.
[00:00:48.100 --> 00:00:51.080]   This October, I will be running
[00:00:51.080 --> 00:00:52.800]   the Chicago Marathon as well.
[00:00:52.800 --> 00:00:55.480]   And even though I'm looking forward to it,
[00:00:55.480 --> 00:00:59.040]   there's also part of me that is somewhat nervous about it
[00:00:59.040 --> 00:01:01.440]   because I know that in order for me
[00:01:01.440 --> 00:01:04.760]   to finish these 26.2 miles,
[00:01:04.760 --> 00:01:07.140]   it will push me to my very limit.
[00:01:07.140 --> 00:01:10.840]   And on the other hand,
[00:01:10.840 --> 00:01:13.120]   some of the things are challenging
[00:01:13.120 --> 00:01:16.640]   because they require us to face our own fears.
[00:01:16.640 --> 00:01:21.040]   Think of extreme activities like skydiving,
[00:01:21.040 --> 00:01:23.280]   bungee jumping,
[00:01:23.280 --> 00:01:28.760]   or even small things like catching a cockroach or a spider.
[00:01:29.480 --> 00:01:30.320]   Right?
[00:01:30.320 --> 00:01:33.760]   And then there are certain things
[00:01:33.760 --> 00:01:36.040]   that are hard and challenging
[00:01:36.040 --> 00:01:38.880]   because of what they require from us
[00:01:38.880 --> 00:01:42.620]   to sacrifice our own preference.
[00:01:42.620 --> 00:01:45.920]   So the passage that we will be looking at today
[00:01:45.920 --> 00:01:48.960]   contains one of the most radical teachings
[00:01:48.960 --> 00:01:51.460]   and challenging commands from Jesus himself.
[00:01:51.460 --> 00:01:53.880]   It is difficult and challenging
[00:01:53.880 --> 00:01:56.360]   not because it pushes to our limits
[00:01:56.360 --> 00:01:58.840]   or it requires us to face our fears,
[00:01:58.840 --> 00:02:02.120]   but it is difficult because in order to do
[00:02:02.120 --> 00:02:04.880]   what Jesus has told us to do here,
[00:02:04.880 --> 00:02:08.500]   it requires us to completely deny ourself
[00:02:08.500 --> 00:02:10.320]   and our own self-interest.
[00:02:10.320 --> 00:02:13.880]   To put it another way,
[00:02:13.880 --> 00:02:17.400]   if we're not willing to give up our own pride,
[00:02:17.400 --> 00:02:21.280]   our preference, our convenience,
[00:02:21.280 --> 00:02:25.380]   our comfort, or the illusion of control that we have,
[00:02:26.260 --> 00:02:28.960]   this command from Jesus will almost be impossible
[00:02:28.960 --> 00:02:30.040]   for us to live out.
[00:02:30.040 --> 00:02:33.200]   So if you have your Bible with you,
[00:02:33.200 --> 00:02:36.800]   let's turn with me to Matthew chapter five.
[00:02:36.800 --> 00:02:40.280]   We're gonna look from verse 43 to 48 today.
[00:02:40.280 --> 00:02:43.960]   So Matthew chapter five, 43 to 48.
[00:02:43.960 --> 00:02:46.200]   But before we dive into God's word,
[00:02:46.200 --> 00:02:48.840]   let's pray that his spirit will be with us
[00:02:48.840 --> 00:02:50.160]   as we open up his words.
[00:02:53.860 --> 00:02:56.680]   Father, we thank you that we're able
[00:02:56.680 --> 00:02:59.800]   to come into your house this morning
[00:02:59.800 --> 00:03:01.840]   to lift up our praise to worship you.
