
[00:00:00.000 --> 00:00:02.920]  到第六章 我們看少少
[00:00:02.920 --> 00:00:05.520]  六章也有很多字眼
[00:00:05.520 --> 00:00:09.840]  是跟創世紀一二三章有出現過
[00:00:09.840 --> 00:00:13.200]  六章 人在地上開始增多
[00:00:13.200 --> 00:00:18.400]  Adam 人類在地上開始增多
[00:00:18.400 --> 00:00:21.360]  Rath 或者是Ruth
[00:00:21.360 --> 00:00:23.360]  就是multiply的意思
[00:00:23.360 --> 00:00:24.960]  生兒養女
[00:00:24.960 --> 00:00:29.280]  神的眾子見到人的女子美麗
[00:00:29.280 --> 00:00:32.000]  隨意的挑選作為妻子
[00:00:32.000 --> 00:00:37.000]  神見到人既然是屬肉體
[00:00:37.000 --> 00:00:39.360]  我的靈就不會永遠住在他裡面
[00:00:39.360 --> 00:00:42.480]  他們的日子只剩下120年
[00:00:42.480 --> 00:00:46.360]  這個細節到第六章的時候我們才解釋
[00:00:46.360 --> 00:00:48.440]  這裡說到那些日子和以後的日子
[00:00:48.440 --> 00:00:52.000]  那些日子 洪水快要來臨的日子
[00:00:52.000 --> 00:00:53.920]  以後的日子有什麼
[00:00:53.920 --> 00:00:55.920]  有巨人在地上
[00:00:55.920 --> 00:00:58.320]  什麼叫巨人呢 這個是後話
[00:00:58.320 --> 00:01:01.840]  神的兒子和人的女子的結合
[00:01:01.840 --> 00:01:07.040]  可能就生了上古英武的有名人物
[00:01:07.040 --> 00:01:09.640]  然後有一些動詞和形容詞
[00:01:09.640 --> 00:01:12.760]  又是在創世紀第一章出現
[00:01:12.760 --> 00:01:14.760]  又說漢建
[00:01:14.760 --> 00:01:16.160]  你記得第一章說到什麼
[00:01:16.160 --> 00:01:21.000]  又說漢建創造裡面的東西
[00:01:21.000 --> 00:01:22.360]  漢為好的
[00:01:22.360 --> 00:01:23.880]  但這裡就相反了
[00:01:23.880 --> 00:01:25.280]  漢建是什麼
[00:01:25.280 --> 00:01:27.760]  是罪惡 邪惡
[00:01:27.760 --> 00:01:29.280]  Ra
[00:01:29.280 --> 00:01:33.400]  特意用這個字的 Ra
[00:01:33.400 --> 00:01:37.120]  見到人在中日所思想的思念的盡都是邪惡
[00:01:37.120 --> 00:01:39.000]  Ra
[00:01:39.000 --> 00:01:43.080]  所以上帝見到的就不是美好
[00:01:43.080 --> 00:01:46.600]  見到中日的都是Ra
[00:01:46.600 --> 00:01:50.800]  所以有一個這樣的回音
[00:01:50.800 --> 00:01:52.800]  呼應
[00:01:52.800 --> 00:01:57.760]  第四章你去看一看的時候
[00:01:57.760 --> 00:01:59.760]  我們就發現
[00:01:59.760 --> 00:02:02.560]  相似的地方就是
[00:02:02.560 --> 00:02:04.560]  都是用一些這樣的主題
[00:02:04.560 --> 00:02:07.560]  畜牧業 農作
[00:02:07.560 --> 00:02:09.560]  然後有城鎮
[00:02:09.560 --> 00:02:13.000]  然後最後有歌頌什麼的
[00:02:13.000 --> 00:02:16.520]  近東的詩歌 爭辯詩等等
[00:02:16.720 --> 00:02:21.280]  就是說畜牧業農業是神子所賜的
[00:02:21.280 --> 00:02:24.000]  所以要去拜畜牧的神
[00:02:24.000 --> 00:02:26.000]  你要拜農田的神
[00:02:26.000 --> 00:02:29.000]  等於今天的民間信仰都是這樣
[00:02:29.000 --> 00:02:34.000]  你做那一行的就要拜那一行的神子
[00:02:34.000 --> 00:02:37.520]  說到城鎮也是神子所賜的
[00:02:37.520 --> 00:02:41.000]  最後歌頌的就是人類多偉大
[00:02:41.000 --> 00:02:43.000]  還有神子多偉大
[00:02:43.000 --> 00:02:45.000]  眾神多偉大
[00:02:45.000 --> 00:02:49.000]  創世的第四章就說到另一個主題
[00:02:49.000 --> 00:02:53.000]  用這些所謂的ideas 這些意念
[00:02:53.000 --> 00:02:55.000]  去討論什麼呢
[00:02:55.000 --> 00:02:59.000]  就是討論人類的文明
[00:02:59.000 --> 00:03:01.000]  但是你見到創世的第四章
[00:03:01.000 --> 00:03:04.000]  如果你用近東人的眼光去看的時候
[00:03:04.000 --> 00:03:07.000]  你就會發現創世的第四章說的話
[00:03:07.000 --> 00:03:09.000]  是很奇怪的
[00:03:09.000 --> 00:03:13.000]  因為你記得近東聽到這些東西
[00:03:13.000 --> 00:03:16.000]  誰會給我們農業
[00:03:16.000 --> 00:03:19.000]  誰會給我們畜牧業等等
[00:03:19.000 --> 00:03:22.000]  這些不是上天給我們的神子嗎
[00:03:22.000 --> 00:03:24.000]  等於什麼神農氏等等
[00:03:24.000 --> 00:03:27.000]  華人文化背後的神話
[00:03:27.000 --> 00:03:29.000]  但是創世的第四章
[00:03:29.000 --> 00:03:32.000]  完全沒有這些神話的味道
[00:03:32.000 --> 00:03:36.000]  為什麼會有農業和畜牧業
[00:03:36.000 --> 00:03:38.000]  是因為人類管理大地
[00:03:38.000 --> 00:03:42.000]  創世的第一章的後果
[00:03:42.000 --> 00:03:44.000]  為什麼會有城市
[00:03:44.000 --> 00:03:46.000]  該人會建立城市
[00:03:46.000 --> 00:03:48.000]  完全沒有說誰的神子次來
[00:03:48.000 --> 00:03:50.000]  而是他自己建築
[00:03:50.000 --> 00:03:55.000]  人類最高管理的後果
[00:03:55.000 --> 00:03:59.000]  但是第四章
[00:03:59.000 --> 00:04:01.000]  用這些主題的時候
[00:04:01.000 --> 00:04:02.000]  他在說什麼
[00:04:02.000 --> 00:04:04.000]  人類離開了神
[00:04:04.000 --> 00:04:07.000]  半變上帝的時候
[00:04:07.000 --> 00:04:08.000]  離開了神沒錯
[00:04:08.000 --> 00:04:15.000]  因為有地上的文化使命
[00:04:15.000 --> 00:04:19.000]  在世界上神給人有那種能力
[00:04:19.000 --> 00:04:20.000]  有那種智慧
[00:04:20.000 --> 00:04:21.000]  可以去管理
[00:04:21.000 --> 00:04:22.000]  可以去組織
[00:04:22.000 --> 00:04:25.000]  然後可以發展不同的文明出來
[00:04:25.000 --> 00:04:28.000]  但是越來越遠離神的時候
[00:04:28.000 --> 00:04:31.000]  這些文明會走向哪個地方
[00:04:31.000 --> 00:04:33.000]  就是暴力的增添
