
[00:00:00.000 --> 00:00:03.000]  (《約瑟》)
[00:00:03.000 --> 00:00:06.000]  上一節提到當約瑟知道父親
[00:00:06.000 --> 00:00:08.000]  已經去到歌山這個地方
[00:00:08.000 --> 00:00:11.000]  約瑟就親自去到歌山迎接父親
[00:00:11.000 --> 00:00:14.000]  當約瑟和新家庭團聚之後
[00:00:14.000 --> 00:00:18.000]  接下來他就要安頓雅各家族
[00:00:18.000 --> 00:00:22.000]  當時雅各家一共有70人
[00:00:22.000 --> 00:00:26.000]  在經文47章11-12節說
[00:00:26.000 --> 00:00:29.000]  約瑟因為得到法老同意之下
[00:00:29.000 --> 00:00:33.000]  約瑟就安排雅各家留在歌山定居
[00:00:33.000 --> 00:00:35.000]  因為歌山的地形適合蓄木
[00:00:35.000 --> 00:00:38.000]  雅各和約瑟團聚之後
[00:00:38.000 --> 00:00:43.000]  一直在歌山過著蓄木生活有17年
[00:00:43.000 --> 00:00:46.000]  當雅各知道他自己的死期將到
[00:00:46.000 --> 00:00:49.000]  雅各就請求約瑟為他做一件事
[00:00:49.000 --> 00:00:51.000]  究竟是什麼事呢?
[00:00:51.000 --> 00:00:54.000]  原來雅各有一個心願
[00:00:54.000 --> 00:00:57.000]  就是死後的屍體
[00:00:57.000 --> 00:01:00.000]  能夠在家欄埋葬
[00:01:00.000 --> 00:01:05.000]  好讓他和祖父和父親能夠同葬
[00:01:05.000 --> 00:01:07.000]  大家有沒有留意
[00:01:07.000 --> 00:01:11.000]  猶太人價值觀念和中國人傳統文化有些相似
[00:01:11.000 --> 00:01:13.000]  告老還鄉
[00:01:13.000 --> 00:01:17.000]  死後葬在自己親人旁邊
[00:01:17.000 --> 00:01:21.000]  故事中的雅各希望將來可以死後
[00:01:21.000 --> 00:01:23.000]  能夠和祖先同葬
[00:01:23.000 --> 00:01:26.000]  於是他就留下自己的遺願
[00:01:26.000 --> 00:01:30.000]  給自己最愛又最信任的兒子約瑟
[00:01:30.000 --> 00:01:33.000]  在經文的48章說
[00:01:33.000 --> 00:01:35.000]  雅各臨死前
[00:01:35.000 --> 00:01:38.000]  他就祝福約瑟兩個兒子
[00:01:38.000 --> 00:01:41.000]  約瑟的大兒子叫馬拿西
[00:01:41.000 --> 00:01:43.000]  小兒子叫爾法列
[00:01:43.000 --> 00:01:46.000]  雅各要將兩個孫歸入自己的名下
[00:01:46.000 --> 00:01:48.000]  究竟是什麼意思呢?
[00:01:48.000 --> 00:01:52.000]  雅各將約瑟兩個兒子歸入自己的名下
[00:01:52.000 --> 00:01:56.000]  就是要約瑟將兩個兒子過繼給他
[00:01:56.000 --> 00:02:01.000]  雅各這樣做是想約瑟可以分得更多的產業
[00:02:01.000 --> 00:02:06.000]  可見約瑟由始至終都是雅各最愛的兒子
[00:02:06.000 --> 00:02:08.000]  於是雅各在臨死前
[00:02:08.000 --> 00:02:13.000]  就為馬拿西和爾法列祝福
[00:02:13.000 --> 00:02:15.000]  按照傳統
[00:02:15.000 --> 00:02:17.000]  馬拿西是大兒子
[00:02:17.000 --> 00:02:21.000]  理應祝福的右手放在他的頭上
[00:02:21.000 --> 00:02:24.000]  而左手放在小兒子的頭上
[00:02:24.000 --> 00:02:26.000]  但雅各竟然用他的右手
[00:02:26.000 --> 00:02:30.000]  放在小兒子爾法列的頭上
[00:02:30.000 --> 00:02:34.000]  而左手就放在大兒子馬拿西的頭上
[00:02:34.000 --> 00:02:38.000]  雅各這樣做不是因為他腦眼分花
[00:02:38.000 --> 00:02:40.000]  而是因為雅各知道
[00:02:40.000 --> 00:02:42.000]  將來小兒子爾法列的支派
[00:02:42.000 --> 00:02:47.000]  會比大兒子馬拿西的支派強大
[00:02:47.000 --> 00:02:49.000]  看看49章
[00:02:49.000 --> 00:02:51.000]  那裏說到
[00:02:51.000 --> 00:02:54.000]  當雅各賜福給爾法列和馬拿西後
[00:02:54.000 --> 00:02:59.000]  雅各就召集其餘所有子孫聽他的遺言
[00:02:59.000 --> 00:03:02.000]  雅各對他所有子孫宣佈
[00:03:02.000 --> 00:03:07.000]  長子劉弁因為之前曾放縱情慾
[00:03:07.000 --> 00:03:11.000]  所以從此失去了長子的名分
[00:03:11.000 --> 00:03:14.000]  而次子西冕和三子利美
[00:03:14.000 --> 00:03:18.000]  因為他們曾用刀劍秘密殺害人命
[00:03:18.000 --> 00:03:21.000]  結果要分散在各支派當中
[00:03:21.000 --> 00:03:25.000]  同時失去了長子的名分
[00:03:25.000 --> 00:03:31.000]  故此長子的名分就落入四子猶大的身上
[00:03:31.000 --> 00:03:33.000]  大家有沒有發覺
[00:03:33.000 --> 00:03:37.000]  雅各所立的遺囑和中國傳統文化很相似
[00:03:37.000 --> 00:03:40.000]  就是很看重長子名分
[00:03:40.000 --> 00:03:42.000]  因為父親的產業
[00:03:42.000 --> 00:03:45.000]  一般由長子一個人繼承
[00:03:45.000 --> 00:03:47.000]  又或者當分家產的時候
[00:03:47.000 --> 00:03:50.000]  長子是可以得到雙分的
[00:03:50.000 --> 00:03:53.000]  記得當年雅各年輕的時候
[00:03:53.000 --> 00:03:56.000]  曾經用繼騙長子的名分
[00:03:56.000 --> 00:03:59.000]  獲得父親以殺的祝福
[00:03:59.000 --> 00:04:01.000]  如今雅各年老
[00:04:01.000 --> 00:04:03.000]  在離世之前
[00:04:03.000 --> 00:04:05.000]  他是親手祝福猶大
[00:04:05.000 --> 00:04:08.000]  同時亦親手將大的福氣
[00:04:08.000 --> 00:04:12.000]  賜給弱勢的小兒子爾法列
[00:04:12.000 --> 00:04:14.000]  雅各的一生
[00:04:14.000 --> 00:04:16.000]  因為曾經經歷過
[00:04:16.000 --> 00:04:18.000]  爭長子的名分
[00:04:18.000 --> 00:04:20.000]  而使兄弟情破裂
[00:04:20.000 --> 00:04:25.000]  還要離開原生家庭流落到異鄉
[00:04:25.000 --> 00:04:27.000]  雅各傷痛的經歷
[00:04:27.000 --> 00:04:29.000]  由一代傳到一代
[00:04:29.000 --> 00:04:32.000]  雅各因他的偏愛弱勢緣故
[00:04:32.000 --> 00:04:36.000]  而帶來給他們兄弟情破裂的傷痛
[00:04:36.000 --> 00:04:39.000]  所以雅各臨死之前
[00:04:39.000 --> 00:04:43.000]  雅各信著上帝的心意和啟示
[00:04:43.000 --> 00:04:47.000]  不再用自己的心意來祝福他的子孫
[00:04:47.000 --> 00:04:51.000]  雅各死前向所有子孫交代
[00:04:51.000 --> 00:04:55.000]  免得他們和下一代再一次要經歷到
[00:04:55.000 --> 00:04:58.000]  因為名利和權
[00:04:58.000 --> 00:05:02.000]  而導致兄弟不和所帶來的傷痛
[00:05:02.000 --> 00:05:04.000]  頂子輩
[00:05:04.000 --> 00:05:06.000]  福和和大團圓
[00:05:06.000 --> 00:05:08.000]  其中要達至的目標
[00:05:08.000 --> 00:05:11.000]  就是要傷痛不代存
[00:05:11.000 --> 00:05:15.000]  或許我們可能在人際關係方面
[00:05:15.000 --> 00:05:18.000]  家庭、工作甚至教會方面
[00:05:18.000 --> 00:05:20.000]  受過傷害
[00:05:20.000 --> 00:05:24.000]  如果我們願意經歷福和和大團圓
[00:05:24.000 --> 00:05:26.000]  我們就要留心
[00:05:26.000 --> 00:05:29.000]  在生命上的見證
[00:05:29.000 --> 00:05:32.000]  有沒有將傷痛帶到自己的家庭
[00:05:32.000 --> 00:05:35.000]  工作甚至教會裏
[00:05:35.000 --> 00:05:39.000]  難道我們真的想將傷痛的經歷
[00:05:39.000 --> 00:05:42.000]  一代傳到一代?
[00:05:42.000 --> 00:05:44.000]  如果想知道故事發展
[00:05:44.000 --> 00:05:47.000]  請留意下一次和大家的講解
[00:05:47.000 --> 00:05:49.000]  MING PAO CANADA | MING PAO TORONTO
[00:05:49.000 --> 00:05:51.000]  (CC字幕製作:貝爾)
[00:05:51.000 --> 00:05:53.000]  MING PAO CANADA | MING PAO TORONTO

