
[00:00:00.000 --> 00:00:07.000]  感恩節剛過去了,我想問你,回想起來,哪一餐吃得最好吃呢?
[00:00:07.000 --> 00:00:14.000]  我想問你,吃了這麼多,歡聚了這麼多,你有沒有把握機會表達衷心的感恩呢?
[00:00:14.000 --> 00:00:21.000]  我知道的是對神和對人,如果有的話,這個感恩節就過得有意思了
[00:00:21.000 --> 00:00:27.000]  哎呀,我又想問你,你有沒有把握機會表達衷心的感恩呢?
[00:00:27.000 --> 00:00:33.000]  有些人在Facebook上看我發過這句話,
[00:00:33.000 --> 00:00:41.000]  不是開心的人才會感恩,而是感恩的人才會開心
[00:00:41.000 --> 00:00:49.000]  不過,說到感恩,有時不是不想,但很多人都不知道怎樣去表達感恩
[00:00:49.000 --> 00:00:55.000]  所以感恩節就是吃一大餐,是好事,不要讓它停
[00:00:55.000 --> 00:01:03.000]  不如我們問一下,我們感恩的人,像我們的父母,配偶,親愛的人
[00:01:03.000 --> 00:01:09.000]  這些感恩大餐,不能缺乏的一樣是什麼呢?
[00:01:09.000 --> 00:01:18.000]  我相信他們會告訴你,就是你真心在這裡,跟他們一起過一個親密的時候
[00:01:18.000 --> 00:01:24.000]  真的,如果人在,心不在,比如坐在一起吃飯,吃感恩大餐
[00:01:24.000 --> 00:01:32.000]  你一邊在這裡點著手機,一邊看電視,多豐富的感恩大餐,其實都沒有意思
[00:01:32.000 --> 00:01:38.000]  因為你還在自己的世界裡感恩,對方感到很沒趣就真的
[00:01:38.000 --> 00:01:45.000]  一切感恩大餐都是表面的,如果你的心不在,是沒有意思的
[00:01:45.000 --> 00:01:51.000]  真心在一起,對方是會感受到的,感受到你的珍惜和重視
[00:01:51.000 --> 00:01:54.000]  這個就是最好的感恩
[00:01:54.000 --> 00:02:02.000]  說起來我們對神都是一樣,我們很多行動,或者我們口裡時時說感謝神,Praise the Lord
[00:02:02.000 --> 00:02:06.000]  我們在教會裡時時施奉神,奉獻很多錢
[00:02:06.000 --> 00:02:14.000]  但是如果我們沒有真心想跟神在一起,這些行動恐怕都是空殼,是沒有什麼意思的
[00:02:14.000 --> 00:02:21.000]  經歷了聖經,很多次都說,神所體重的不是我們為祂做任何的事
[00:02:21.000 --> 00:02:23.000]  因為神其實是不欠缺的
[00:02:23.000 --> 00:02:31.000]  我們對神最好的感恩就是真心跟祂在一起,一種真誠親密的時刻
[00:02:31.000 --> 00:02:36.000]  你有沒有試過這樣做呢?你又懂不懂得這樣做呢?
[00:02:36.000 --> 00:02:41.000]  今天我就很想和你分享一下我在這方面的成長和體會
[00:02:41.000 --> 00:02:51.000]  不過在說之前,我很想用詩篇139篇的四幅圖畫提醒一下我們和神之間的關係是怎樣的
[00:02:51.000 --> 00:02:55.000]  第一幅畫是《你這麼愛我》
[00:02:55.000 --> 00:03:01.000]  看看聖經裡的畫,它說:神啊,你監察我,你認識我
[00:03:01.000 --> 00:03:08.000]  小心看,監察這個字其實是指神關注我們的一切
[00:03:08.000 --> 00:03:15.000]  不單只是表面的活動,更加是我們內心深處的感受,祂也監察,祂也知道
[00:03:15.000 --> 00:03:17.000]  接著說:你認識我
[00:03:17.000 --> 00:03:21.000]  認識這個字,傳授詩出現了四次
[00:03:21.000 --> 00:03:26.000]  一方面是強調神是無所不知的,祂深深知道我們的一切
[00:03:26.000 --> 00:03:33.000]  而這個字也強調神和他的納若子民有一個真誠親密的關係
[00:03:33.000 --> 00:03:42.000]  第二句詩篇說:我坐下,我起來,我行路,我躺臥,你都曉得,你都世察
[00:03:42.000 --> 00:03:49.000]  想想,我坐下,可以是為生活的事想到頭都爆了的時侯
[00:03:49.000 --> 00:03:55.000]  我起來,可以說我起身去接受一些我接受不到的挑戰時侯,我很害怕的時侯
[00:03:55.000 --> 00:04:02.000]  我行路,可以是我很迷失,不知道哪一條才是正路的時侯
