
[00:00:00.000 --> 00:00:07.000]  第五節目早安,很高興大家在這麼大雪的日子裡都平安回到家中
[00:00:07.000 --> 00:00:12.000]  不知道大家有沒有見過這個建築呢?
[00:00:12.000 --> 00:00:16.000]  有沒有見過?
[00:00:16.000 --> 00:00:21.000]  熟悉香港的朋友,不知道有沒有見過這個建築呢?
[00:00:21.000 --> 00:00:23.000]  這個建築是在香港的
[00:00:23.000 --> 00:00:28.000]  大家覺得這個建築是屬於什麼宗教的建築呢?
[00:00:30.000 --> 00:00:32.000]  佛教、道教,是的
[00:00:32.000 --> 00:00:36.000]  很相似的,但其實它是一個基督教的建築物
[00:00:36.000 --> 00:00:38.000]  那為什麼呢?我們可以講一下
[00:00:38.000 --> 00:00:40.000]  可以幫我按下一張
[00:00:40.000 --> 00:00:42.000]  這個原來是杜豐山
[00:00:42.000 --> 00:00:47.000]  這個是位於杜豐山的一個建築
[00:00:47.000 --> 00:00:48.000]  在香港沙田
[00:00:48.000 --> 00:00:53.000]  是由一個信義宗的宣教士去建立
[00:00:53.000 --> 00:01:01.000]  當時他們為了向中國佛教和道教的信徒傳福音
[00:01:01.000 --> 00:01:05.000]  他們專門將教會這個聚會的地方
[00:01:05.000 --> 00:01:09.000]  建立成一個好像佛教寺院的模式
[00:01:09.000 --> 00:01:12.000]  希望用一個中國化的形象來傳福音
[00:01:12.000 --> 00:01:15.000]  所以在三十年代開始
[00:01:15.000 --> 00:01:17.000]  他就開始規劃
[00:01:17.000 --> 00:01:21.000]  然後希望那些佛教徒和道教徒
[00:01:21.000 --> 00:01:26.000]  可以在一個自己熟悉的宗教環境底下討論信仰
[00:01:26.000 --> 00:01:29.000]  以致他們能夠接觸到基督教
[00:01:29.000 --> 00:01:34.000]  所以當年宣教士為了傳福音給中國人
[00:01:34.000 --> 00:01:37.000]  他用中國人很熟悉的方式
[00:01:37.000 --> 00:01:41.000]  用道教、佛教的方式去包裝
[00:01:41.000 --> 00:01:43.000]  去向中國人傳福音
[00:01:43.000 --> 00:01:47.000]  才將這座建築物建成這樣
[00:01:47.000 --> 00:01:51.000]  同樣地
[00:01:51.000 --> 00:01:54.000]  上帝知道我們人類不認識祂
[00:01:54.000 --> 00:01:56.000]  也不太熟悉祂
[00:01:56.000 --> 00:02:01.000]  所以這個本來對於我們來說的上帝好像很遠
[00:02:01.000 --> 00:02:03.000]  隱形的
[00:02:03.000 --> 00:02:04.000]  在舊約年代
[00:02:04.000 --> 00:02:09.000]  人是沒有辦法直接去接觸上帝
[00:02:09.000 --> 00:02:10.000]  如果你有看舊約聖經
[00:02:10.000 --> 00:02:13.000]  你會知道透過誰說要
[00:02:13.000 --> 00:02:15.000]  如果要接觸上帝的話
[00:02:15.000 --> 00:02:18.000]  透過祭司、透過摩西、透過先知
[00:02:18.000 --> 00:02:22.000]  你才可以知道上帝的心意
[00:02:22.000 --> 00:02:23.000]  但是到了新約
[00:02:23.000 --> 00:02:25.000]  上帝為了我們這群
[00:02:25.000 --> 00:02:29.000]  對祂不是認識很深的人類
[00:02:29.000 --> 00:02:32.000]  祂專門用了一個我們很熟悉的方法
[00:02:32.000 --> 00:02:33.000]  讓我們去認識祂
[00:02:33.000 --> 00:02:35.000]  祂親自去道成肉身
[00:02:35.000 --> 00:02:37.000]  來到人間成為一個現身的神
[00:02:37.000 --> 00:02:39.000]  就好像剛剛第三首歌一樣
[00:02:39.000 --> 00:02:40.000]  我很喜歡歌詞
[00:02:40.000 --> 00:02:44.000]  祂翻身月亮為我來
[00:02:44.000 --> 00:02:49.000]  然後從至高之處降身為了愛
[00:02:49.000 --> 00:02:51.000]  祂就是這樣的一個上帝
[00:02:51.000 --> 00:02:53.000]  所以今天我們會看看
[00:02:53.000 --> 00:02:58.000]  這位曾經隱身見不到的上帝
[00:02:58.000 --> 00:03:01.000]  怎樣在耶穌的道成肉身裡面
[00:03:01.000 --> 00:03:04.000]  用我們一個理解到的方式
[00:03:04.000 --> 00:03:07.000]  在我們身邊去呈現
[00:03:07.000 --> 00:03:10.000]  所以今天我們聽完這篇講道之後
[00:03:10.000 --> 00:03:12.000]  我們會知道兩件事
[00:03:12.000 --> 00:03:14.000]  究竟這位上帝怎樣透過
[00:03:14.000 --> 00:03:16.000]  我們熟悉的方式去揭露
[00:03:16.000 --> 00:03:18.000]  祂對我們生命的指引
[00:03:18.000 --> 00:03:22.000]  第二 祂對我們生命中的
[00:03:22.000 --> 00:03:25.000]  一些黑暗的位置又有什麼啟迪
[00:03:25.000 --> 00:03:28.000]  首先我們一定要讀一下經文
[00:03:28.000 --> 00:03:34.000]  就是約翰福音的一章一至五節
[00:03:34.000 --> 00:03:36.000]  太初有道 道與上帝同在
[00:03:36.000 --> 00:03:38.000]  道就是上帝
[00:03:38.000 --> 00:03:40.000]  這道太初與上帝同在
[00:03:40.000 --> 00:03:42.000]  萬物都是藉著他所做的
[00:03:42.000 --> 00:03:44.000]  沒有一樣不是藉著他所做的
[00:03:44.000 --> 00:03:48.000]  凡被做的在他裡面有生命
[00:03:48.000 --> 00:03:50.000]  這生命就是人的光
[00:03:50.000 --> 00:03:52.000]  光照著黑暗裡
[00:03:52.000 --> 00:03:54.000]  黑暗卻沒有勝過光
[00:03:54.000 --> 00:04:00.000]  上帝透過創造
[00:04:00.000 --> 00:04:05.000]  開始了這個世界
[00:04:05.000 --> 00:04:08.000]  一開始人是完全見不到上帝本人
[00:04:08.000 --> 00:04:10.000]  但是我們可以透過他的說話
[00:04:10.000 --> 00:04:13.000]  去看到他所創造的世界
[00:04:13.000 --> 00:04:15.000]  所以經文是這樣說的
[00:04:15.000 --> 00:04:17.000]  太初有道 道與上帝同在
[00:04:17.000 --> 00:04:19.000]  萬物都是藉著他所做的
[00:04:19.000 --> 00:04:21.000]  意思是說上帝一開始
[00:04:21.000 --> 00:04:23.000]  創造這個世界的時候
[00:04:23.000 --> 00:04:26.000]  是用他的說話去行事的
[00:04:26.000 --> 00:04:29.000]  如果大家還記得創世紀一章的話
[00:04:29.000 --> 00:04:31.000]  他說什麼
[00:04:31.000 --> 00:04:33.000]  上帝說我要有光
[00:04:33.000 --> 00:04:35.000]  就有光
[00:04:35.000 --> 00:04:38.000]  他說要有天就有天
[00:04:38.000 --> 00:04:40.000]  我要有地就有地
[00:04:40.000 --> 00:04:42.000]  是他說就有了
[00:04:42.000 --> 00:04:44.000]  起初上帝的說話
[00:04:44.000 --> 00:04:45.000]  就是他的話語
[00:04:45.000 --> 00:04:48.000]  很明顯世界上所有的東西
[00:04:48.000 --> 00:04:51.000]  都是藉著他的話語所創造出來的
[00:04:51.000 --> 00:04:55.000]  這套和學本他用太初有道的道
[00:04:55.000 --> 00:04:59.000]  這個道其實是一個中國化的翻譯
[00:04:59.000 --> 00:05:01.000]  如果你知道和學本的歷史
[00:05:01.000 --> 00:05:03.000]  一百多年前
[00:05:03.000 --> 00:05:05.000]  翻譯者在一百年前的時候
[00:05:05.000 --> 00:05:08.000]  就採用了中國人所說的道
[00:05:08.000 --> 00:05:10.000]  就是智慧的意思
[00:05:10.000 --> 00:05:13.000]  意思是指上帝充滿著智慧
[00:05:13.000 --> 00:05:15.000]  能夠創造這個世界的萬物
[00:05:15.000 --> 00:05:19.000]  而在中國道家哲學裡面
[00:05:19.000 --> 00:05:23.000]  道是作為萬物源頭的根源
[00:05:23.000 --> 00:05:25.000]  無形無處不在
[00:05:25.000 --> 00:05:27.000]  對人類是不偏不倚的
[00:05:27.000 --> 00:05:29.000]  但是這個翻譯
[00:05:29.000 --> 00:05:31.000]  我們知道一百年前
[00:05:31.000 --> 00:05:33.000]  西方宣教士很想中國人
[00:05:33.000 --> 00:05:35.000]  得到福音的時候
[00:05:35.000 --> 00:05:39.000]  這個道的翻譯其實是比較切合的
[00:05:39.000 --> 00:05:43.000]  令到喜歡或者認識中國哲學的朋友
[00:05:43.000 --> 00:05:44.000]  可以交流到
[00:05:44.000 --> 00:05:48.000]  但是這個翻譯給人有一種距離感
[00:05:48.000 --> 00:05:51.000]  就因為上帝就好像道家裡面的道
[00:05:51.000 --> 00:05:53.000]  遠遠地看著你
[00:05:53.000 --> 00:05:56.000]  你又見不到他
[00:05:56.000 --> 00:05:58.000]  你又捉不到他
[00:05:58.000 --> 00:06:01.000]  但是你又好像感受不到他
[00:06:01.000 --> 00:06:03.000]  但是如果我們把這個字直譯成
[00:06:03.000 --> 00:06:06.000]  話語或者說話
[00:06:06.000 --> 00:06:10.000]  神藉著他的話語和說話去創造這個世界
