
[00:00:00.000 --> 00:00:03.000]  今次我們來到《九曰網》上的第十六講
[00:00:03.000 --> 00:00:05.120]  又是講到《創世紀》第23章
[00:00:05.120 --> 00:00:07.120]  上一次我們看到《創世紀》22章
[00:00:07.120 --> 00:00:08.120]  獻意殺這個故事
[00:00:08.120 --> 00:00:10.120]  我們講過阿拉罕殉心的旅程
[00:00:10.120 --> 00:00:12.120]  幾乎已經去到完結
[00:00:12.120 --> 00:00:13.620]  之後的兩章
[00:00:13.620 --> 00:00:15.620]  23章、24章
[00:00:15.620 --> 00:00:17.620]  其實是記載一些 transition
[00:00:17.620 --> 00:00:19.620]  一些過渡的內容
[00:00:19.620 --> 00:00:21.620]  但不代表是不重要的
[00:00:21.620 --> 00:00:23.120]  今次我們看23章
[00:00:23.120 --> 00:00:25.120]  就是記載阿拉罕的妻子
[00:00:25.120 --> 00:00:27.620]  撒拉她的死和埋葬
[00:00:27.620 --> 00:00:33.620]  這裡也是聖經第一次記載到一個很詳細的埋葬葬禮的故事
[00:00:33.620 --> 00:00:34.620]  23章第一節
[00:00:34.620 --> 00:00:36.620]  撒拉享壽一百二十七歲
[00:00:36.620 --> 00:00:38.620]  撒拉一生的壽數
[00:00:38.620 --> 00:00:40.620]  她死在迦南地的基列
[00:00:40.620 --> 00:00:42.620]  阿爸就是希伯倫赫本
[00:00:42.620 --> 00:00:44.620]  阿拉罕為她哀動哭號
[00:00:44.620 --> 00:00:48.620]  後來阿拉罕從死人面前起來對黑人說
[00:00:48.620 --> 00:00:51.620]  我在你們中間是外人是寄居的
[00:00:51.620 --> 00:00:53.620]  求你們在這裡給我一塊地
[00:00:53.620 --> 00:00:55.620]  好好埋葬我的死人
[00:00:55.620 --> 00:00:57.620]  使他不在我眼前
[00:00:57.620 --> 00:00:59.620]  這裡第一個我們需要問的問題
[00:00:59.620 --> 00:01:04.620]  就是埋葬到底在當時近東的文化裡面是什麼意思呢?
[00:01:04.620 --> 00:01:06.620]  或者對於我們現代人來說
[00:01:06.620 --> 00:01:08.620]  可能埋葬只是搞一些身後的事
[00:01:08.620 --> 00:01:10.620]  在近東的文化裡面
[00:01:10.620 --> 00:01:12.620]  在那種社會的氣氛裡面
[00:01:12.620 --> 00:01:17.620]  埋葬不單單是一些身後的辦理手續
[00:01:17.620 --> 00:01:20.620]  而是在一個榮與辱的文化
[00:01:20.620 --> 00:01:21.620]  honor and shame 裡面
[00:01:21.620 --> 00:01:23.620]  在舊約的世界當中
[00:01:23.620 --> 00:01:27.620]  葬禮可以分開五類
[00:01:27.620 --> 00:01:29.620]  由一些最尊貴的
[00:01:29.620 --> 00:01:31.620]  到一些最羞恥的葬禮方法
[00:01:31.620 --> 00:01:33.620]  第一種當然就是
[00:01:33.620 --> 00:01:35.620]  在舊約的世界裡面
[00:01:35.620 --> 00:01:37.620]  最好的葬禮方法就是自己家族
[00:01:37.620 --> 00:01:39.620]  一個family tomb 一個自己的墓穴
[00:01:39.620 --> 00:01:42.620]  然後你就歸到你的先人那裡
[00:01:42.620 --> 00:01:45.620]  這是最榮譽的一種葬禮
[00:01:45.620 --> 00:01:49.620]  第二種的葬禮就是一種親屬的墓穴
[00:01:49.620 --> 00:01:51.620]  或者你未必有錢
[00:01:51.620 --> 00:01:53.620]  能夠有自己家庭自己家族的墓穴
[00:01:53.620 --> 00:01:56.620]  你就可以投靠你的親戚
[00:01:56.620 --> 00:02:00.620]  在親屬家族的墓穴裡面安葬
[00:02:00.620 --> 00:02:03.620]  或者第三個層面
[00:02:03.620 --> 00:02:07.620]  就是在別人的家族的墓穴裡面安葬
[00:02:07.620 --> 00:02:10.620]  由最榮譽的
[00:02:10.620 --> 00:02:14.620]  一直向著比較沒有那麼榮譽
[00:02:14.620 --> 00:02:17.620]  比較沒有那麼honor的一種葬禮
[00:02:17.620 --> 00:02:20.620]  第四種就算是一種
[00:02:20.620 --> 00:02:22.620]  感覺上是奏助
[00:02:22.620 --> 00:02:25.620]  就是一種坑墳或者坑洞
[00:02:25.620 --> 00:02:28.620]  將你的屍身埋葬
[00:02:28.620 --> 00:02:33.620]  不能夠歸回家屬或者家人
[00:02:33.620 --> 00:02:36.620]  然後最底層就是最羞恥的
[00:02:36.620 --> 00:02:38.620]  真的算是一種奏助
[00:02:38.620 --> 00:02:41.620]  很多時候在戰亂或者被擄的時候
[00:02:41.620 --> 00:02:44.620]  沒有正式的葬禮
[00:02:44.620 --> 00:02:47.620]  有一點像橫屍街頭
[00:02:47.620 --> 00:02:49.620]  在一些動亂的情況
[00:02:49.620 --> 00:02:51.620]  事實上都會發生
[00:02:51.620 --> 00:02:53.620]  是捍衛一種羞恥的一種奏助
[00:02:53.620 --> 00:02:55.620]  我們就想問
[00:02:55.620 --> 00:02:59.620]  撒拉的葬禮或者阿布拉罕希望撒拉有的葬禮
[00:02:59.620 --> 00:03:01.620]  是哪一類呢?
[00:03:01.620 --> 00:03:02.620]  很簡單
[00:03:02.620 --> 00:03:05.620]  我們應該想到是第一類
[00:03:05.620 --> 00:03:07.620]  因為二十三章七節開始
[00:03:07.620 --> 00:03:09.620]  不斷去交代阿布拉罕
[00:03:09.620 --> 00:03:13.620]  希望能夠買到自己家族的墳地
[00:03:13.620 --> 00:03:16.620]  在希伯倫這個地方能夠安葬撒拉
[00:03:16.620 --> 00:03:18.620]  當世紀二十三章第七節
[00:03:18.620 --> 00:03:21.620]  阿布拉罕向那地的客人下拜說
[00:03:21.620 --> 00:03:24.620]  你們若有意叫我埋葬我的死人
[00:03:24.620 --> 00:03:25.620]  使他不在我眼前
[00:03:25.620 --> 00:03:26.620]  請聽我的話
[00:03:26.620 --> 00:03:29.620]  為我求所覺的義子爾弗倫
[00:03:29.620 --> 00:03:32.620]  把田地上那麥比拉洞給我
[00:03:32.620 --> 00:03:35.620]  他可以按著足價埋給我
[00:03:35.620 --> 00:03:38.620]  作我在你們中間的墳地
[00:03:38.620 --> 00:03:40.620]  當時爾弗倫正坐在客人中間
[00:03:40.620 --> 00:03:41.620]  對阿布拉罕說
[00:03:41.620 --> 00:03:43.620]  不然我主請聽
[00:03:43.620 --> 00:03:44.620]  我送給你這塊田
[00:03:44.620 --> 00:03:46.620]  連田間的洞也送給你
[00:03:46.620 --> 00:03:49.620]  在我同族的人面前都送給你
[00:03:49.620 --> 00:03:52.620]  可以埋葬你的死人
[00:03:52.620 --> 00:03:55.620]  阿布拉罕卻對爾弗倫說
[00:03:55.620 --> 00:03:57.620]  你若應允請聽我的話
[00:03:57.620 --> 00:03:59.620]  我要把田價給你
[00:03:59.620 --> 00:04:00.620]  求你收下
[00:04:00.620 --> 00:04:03.620]  我就在那裡埋葬我的死人
[00:04:03.620 --> 00:04:04.620]  整個故事的對話
[00:04:04.620 --> 00:04:09.620]  是跟這塊墓地的買賣有關
[00:04:09.620 --> 00:04:11.620]  就如爾弗倫怎樣形容
[00:04:11.620 --> 00:04:14.620]  他說給阿布拉罕那塊田地
[00:04:14.620 --> 00:04:15.620]  不單給墓穴
[00:04:15.620 --> 00:04:17.620]  還給你整塊田地
[00:04:17.620 --> 00:04:19.620]  你會覺得很慷慨
[00:04:19.620 --> 00:04:21.620]  字面上看是很慷慨
[00:04:21.620 --> 00:04:24.620]  但其實裏面隱藏著很多風險
