
[00:00:00.000 --> 00:00:02.400]  歡迎各位參加《舊約》網上行
[00:00:02.400 --> 00:00:04.540]  繼上一次《聖地》網上行
[00:00:04.540 --> 00:00:05.400]  部主腳鐘
[00:00:05.400 --> 00:00:08.380]  我們一連十四集追蹤主耶穌的生平
[00:00:08.380 --> 00:00:10.380]  我們這一次再整裝待發
[00:00:10.380 --> 00:00:11.600]  就算疫情還沒退
[00:00:11.600 --> 00:00:13.200]  我們仍然被困在家中
[00:00:13.200 --> 00:00:15.200]  我們仍然可以在旅程裡面
[00:00:15.200 --> 00:00:16.540]  我們去查訪一下
[00:00:16.540 --> 00:00:18.800]  聖經舊約的世界
[00:00:18.800 --> 00:00:22.600]  以及讓上帝在舊約歷史當中留下的足印
[00:00:22.600 --> 00:00:24.600]  陪我們走過這個逆境
[00:00:24.600 --> 00:00:27.340]  網上行有一個很重要的 idea(概念)
[00:00:27.340 --> 00:00:28.800]  不知道大家記不記得
[00:00:28.800 --> 00:00:31.000]  就是每一次我們看聖經的時候
[00:00:31.000 --> 00:00:33.800]  就有如去一個陌生的地方旅行一樣
[00:00:33.800 --> 00:00:37.800]  我們不可以用自己的觀念套到聖經上
[00:00:37.800 --> 00:00:43.340]  要先明白聖經當地的風土人情、背景等等
[00:00:43.340 --> 00:00:46.300]  因為聖經是神對人類的啟示
[00:00:46.300 --> 00:00:47.940]  神向人溝通的時候
[00:00:47.940 --> 00:00:52.040]  是用當代人能夠明白的語言、概念等等
[00:00:52.040 --> 00:00:55.040]  所以我們先要明白聖經古代的世界
[00:00:55.040 --> 00:00:56.840]  今天我們才能夠明白
[00:00:56.840 --> 00:01:00.240]  神藉著本聖經想跟我們說什麼
[00:01:00.240 --> 00:01:03.640]  這次是舊約網上行的第一集
[00:01:03.640 --> 00:01:06.440]  當然我們就由創世紀開始
[00:01:06.440 --> 00:01:09.440]  說到創世紀我們會想起歷史
[00:01:09.440 --> 00:01:12.840]  不單單是以色列的歷史、它的起源
[00:01:12.840 --> 00:01:15.340]  比如族長Patrius的歷史
[00:01:15.340 --> 00:01:16.840]  阿布拉罕爾薩雅國
[00:01:16.840 --> 00:01:19.640]  我們更加會想起萬有的歷史
[00:01:19.640 --> 00:01:21.640]  宇宙、人類的起源
[00:01:21.640 --> 00:01:25.840]  創世紀所記載的就是神創造天地
[00:01:25.840 --> 00:01:27.840]  說到人類的開始
[00:01:27.840 --> 00:01:31.640]  人類如何喪失了Paradise、樂園
[00:01:31.640 --> 00:01:33.640]  以至離開了上帝
[00:01:33.640 --> 00:01:35.640]  人類文化的開始等等
[00:01:35.640 --> 00:01:37.640]  這些主題
[00:01:37.640 --> 00:01:40.840]  不單單是我們現代人切身感到興趣
[00:01:40.840 --> 00:01:44.840]  更加是古代世界文獻裡面經常會討論
[00:01:44.840 --> 00:01:46.640]  這就是創世紀
[00:01:46.640 --> 00:01:49.640]  特別第一至十一章有的背景
[00:01:49.640 --> 00:01:51.640]  這個世界叫做什麼呢
[00:01:51.640 --> 00:01:53.040]  美索不達米亞
[00:01:53.040 --> 00:01:54.340]  Mesopotamia
[00:01:54.340 --> 00:02:23.340]  (音樂)
[00:02:24.340 --> 00:02:29.340]  人類的文明、文字寫作、數學、天文地理
[00:02:29.340 --> 00:02:33.340]  耕種畜牧、商業法治、城邦的建立等等
[00:02:33.340 --> 00:02:35.340]  是由一個地方開始
[00:02:35.340 --> 00:02:40.340]  這個地方不是埃及、不是希臘、不是羅馬
[00:02:40.340 --> 00:02:43.340]  不是中國、不是印度
[00:02:43.340 --> 00:02:45.340]  而是美索不達米亞
