
[00:00:00.000 --> 00:00:03.400]  中文堂同埋英文堂嘅講道呢就係Mark Sir
[00:00:03.400 --> 00:00:05.400]  加番時間畀Mark Sir
[00:00:05.400 --> 00:00:10.400]  大家好 早晨
[00:00:10.400 --> 00:00:15.400]  好咁我哋繼續喺呢一個嘅series呢叫做
[00:00:15.400 --> 00:00:17.400]  建立一個健康啲嘅教會
[00:00:17.400 --> 00:00:20.000]  我哋呢繼續去思想呢個問題
[00:00:20.000 --> 00:00:26.400]  有兩三個禮拜冇同大家喺港台上面同你大家分享
[00:00:26.400 --> 00:00:29.400]  咁我啱啱過去一個禮拜就去咗神何縣
[00:00:29.400 --> 00:00:33.400]  交完paper咁我就禮拜五晚就返嚟
[00:00:33.400 --> 00:00:38.400]  咁所以呢都有一啲好忙嘅時間咁
[00:00:38.400 --> 00:00:42.400]  跟住呢晏晝呢今日晏晝呢我就要去探我仔
[00:00:42.400 --> 00:00:45.400]  我仔冇見佢好耐呀唔知佢肥咗定瘦咗
[00:00:45.400 --> 00:00:48.400]  定係冇咩點變呢咁所以呢今日晏晝都要揸車落去
[00:00:48.400 --> 00:00:50.400]  Well anyways
[00:00:50.400 --> 00:00:55.400]  我哋睇呢個嘅健康教會嘅題目
[00:00:55.400 --> 00:00:59.400]  今次喺呢個講堂裏面係第二次講
[00:00:59.400 --> 00:01:02.400]  咁我哋繼續睇呢個題目嘅時候呢我睇一段聖經
[00:01:02.400 --> 00:01:07.400]  係響哥林多前書第十二章
[00:01:07.400 --> 00:01:11.400]  如果你有聖經嘅話可以先打開去呢個地方
[00:01:11.400 --> 00:01:15.400]  點解我哋睇呢個題目呢因為好多時呢有一個問題呢
[00:01:15.400 --> 00:01:17.400]  就係我哋需要問自己
[00:01:17.400 --> 00:01:21.400]  你返咗教會咁耐你覺得唔係返教會耐嘅話
[00:01:21.400 --> 00:01:25.400]  就知道教會應該係點㗎
[00:01:25.400 --> 00:01:31.400]  返教會越耐就越清楚教會應該係點
[00:01:31.400 --> 00:01:33.400]  唔一定呀係咪
[00:01:33.400 --> 00:01:37.400]  返教會幾耐上咗幾耐
[00:01:37.400 --> 00:01:41.400]  你唔一定好清楚教會應該係點
[00:01:41.400 --> 00:01:45.400]  可能返得耐嘅更加唔清楚啲
[00:01:45.400 --> 00:01:48.400]  因為我哋自己對教會嘅概念
[00:01:48.400 --> 00:01:52.400]  我自己一啲嘅價值觀可能都會影響我哋
[00:01:52.400 --> 00:01:54.400]  點樣睇一個教會
[00:01:54.400 --> 00:01:57.400]  所以點樣都好我哋都一定要返返去上帝嘅話語
[00:01:57.400 --> 00:02:01.400]  係上帝嘅話語聖經點樣去教導教會
[00:02:01.400 --> 00:02:04.400]  話俾教會聽教會應該點樣去生活
[00:02:04.400 --> 00:02:07.400]  教會點樣係一個健康嘅一個家庭
[00:02:07.400 --> 00:02:11.400]  係聖經講嘅唔係你同我去諗嘅
[00:02:11.400 --> 00:02:15.400]  所以個權威始終都係響上帝嘅話語上
[00:02:15.400 --> 00:02:17.400]  唔係響我哋
[00:02:17.400 --> 00:02:20.400]  唔係我哋自己諗法亦都唔係我哋自己嘅傳統
[00:02:20.400 --> 00:02:24.400]  更加唔係我哋自己嘅意見
[00:02:24.400 --> 00:02:26.400]  最重要嘅就返返去聖經裏面
[00:02:26.400 --> 00:02:29.400]  到底聖經點樣去到講教會
[00:02:29.400 --> 00:02:33.400]  所以諗一諗你返到教會好耐又好
[00:02:33.400 --> 00:02:36.400]  或者唔係好多啱啱開始返教會嘅
[00:02:36.400 --> 00:02:38.400]  到底一個教會應該係點嘅呢
[00:02:38.400 --> 00:02:40.400]  最主要唔係你點諗
[00:02:40.400 --> 00:02:42.400]  係上帝點諗
[00:02:42.400 --> 00:02:46.400]  上帝嘅話語點樣去教導我哋
[00:02:46.400 --> 00:02:48.400]  好咁我哋開始嘅時候呢
[00:02:48.400 --> 00:02:54.400]  不如我哋試下去到睇聖經裏面一啲經文之前
[00:02:54.400 --> 00:02:56.400]  咁不如我哋做少少QA好唔好
[00:02:56.400 --> 00:02:58.400]  我哋有個pop quiz畀你
[00:02:58.400 --> 00:03:00.400]  有個測驗畀大家
[00:03:00.400 --> 00:03:02.400]  準備好未
[00:03:02.400 --> 00:03:06.400]  咁我就準備咗啲講保羅書信嘅pop quiz
[00:03:06.400 --> 00:03:10.400]  同你隔離嗰個你partner問一問佢
[00:03:10.400 --> 00:03:12.400]  到底答案係乜嘢呢
[00:03:12.400 --> 00:03:16.400]  點解呢因為有好多新約嘅書信
[00:03:16.400 --> 00:03:21.400]  新約嘅一啲書卷都係講到教會應該係點樣
[00:03:21.400 --> 00:03:26.400]  好多都係出自呢個保羅嘅書信
[00:03:26.400 --> 00:03:28.400]  OK準備好未
[00:03:28.400 --> 00:03:30.400]  同你隔離嗰個partner
[00:03:30.400 --> 00:03:32.400]  到底有幾多本書係保羅寫
[00:03:32.400 --> 00:03:34.400]  教會嘅書信有幾多卷
[00:03:34.400 --> 00:03:36.400]  OK你同你隔離嗰個傾傾好嗎
[00:03:36.400 --> 00:03:38.400]  前後左右都得
[00:03:38.400 --> 00:03:40.400]  幾多卷
[00:03:40.400 --> 00:03:44.400]  知唔知幾多卷
[00:03:44.400 --> 00:03:48.400]  OK有邊個話係4卷
[00:03:48.400 --> 00:03:50.400]  4卷OK
[00:03:50.400 --> 00:03:52.400]  有邊個話係13卷
[00:03:52.400 --> 00:03:54.400]  13OK27呢
[00:03:54.400 --> 00:03:59.400]  你做考試嘅時候有一個技巧係做咩
[00:03:59.400 --> 00:04:01.400]  就係illumination位
[00:04:01.400 --> 00:04:03.400]  點解唔會係27
[00:04:03.400 --> 00:04:05.400]  新約已經27卷
[00:04:05.400 --> 00:04:09.400]  點可能佢27卷都佢寫佢玩曬咩
[00:04:09.400 --> 00:04:12.400]  咁所以只能夠係4或者13
[00:04:12.400 --> 00:04:14.400]  4定13
[00:04:14.400 --> 00:04:16.400]  係13㗎OK
[00:04:16.400 --> 00:04:18.400]  羅馬書 哥林多前後書
[00:04:18.400 --> 00:04:20.400]  加拉提書
[00:04:20.400 --> 00:04:22.400]  爾弗所書 肥納比書
[00:04:22.400 --> 00:04:24.400]  哥羅西書
[00:04:24.400 --> 00:04:26.400]  接受現在前後書
[00:04:26.400 --> 00:04:28.400]  提摩太前後書
[00:04:28.400 --> 00:04:31.400]  提多書同埋肥利門書等等
[00:04:31.400 --> 00:04:33.400]  加加埋埋呢13卷
[00:04:33.400 --> 00:04:35.400]  OK得唔得
[00:04:35.400 --> 00:04:37.400]  OK吖 知道答案
[00:04:37.400 --> 00:04:39.400]  有人錄低個答案
[00:04:39.400 --> 00:04:41.400]  要知㗎13卷
[00:04:41.400 --> 00:04:43.400]  傳統嚟講我哋話13卷
[00:04:43.400 --> 00:04:45.400]  呢一條
[00:04:45.400 --> 00:04:49.400]  邊一卷書以下邊一卷書唔係保羅寫㗎呢
[00:04:49.400 --> 00:04:51.400]  A係加亞太書
[00:04:51.400 --> 00:04:53.400]  B係爾弗所書
[00:04:53.400 --> 00:04:55.400]  C係貼哂我哋而家前後書
[00:04:55.400 --> 00:04:57.400]  D係保羅一書
[00:04:57.400 --> 00:04:59.400]  E係提多書
[00:04:59.400 --> 00:05:01.400]  邊個答案 邊個唔係保羅寫㗎
[00:05:01.400 --> 00:05:03.400]  係咪保羅一書
[00:05:03.400 --> 00:05:05.400]  但係有約翰一書
[00:05:05.400 --> 00:05:07.400]  約翰一書係約翰寫㗎
[00:05:07.400 --> 00:05:11.400]  OK所以係保羅一書㗎
[00:05:11.400 --> 00:05:13.400]  OK呢個好清楚吖
[00:05:13.400 --> 00:05:15.400]  大家知道吓 冇保羅一書呢舊嘢㗎
[00:05:15.400 --> 00:05:17.400]  OK
[00:05:17.400 --> 00:05:19.400]  但係保羅寫嗰啲書信呢
[00:05:19.400 --> 00:05:23.400]  係冇歸納或者冇收喺新約書信㗎
[00:05:23.400 --> 00:05:25.400]  知唔知呀
[00:05:25.400 --> 00:05:27.400]  我哋唔係話佢13卷嘅寫咗
[00:05:27.400 --> 00:05:29.400]  但係其實佢寫多過13卷嘅
[00:05:29.400 --> 00:05:31.400]  OK第三
[00:05:31.400 --> 00:05:33.400]  愛是恆久忍耐
[00:05:33.400 --> 00:05:35.400]  又要因此愛事不疾到不自誇
[00:05:35.400 --> 00:05:37.400]  不張狂 係從哪一卷書出嚟㗎
[00:05:37.400 --> 00:05:39.400]  解太書 哥林多後書 哥林多前書
[00:05:39.400 --> 00:05:41.400]  或者爾弗所書 邊卷
[00:05:41.400 --> 00:05:43.400]  係呀哥林多後書
[00:05:43.400 --> 00:05:45.400]  係呀哥林多後書
[00:05:45.400 --> 00:05:47.400]  前書 冇錯係前書
[00:05:47.400 --> 00:05:49.400]  我特登咁講 等你醒一醒先
[00:05:49.400 --> 00:05:51.400]  OK
[00:05:51.400 --> 00:05:53.400]  係啦 冇錯係哥林多前書
[00:05:53.400 --> 00:05:55.400]  OK仲有冇
[00:05:55.400 --> 00:05:57.400]  仲有
[00:05:57.400 --> 00:05:59.400]  係呢卷
[00:05:59.400 --> 00:06:05.400]  哥林多前書係咪寶羅寫畀哥林多教會嘅第一封書信呢
[00:06:05.400 --> 00:06:07.400]  是定否呢
[00:06:07.400 --> 00:06:09.400]  奇怪咁樣問呢啲咁嘢
[00:06:09.400 --> 00:06:11.400]  哥林多前書冇理由前前書
[00:06:11.400 --> 00:06:13.400]  OK
[00:06:13.400 --> 00:06:15.400]  是定否
[00:06:15.400 --> 00:06:23.400]  哥林多前書係咪寶羅寫畀哥林多教會嘅第一封信
