
[00:00:00.000 --> 00:00:02.280]   - Thank you, Kelly.
[00:00:02.280 --> 00:00:07.640]   Good morning, UV.
[00:00:07.640 --> 00:00:10.660]   It is good to be back here with you all,
[00:00:10.660 --> 00:00:14.040]   and I hope you guys get some time to enjoy the spring weather
[00:00:14.040 --> 00:00:16.840]   and just seeing different flowers blooming,
[00:00:16.840 --> 00:00:19.200]   the colors, there's like all around the streets.
[00:00:19.200 --> 00:00:21.980]   This is my favorite time of the year.
[00:00:21.980 --> 00:00:24.400]   Okay, this morning we're gonna continue with our series
[00:00:24.400 --> 00:00:26.480]   on Jesus' Sermon on the Mount.
[00:00:26.480 --> 00:00:30.100]   And today we're gonna look at this,
[00:00:30.100 --> 00:00:34.840]   okay, pursuing kingdom righteousness.
[00:00:34.840 --> 00:00:37.200]   But before that, let us pray together first.
[00:00:37.200 --> 00:00:43.880]   Heavenly Father, as we prepare to open up your word
[00:00:43.880 --> 00:00:47.300]   this morning, I just ask that your spirit
[00:00:47.300 --> 00:00:49.440]   will be in each and every one of our heart.
[00:00:49.440 --> 00:00:53.400]   As we receive your word being proclaimed,
[00:00:55.420 --> 00:00:57.840]   that your spirit will do your work in our hearts
[00:00:57.840 --> 00:01:02.640]   to transform us into people that represent your kingdom,
[00:01:02.640 --> 00:01:06.800]   into people of love, into people that the world
[00:01:06.800 --> 00:01:09.800]   will recognize that we belong to you.
[00:01:09.800 --> 00:01:12.400]   Because we know that your word is living and active.
[00:01:12.400 --> 00:01:17.480]   So allow your word to do the transforming work
[00:01:17.480 --> 00:01:18.380]   in our hearts.
[00:01:18.380 --> 00:01:22.280]   Father, I also ask that your Holy Spirit
[00:01:22.280 --> 00:01:25.080]   will be with me this morning as I preach your word
[00:01:25.080 --> 00:01:28.260]   that anything that is not from you,
[00:01:28.260 --> 00:01:30.460]   that you will take them away.
[00:01:30.460 --> 00:01:33.880]   And may your word and your word alone be proclaimed.
[00:01:33.880 --> 00:01:35.720]   I pray this in your son's name, amen.
[00:01:35.720 --> 00:01:39.340]   I don't know if there's the breathing voice
[00:01:39.340 --> 00:01:41.940]   coming through the mic, but hopefully that is not
