
[00:00:00.000 --> 00:00:02.000]  鄭俊雄 早安
[00:00:02.000 --> 00:00:05.000]  我們今天繼續看短的系列
[00:00:05.000 --> 00:00:06.000]  叫做《神愛大地》
[00:00:06.000 --> 00:00:08.000]  我們講Creation Care
[00:00:08.000 --> 00:00:12.000]  我們去了解到這個主題
[00:00:12.000 --> 00:00:14.000]  很多時候在教會裏面很少講的
[00:00:14.000 --> 00:00:18.000]  因為我們最多講的是傳福音和救靈魂
[00:00:18.000 --> 00:00:19.000]  但這些東西是重要的
[00:00:19.000 --> 00:00:23.000]  我們每一個都需要去履行大使命
[00:00:23.000 --> 00:00:25.000]  但在整本聖經裏面
[00:00:25.000 --> 00:00:27.000]  怎樣教導我們
[00:00:27.000 --> 00:00:31.000]  還是救靈魂離開這個有苦難的世界
[00:00:31.000 --> 00:00:33.000]  脫苦海去救呢
[00:00:33.000 --> 00:00:35.000]  整本聖經應該怎樣去思考這個問題
[00:00:35.000 --> 00:00:38.000]  所以我們想在這個系列裏面
[00:00:38.000 --> 00:00:42.000]  去做一些所謂的theological reflection
[00:00:42.000 --> 00:00:44.000]  一些神學上的反省
[00:00:44.000 --> 00:00:45.000]  看看聖經裏面怎樣講
[00:00:45.000 --> 00:00:47.000]  上一次我們講到
[00:00:47.000 --> 00:00:50.000]  可以有兩個不同的時間表
[00:00:50.000 --> 00:00:53.000]  或者兩個不同的概念
[00:00:53.000 --> 00:00:55.000]  第一個概念就是我們傳統教會裏面
[00:00:55.000 --> 00:00:57.000]  很多時候都接觸到的概念
[00:00:57.000 --> 00:01:00.000]  就是我們現在這個世界既然被罪破壞了
[00:01:00.000 --> 00:01:01.000]  上帝來救我們
[00:01:01.000 --> 00:01:03.000]  藉著耶穌基督救我們的時候
[00:01:03.000 --> 00:01:05.000]  最終這個世界現在的天地
[00:01:05.000 --> 00:01:08.000]  一定會是total destruction
[00:01:08.000 --> 00:01:11.000]  一定會是全然的毀壞
[00:01:11.000 --> 00:01:12.000]  好像按一個按鈕
[00:01:12.000 --> 00:01:13.000]  它self-destruct
[00:01:13.000 --> 00:01:15.000]  然後全部東西都沒有了
[00:01:15.000 --> 00:01:17.000]  然後新天新地就會來到
[00:01:17.000 --> 00:01:19.000]  耶穌再回來的時候就會來到
[00:01:19.000 --> 00:01:21.000]  所以你看到那個核爆那裏
[00:01:21.000 --> 00:01:25.000]  所以如果你用一個這樣的概念
[00:01:25.000 --> 00:01:26.000]  去了解我們現在的世界
[00:01:26.000 --> 00:01:28.000]  和將來新天新地之間的關係
[00:01:28.000 --> 00:01:33.000]  你就會發現有一個完全絕對的中斷性
[00:01:33.000 --> 00:01:35.000]  現在這個大自然
[00:01:35.000 --> 00:01:36.000]  現在我們所做的一切
[00:01:36.000 --> 00:01:38.000]  無論是文化上的東西
[00:01:38.000 --> 00:01:40.000]  藝術、音樂等等
[00:01:40.000 --> 00:01:44.000]  是沒有什麼永恆意思的
