
[00:00:00.000 --> 00:00:02.640]  當我們看這些詩篇的時候,有一個問題可以問的
[00:00:02.640 --> 00:00:05.080]  就是我們在讀這些詩詞歌賦
[00:00:05.080 --> 00:00:06.520]  詩篇的時候
[00:00:06.520 --> 00:00:07.920]  我們就問一問到底
[00:00:07.920 --> 00:00:12.160]  哪一個人會發出一種這樣的詩歌
[00:00:12.160 --> 00:00:14.160]  誰會唱這些詩歌
[00:00:14.160 --> 00:00:15.880]  另一個問題可以問的就是
[00:00:15.880 --> 00:00:17.880]  到底詩歌裡面所說的
[00:00:17.880 --> 00:00:19.880]  到底是什麼情況呢
[00:00:19.880 --> 00:00:21.880]  什麼人呢
[00:00:21.880 --> 00:00:27.080]  對象是在描述什麼情境呢
[00:00:27.080 --> 00:00:30.400]  套入我們今天的現代的境況裡面
[00:00:30.400 --> 00:00:32.400]  到底誰可以唱這首詩歌
[00:00:32.400 --> 00:00:34.400]  或者這首詩歌到底是想說什麼
[00:00:34.400 --> 00:00:39.400]  73篇其實很清楚分開三節的
[00:00:39.400 --> 00:00:43.400]  有三節,好像我們平時唱詩歌有好幾節一樣
[00:00:43.400 --> 00:00:46.400]  73篇總共有三節
[00:00:46.400 --> 00:00:48.400]  一至十二節
[00:00:48.400 --> 00:00:51.400]  就是一段,我們先看頭六節
[00:00:51.400 --> 00:00:53.400]  他說:神實在善待以色列
[00:00:53.400 --> 00:00:55.400]  就是神的子民
[00:00:55.400 --> 00:00:58.400]  善待那些內心清潔的人
[00:00:58.400 --> 00:01:01.400]  就是上帝和祂的子民立約
[00:01:01.400 --> 00:01:03.400]  無論是舊約裡面
[00:01:03.400 --> 00:01:08.400]  藉著摩西過紅海,西乃山等等的歷史
[00:01:08.400 --> 00:01:10.400]  或者到新約,在基督裡面
[00:01:10.400 --> 00:01:13.400]  我們是那一群和上帝立約的人
[00:01:13.400 --> 00:01:15.400]  有一個這樣的信念
[00:01:15.400 --> 00:01:17.400]  只要我們守信約的話
[00:01:17.400 --> 00:01:19.400]  神的子民守信約的時候
[00:01:19.400 --> 00:01:22.400]  神就會恩待他的百姓
[00:01:22.400 --> 00:01:24.400]  會祝福他的百姓
[00:01:24.400 --> 00:01:27.400]  God is good,神實在善待
[00:01:27.400 --> 00:01:29.400]  good to those
[00:01:29.400 --> 00:01:31.400]  那些是righteous的
[00:01:31.400 --> 00:01:34.400]  那些是願意守約的人
[00:01:34.400 --> 00:01:37.400]  比如第一篇,大家應該很熟悉
[00:01:37.400 --> 00:01:38.400]  不從來人的計謀等等
[00:01:38.400 --> 00:01:40.400]  那個是有福的人
[00:01:40.400 --> 00:01:45.400]  他只要跟著上帝的律法
[00:01:45.400 --> 00:01:47.400]  這個就是一個有福的人
[00:01:47.400 --> 00:01:49.400]  有良知,行得正,站得正
[00:01:49.400 --> 00:01:51.400]  行公義,好憐憫的這群人
[00:01:51.400 --> 00:01:53.400]  上帝就是祝福這群人
[00:01:53.400 --> 00:01:56.400]  其實我們教子女也是這樣的
[00:01:56.400 --> 00:02:00.400]  誠誠實實在你的學校
[00:02:00.400 --> 00:02:03.400]  在你成長的過程裡面
[00:02:03.400 --> 00:02:06.400]  你盡力做好,做好你自己
[00:02:06.400 --> 00:02:08.400]  不要做壞事
[00:02:08.400 --> 00:02:10.400]  這個就是舊約新約
[00:02:10.400 --> 00:02:12.400]  一直有的conviction
[00:02:12.400 --> 00:02:14.400]  就是他相信
[00:02:14.400 --> 00:02:21.400]  宣佈耶和華神一定會恩待那些守約的人
[00:02:21.400 --> 00:02:24.400]  但是他宣佈完之後
[00:02:24.400 --> 00:02:29.400]  他就對聖殿裡面一起assembly的那群人
[00:02:29.400 --> 00:02:30.400]  God is good
[00:02:30.400 --> 00:02:32.400]  但是第二節開始
[00:02:32.400 --> 00:02:34.400]  他說世情很多時候不是這樣的
[00:02:34.400 --> 00:02:36.400]  世情往往是相反的
[00:02:36.400 --> 00:02:38.400]  他見證了什麼呢?
[00:02:38.400 --> 00:02:43.400]  他說他自己曾經差不多跌倒
[00:02:43.400 --> 00:02:45.400]  差不多滑倒
[00:02:45.400 --> 00:02:49.400]  他說惡人狂傲人
[00:02:49.400 --> 00:02:52.400]  惡人狂傲人不是那些常常說髒話
[00:02:52.400 --> 00:02:53.400]  很不禮貌的人
[00:02:53.400 --> 00:02:55.400]  不一定是那些人
[00:02:55.400 --> 00:02:57.400]  惡人狂傲人在詩篇裡面
[00:02:57.400 --> 00:02:58.400]  舊約裡面
[00:02:58.400 --> 00:03:00.400]  就是那些不相信上帝
[00:03:00.400 --> 00:03:02.400]  不守他的律法
[00:03:02.400 --> 00:03:03.400]  不信神
[00:03:03.400 --> 00:03:05.400]  甚至是有權有勢
[00:03:05.400 --> 00:03:08.400]  在社會裡面有尊利的人
[00:03:08.400 --> 00:03:10.400]  那些人反而見到什麼呢?
[00:03:10.400 --> 00:03:11.400]  他們得到平安
[00:03:11.400 --> 00:03:13.400]  得到Shalom
[00:03:13.400 --> 00:03:14.400]  明明是Shalom
[00:03:14.400 --> 00:03:15.400]  平安
[00:03:15.400 --> 00:03:17.400]  就是給那些守約的人
[00:03:17.400 --> 00:03:18.400]  他說世情卻是相反的
[00:03:18.400 --> 00:03:20.400]  那些反而大享平安
[00:03:20.400 --> 00:03:22.400]  有Shalom的那些人
[00:03:22.400 --> 00:03:26.400]  他們就是那些惡人和狂傲人
[00:03:26.400 --> 00:03:28.400]  沒有疼痛
[00:03:28.400 --> 00:03:30.400]  沒有苦
[00:03:30.400 --> 00:03:31.400]  沒有災
[00:03:31.400 --> 00:03:34.400]  這些人反而有平安
[00:03:34.400 --> 00:03:36.400]  代入我們今天的情況
[00:03:36.400 --> 00:03:38.400]  就是他們有健康照顧
[00:03:38.400 --> 00:03:40.400]  還是很好的健康照顧
[00:03:40.400 --> 00:03:42.400]  他們不需要擔心任何事情
[00:03:42.400 --> 00:03:48.400]  甚至說到他們身上的打扮
[00:03:48.400 --> 00:03:50.400]  戴的項鍊
[00:03:50.400 --> 00:03:51.400]  或者穿的衣服
[00:03:51.400 --> 00:03:54.400]  都是一些強暴的
[00:03:54.400 --> 00:03:56.400]  第七節
[00:03:56.400 --> 00:03:58.400]  他說他們的眼睛
[00:03:58.400 --> 00:04:01.400]  因體叛而突出
[00:04:01.400 --> 00:04:06.400]  你不要以為聖經是針對那些胖的人
[00:04:06.400 --> 00:04:08.400]  沒有這樣的事情
[00:04:08.400 --> 00:04:11.400]  其實為什麼呢?
[00:04:11.400 --> 00:04:15.400]  你知道古代的壁畫
[00:04:15.400 --> 00:04:17.400]  比如埃及的壁畫
[00:04:17.400 --> 00:04:20.400]  畫的皇帝比較胖
[00:04:20.400 --> 00:04:21.400]  有肚腩的人
[00:04:21.400 --> 00:04:23.400]  都是做君皇的人
[00:04:23.400 --> 00:04:25.400]  或者做皇后的人
[00:04:25.400 --> 00:04:26.400]  為什麼呢?
[00:04:26.400 --> 00:04:27.400]  因為古代裡面
[00:04:27.400 --> 00:04:30.400]  很少會夠吃的
[00:04:30.400 --> 00:04:31.400]  真的很少會夠吃的
[00:04:31.400 --> 00:04:35.400]  我們平常就是十常八九
[00:04:35.400 --> 00:04:38.400]  我們吃剩的東西很多
[00:04:38.400 --> 00:04:39.400]  丟的東西很多
[00:04:39.400 --> 00:04:41.400]  特別是在美國
[00:04:41.400 --> 00:04:42.400]  我們很大浪費
[00:04:42.400 --> 00:04:44.400]  古代是正正相反的
[00:04:44.400 --> 00:04:46.400]  吃不夠是常事
[00:04:46.400 --> 00:04:48.400]  吃得夠
[00:04:48.400 --> 00:04:50.400]  甚至有餘的人
[00:04:50.400 --> 00:04:53.400]  通常都是一些有權有勢的人
[00:04:53.400 --> 00:04:54.400]  所以人肥
[00:04:54.400 --> 00:04:55.400]  在古代
[00:04:55.400 --> 00:04:56.400]  在聖經的世界
[00:04:56.400 --> 00:04:59.400]  這是非常的事情
[00:04:59.400 --> 00:05:00.400]  絕對不是常規
[00:05:00.400 --> 00:05:02.400]  為什麼可以有餘呢?
[00:05:02.400 --> 00:05:05.400]  或者夠吃夠住呢?
[00:05:05.400 --> 00:05:06.400]  就是因為這些人
[00:05:06.400 --> 00:05:09.400]  會欺壓其他人
[00:05:09.400 --> 00:05:11.400]  搶奪其他人
[00:05:11.400 --> 00:05:12.400]  我之前也說過
[00:05:12.400 --> 00:05:13.400]  我們要明白
[00:05:13.400 --> 00:05:15.400]  聖經裡面的經濟的話
[00:05:15.400 --> 00:05:16.400]  Economy
[00:05:16.400 --> 00:05:17.400]  我們就要明白
[00:05:17.400 --> 00:05:19.400]  聖經古代的世界
[00:05:19.400 --> 00:05:21.400]  資源永遠都是有限的
[00:05:21.400 --> 00:05:23.400]  就是說這麼多人
[00:05:23.400 --> 00:05:25.400]  我們就分一個的Pizza
[00:05:25.400 --> 00:05:27.400]  一個的蛋糕
[00:05:27.400 --> 00:05:30.400]  但是那些有權有勢的那幾個人
[00:05:30.400 --> 00:05:32.400]  1%裡面的population
[00:05:32.400 --> 00:05:36.400]  他們就拿了95%的蛋糕
[00:05:36.400 --> 00:05:38.400]  那幾個拿了蛋糕就走了
[00:05:38.400 --> 00:05:40.400]  然後剩下的那些
[00:05:40.400 --> 00:05:42.400]  剩下的那些鈣
[00:05:42.400 --> 00:05:45.400]  就是給我們眾人去分的
[00:05:45.400 --> 00:05:48.400]  這個就是狂傲的人
[00:05:48.400 --> 00:05:50.400]  或者有權有勢
[00:05:50.400 --> 00:05:51.400]  有專利的人
[00:05:51.400 --> 00:05:54.400]  在聖經古代的社會裡面就是這樣
[00:05:54.400 --> 00:05:56.400]  如果你這樣看的時候
[00:05:56.400 --> 00:05:59.400]  其實今天也有一點跟我們相似的
[00:05:59.400 --> 00:06:02.400]  無端端就說加稅了
[00:06:02.400 --> 00:06:04.400]  上個星期是吧
[00:06:04.400 --> 00:06:06.400]  燃油稅是不是加
[00:06:06.400 --> 00:06:07.400]  Gasoline
[00:06:07.400 --> 00:06:09.400]  有人提醒我
[00:06:09.400 --> 00:06:10.400]  有了
[00:06:10.400 --> 00:06:12.400]  我又忘記了
[00:06:12.400 --> 00:06:13.400]  第二天
[00:06:13.400 --> 00:06:15.400]  早上一起來
[00:06:15.400 --> 00:06:16.400]  因為我們要開車
[00:06:16.400 --> 00:06:17.400]  我老婆就說
[00:06:17.400 --> 00:06:18.400]  昨天你不進
[00:06:18.400 --> 00:06:20.400]  現在多給幾毫
[00:06:20.400 --> 00:06:21.400]  忘記了
[00:06:21.400 --> 00:06:23.400]  無端端為什麼要加呢
[00:06:23.400 --> 00:06:24.400]  又加
[00:06:24.400 --> 00:06:26.400]  那些貪得無厭的
[00:06:26.400 --> 00:06:28.400]  貪完又要再貪的
[00:06:28.400 --> 00:06:30.400]  那些就是
[00:06:30.400 --> 00:06:33.400]  眼睛因體叛而突出
[00:06:33.400 --> 00:06:37.400]  肥到眼睛都飆出來了
[00:06:37.400 --> 00:06:38.400]  第八節
[00:06:38.400 --> 00:06:40.400]  他們憑惡意來說
[00:06:40.400 --> 00:06:42.400]  欺壓人的說話
[00:06:42.400 --> 00:06:44.400]  說話是至高
[00:06:44.400 --> 00:06:47.400]  這裡不是說粗言穢語的
[00:06:47.400 --> 00:06:50.400]  可能有些人說話是很斯文
[00:06:50.400 --> 00:06:54.400]  但是卻是說一些欺壓至高的說話
[00:06:54.400 --> 00:06:57.400]  你看今天在世界裡面
