
[00:00:00.000 --> 00:00:13.000]  各位觀眾 今天是3月8日婦女節
[00:00:13.000 --> 00:00:18.000]  大家以為我今天是講聖經中的女性
[00:00:18.000 --> 00:00:22.000]  但今天我想跟大家講另一個主題
[00:00:22.000 --> 00:00:25.000]  思考另一個題目
[00:00:25.000 --> 00:00:28.000]  是跟男女老少有關
[00:00:28.000 --> 00:00:33.000]  就是一個字 驚
[00:00:33.000 --> 00:00:36.000]  當我預備今天的講道的時候
[00:00:36.000 --> 00:00:43.000]  我看到新聞 第三宗 第四宗 第五宗 第六宗
[00:00:43.000 --> 00:00:46.000]  而且是越來越近的 在我們伊利諾州這裡
[00:00:46.000 --> 00:00:50.000]  所以老實說其實都有點害怕
[00:00:50.000 --> 00:00:54.000]  說真的 人生本身就已經有很多害怕
[00:00:54.000 --> 00:01:01.000]  我們會怕出門忘記關火 怕撞車 坐飛機怕撞機
[00:01:01.000 --> 00:01:07.000]  還有就是怕失業 不但沒有了薪金 而且沒有了保險才會拿命
[00:01:07.000 --> 00:01:13.000]  還有怕打劫 怕患了重症 怕關係破裂
[00:01:13.000 --> 00:01:17.000]  有很多很多事情我們真的怕都怕不完
[00:01:17.000 --> 00:01:22.000]  但真的怎樣都想不到來這個驚就是一場瘟疫
[00:01:22.000 --> 00:01:24.000]  真的嚇死了
[00:01:24.000 --> 00:01:29.000]  但在這個驚的時候我們有很多不同的反應
[00:01:29.000 --> 00:01:34.000]  我們會頭暈 會失眠 會胃痛
[00:01:34.000 --> 00:01:37.000]  很多時候都是因為害怕的反應
[00:01:37.000 --> 00:01:39.000]  害怕其實本身不是壞事
[00:01:39.000 --> 00:01:42.000]  因為害怕是令我們提高警覺
[00:01:42.000 --> 00:01:47.000]  但最壞的就是我們被害怕操縱了
[00:01:47.000 --> 00:01:51.000]  例如做了這些事情出來
[00:01:51.000 --> 00:01:53.000]  真的很驚天
[00:01:53.000 --> 00:01:56.000]  又例如這樣
[00:01:56.000 --> 00:02:08.000]  當我們不理性地害怕的時候
[00:02:08.000 --> 00:02:11.000]  會越來越害怕 會製造很多恐慌
[00:02:11.000 --> 00:02:15.000]  我就想起一個很著名的美國作家Max Lucado
[00:02:15.000 --> 00:02:17.000]  他說了一句這樣的說話
[00:02:17.000 --> 00:02:21.000]  他說恐懼會探訪每一個人
[00:02:21.000 --> 00:02:23.000]  你可以讓他做一個訪客
[00:02:23.000 --> 00:02:28.000]  但不要讓他在你的心裏做一個住客
[00:02:28.000 --> 00:02:32.000]  這句說話我真的覺得很對
[00:02:32.000 --> 00:02:35.000]  我聽說恐懼的時候
[00:02:35.000 --> 00:02:41.000]  我們的身體腎上腺分泌會令我們變得很軟
[00:02:41.000 --> 00:02:44.000]  而且恐懼不合而處理
[00:02:44.000 --> 00:02:48.000]  會令我們更加害怕 失去理智
[00:02:48.000 --> 00:02:54.000]  說到認識恐懼和處理恐懼的情緒
[00:02:54.000 --> 00:02:56.000]  我想留給Zoe來說吧
[00:02:56.000 --> 00:03:02.000]  作為目者 我今天想跟大家說的是一件很重要的事
[00:03:02.000 --> 00:03:06.000]  就是在恐懼裏面有一件很重要的事
[00:03:06.000 --> 00:03:10.000]  以致我們知道這件事
[00:03:10.000 --> 00:03:12.000]  無論什麼事情都會發生
[00:03:12.000 --> 00:03:16.000]  我們都不會活得像一個沒有盼望的人
[00:03:16.000 --> 00:03:20.000]  很想跟大家一起讀這篇詩篇
[00:03:20.000 --> 00:03:22.000]  也是很熟悉的詩篇 我們一起讀吧
[00:03:22.000 --> 00:03:24.000]  14節不是很長
[00:03:24.000 --> 00:03:29.000]  耶和華是我的亮光 是我的拯救 我還怕誰呢
[00:03:29.000 --> 00:03:34.000]  耶和華是我性命的保障 我還懼誰呢
[00:03:34.000 --> 00:03:37.000]  那作惡的就是我的仇敵
[00:03:37.000 --> 00:03:41.000]  前來吃我肉的時候 就半跌倒
[00:03:41.000 --> 00:03:46.000]  雖有軍兵安然攻擊我 我的心也不害怕
[00:03:46.000 --> 00:03:51.000]  雖然興起刀兵攻擊我 我必仍舊安穩
[00:03:51.000 --> 00:03:54.000]  有一件事 我曾求告耶和華
[00:03:54.000 --> 00:03:56.000]  我仍要尋求
[00:03:56.000 --> 00:04:00.000]  就是一生一世住在耶和華的殿中
[00:04:00.000 --> 00:04:04.000]  沾揚他的榮美 在他的殿內求民
[00:04:04.000 --> 00:04:08.000]  因為我遭遇患難 他必暗暗地保守我
[00:04:08.000 --> 00:04:13.000]  在他亭子裡 把我藏在他帳幕的隱密處
[00:04:13.000 --> 00:04:16.000]  將我高舉在盤石上
[00:04:16.000 --> 00:04:20.000]  現在我得意昂首 高過四面的仇敵
[00:04:20.000 --> 00:04:23.000]  我要在他的帳幕裡 歡言獻祭
[00:04:23.000 --> 00:04:26.000]  我要唱詩歌頌耶和華
[00:04:26.000 --> 00:04:31.000]  耶和華啊 我用聲音呼籲的時候 求你誰聽
[00:04:31.000 --> 00:04:33.000]  求你連恤我 應運我
[00:04:33.000 --> 00:04:36.000]  你說 你們當尋求我的面
[00:04:36.000 --> 00:04:38.000]  那時我心向你說
[00:04:38.000 --> 00:04:41.000]  耶和華啊 你的面我正要尋求
[00:04:41.000 --> 00:04:45.000]  不要向我掩面 不要發怒趕逐僕人
[00:04:45.000 --> 00:04:48.000]  你向來是幫助我的 救我的神啊
[00:04:48.000 --> 00:04:51.000]  不要丟棄我 也不要離棄我
[00:04:51.000 --> 00:04:55.000]  我父母離棄我 耶和華必收留我
[00:04:55.000 --> 00:04:58.000]  耶和華啊 求你將你的道指教我
[00:04:58.000 --> 00:05:02.000]  因我仇敵的緣故 引導我走平坦的路
[00:05:02.000 --> 00:05:06.000]  求你不要把我 交給敵人 遂其所願
[00:05:06.000 --> 00:05:11.000]  因為妄作見證 和口吐窮言的 起來攻擊我
[00:05:11.000 --> 00:05:15.000]  我又不信在活人之地 得見耶和華的恩惠
[00:05:15.000 --> 00:05:19.000]  就早已喪膽了 要等候耶和華
[00:05:19.000 --> 00:05:24.000]  當喪膽 堅固你的心 我在說 要等候耶和華
