
[00:00:00.000 --> 00:00:05.000]  謝謝 各位早安
[00:00:05.000 --> 00:00:12.400]  不知道大家早上起床第一件事是做什麼呢
[00:00:12.400 --> 00:00:16.500]  哇 這麼開心 這麼好
[00:00:16.500 --> 00:00:18.700]  第一件事不是張開眼睛
[00:00:18.700 --> 00:00:22.700]  第一件事 除了張開眼睛之外
[00:00:22.700 --> 00:00:26.500]  有沒有人第一件事是拿你的電話出來的
[00:00:26.500 --> 00:00:33.000]  或者是ipad 或者是鬧鐘
[00:00:33.000 --> 00:00:38.000]  如果你第一件事起床除了張開眼睛之外
[00:00:38.000 --> 00:00:42.000]  你是拿ipad或者拿電話的 請舉手
[00:00:42.000 --> 00:00:45.000]  OK 都不少
[00:00:45.000 --> 00:00:51.000]  不知道大家有沒有試過在深夜本身有點睏
[00:00:51.000 --> 00:00:55.000]  結果你打算有自己的me time 正呀
[00:00:55.000 --> 00:00:57.500]  打算看手機或者ipad
[00:00:57.500 --> 00:01:02.000]  看了半個小時 看了一個小時
[00:01:02.000 --> 00:01:06.000]  然後經常都會覺得 為什麼自己這麼晚睡
[00:01:06.000 --> 00:01:09.500]  明明十點坐在床上 看到十一點
[00:01:09.500 --> 00:01:12.000]  有這樣的情況
[00:01:12.000 --> 00:01:13.000]  我們經常都是這樣
[00:01:13.000 --> 00:01:18.000]  我們經常都會看message 看很多不同的社交媒體
[00:01:18.000 --> 00:01:20.000]  看短片
[00:01:20.000 --> 00:01:23.000]  其實短片都給我們一些安慰
[00:01:23.000 --> 00:01:27.000]  或者是分散我們日常的注意力
[00:01:27.000 --> 00:01:29.000]  覺得我們工作很辛苦
[00:01:29.000 --> 00:01:33.000]  照顧完小朋友 終於有自己的時間
[00:01:33.000 --> 00:01:35.000]  那就看一下
[00:01:35.000 --> 00:01:38.000]  電話就好像一個無底黑洞
[00:01:38.000 --> 00:01:43.000]  你不斷去loop 去看新的post 短片
[00:01:43.000 --> 00:01:46.000]  你透過很多自己的時間
[00:01:46.000 --> 00:01:49.500]  希望我們拿回一些屬於自己的空間
[00:01:49.500 --> 00:01:51.000]  屬於自己的滿足回來
[00:01:51.000 --> 00:01:55.000]  但問題是 大家不知道有沒有發現
[00:01:55.000 --> 00:01:57.000]  你會覺得好像永遠都不夠
[00:01:57.000 --> 00:01:59.000]  loop完一次 看完一次
[00:01:59.000 --> 00:02:01.000]  應該都開始覺得滿足
[00:02:01.000 --> 00:02:03.000]  但又想loop第二次
[00:02:03.000 --> 00:02:07.000]  心裡面那份渴望 始終都沒有被解決
[00:02:07.000 --> 00:02:09.000]  loop到累了 就ok了
[00:02:09.000 --> 00:02:11.000]  我終於可以睡覺了
[00:02:11.000 --> 00:02:13.000]  但第二天 早上又來
[00:02:13.000 --> 00:02:17.000]  每一天重複重複跌入這個循環
[00:02:17.000 --> 00:02:19.000]  我相信大家都很熟悉這個感覺
[00:02:19.000 --> 00:02:25.000]  用電話 用電子世界去填補這份空虛
[00:02:25.000 --> 00:02:30.000]  那份渴望 好像沒有真正被滿足
[00:02:30.000 --> 00:02:32.000]  接下來我們會看一下
[00:02:32.000 --> 00:02:35.000]  經文裡面有一個婦人
[00:02:35.000 --> 00:02:40.000]  她一生都在尋找不同的滿足
[00:02:40.000 --> 00:02:44.000]  希望能夠滿足自己
[00:02:44.000 --> 00:02:46.000]  直到有一天 她在井旁
[00:02:46.000 --> 00:02:49.000]  遇到一個讓她有滿足的人
[00:02:49.000 --> 00:02:52.000]  我知道FF家庭團契的弟兄姊妹
[00:02:52.000 --> 00:02:54.000]  下星期會用這段經文去查經
[00:02:54.000 --> 00:02:56.000]  所以請你特別留心
[00:02:56.000 --> 00:03:00.000]  今天的經文會帶給我們不同的思考
[00:03:00.000 --> 00:03:03.000]  我們一起來
[00:03:03.000 --> 00:03:06.000]  讀一下今天的經文
[00:03:06.000 --> 00:03:08.000]  約翰福音四章
[00:03:08.000 --> 00:03:11.000]  耶穌離開猶太 回到加利利去
[00:03:11.000 --> 00:03:14.000]  他必須經過撒瑪利亞
[00:03:14.000 --> 00:03:17.000]  於是到了撒瑪利亞的一座城叫敘迦
[00:03:17.000 --> 00:03:20.000]  接近雅各給他的兒子約瑟的地
[00:03:20.000 --> 00:03:22.000]  雅各井在這裡
[00:03:22.000 --> 00:03:24.000]  耶穌因為累就坐在井旁
[00:03:24.000 --> 00:03:26.000]  那時候是正午
[00:03:26.000 --> 00:03:29.000]  有一個撒瑪利亞婦人來打水
[00:03:29.000 --> 00:03:32.000]  耶穌就跟她說 請給我水喝
[00:03:32.000 --> 00:03:35.000]  大家可以看到我高亮了一些字
[00:03:35.000 --> 00:03:37.000]  有些高了和低了
[00:03:37.000 --> 00:03:39.000]  值得留意的是
[00:03:39.000 --> 00:03:43.000]  經文寫耶穌必須經過撒瑪利亞
[00:03:43.000 --> 00:03:45.000]  是不是因為這條路近一點
[00:03:45.000 --> 00:03:47.000]  所以是必須呢
[00:03:47.000 --> 00:03:51.000]  經文提到雅各給他的兒子約瑟的地
[00:03:51.000 --> 00:03:52.000]  雅各井
[00:03:52.000 --> 00:03:56.000]  這個也是一個重要的地方
[00:03:56.000 --> 00:03:57.000]  繼續讀
[00:03:57.000 --> 00:04:00.000]  第八節
[00:04:00.000 --> 00:04:03.000]  因為那時門徒進城買食物
[00:04:03.000 --> 00:04:06.000]  撒瑪利亞婦人對他說
[00:04:06.000 --> 00:04:07.000]  你是猶太人
