
[00:00:00.000 --> 00:00:03.000]  各位電子妹你好
[00:00:03.000 --> 00:00:08.000]  很久沒有在城會教會和大家有訊息的分享了
[00:00:08.000 --> 00:00:13.000]  疫情關係我都沒辦法來到你資格講當中
[00:00:13.000 --> 00:00:18.000]  不過感謝上帝引著互聯網的發達
[00:00:18.000 --> 00:00:25.000]  我們就可以在網路上將上帝的訊息和大家分享
[00:00:25.000 --> 00:00:30.000]  今天想和大家分享一個聖經訊息之前
[00:00:30.000 --> 00:00:34.000]  想問問大家有沒有聽過一個四字詞語
[00:00:34.000 --> 00:00:37.000]  叫做「其貨可居」
[00:00:37.000 --> 00:00:40.000]  什麼是「其貨可居」呢?
[00:00:40.000 --> 00:00:43.000]  原來這個四字詞語的典故
[00:00:43.000 --> 00:00:48.000]  出自於秦國的宰相呂不韋
[00:00:48.000 --> 00:00:51.000]  講故事吧
[00:00:51.000 --> 00:00:54.000]  當呂不韋是一個商人的時候
[00:00:54.000 --> 00:00:58.000]  他去到當時戰國時代的趙國做生意
[00:00:58.000 --> 00:01:02.000]  在那裡他認識到一位公子
[00:01:02.000 --> 00:01:04.000]  就是秦國的公子
[00:01:04.000 --> 00:01:07.000]  不過這個秦國公子很慘的
[00:01:07.000 --> 00:01:11.000]  他被派到趙國去做人質
[00:01:11.000 --> 00:01:16.000]  當呂不韋見到這個秦國公子的時候
[00:01:16.000 --> 00:01:19.000]  他就覺得「其貨可居」
[00:01:19.000 --> 00:01:24.000]  因為他認為可以在這個人的身上帶來大的作為
[00:01:24.000 --> 00:01:33.000]  所以他就花盡了精神、金錢、時間、人脈
[00:01:33.000 --> 00:01:38.000]  去幫這位很窮困的公子上位
[00:01:38.000 --> 00:01:45.000]  幫他可以爬回到秦國當中的位置
[00:01:45.000 --> 00:01:50.000]  最終這位秦國的王子
[00:01:50.000 --> 00:01:53.000]  都跟著呂不韋的幫助緣故
[00:01:53.000 --> 00:01:59.000]  他就成為了秦國的莊襄王
[00:01:59.000 --> 00:02:01.000]  可能你不認識他是誰
[00:02:01.000 --> 00:02:03.000]  但你一定聽過他的兒子的名字
[00:02:03.000 --> 00:02:05.000]  他的兒子就是秦始皇
[00:02:05.000 --> 00:02:12.000]  呂不韋因為幫了這個秦國公子成為莊襄王之後
[00:02:12.000 --> 00:02:15.000]  自然得到很多好處
[00:02:15.000 --> 00:02:18.000]  他不但成為了秦國的宰相
[00:02:18.000 --> 00:02:20.000]  風雲信候
[00:02:20.000 --> 00:02:24.000]  而且在河南一帶有很多戶籍
[00:02:24.000 --> 00:02:28.000]  你可以說又有財又有權
[00:02:28.000 --> 00:02:30.000]  的確很坦白來說
[00:02:30.000 --> 00:02:33.000]  這個人生的故事我們看到的就是
[00:02:33.000 --> 00:02:35.000]  對很多人來說
[00:02:35.000 --> 00:02:40.000]  去幫人其實夾雜著很多動機
[00:02:40.000 --> 00:02:42.000]  其中一個動機就是
[00:02:42.000 --> 00:02:45.000]  希望能夠透過幫助人
[00:02:45.000 --> 00:02:48.000]  自己得利益
[00:02:48.000 --> 00:02:49.000]  自己得好處
[00:02:49.000 --> 00:02:51.000]  那些今世的利益
[00:02:51.000 --> 00:02:53.000]  去做這些事情
[00:02:53.000 --> 00:02:55.000]  若果你只是要求他
[00:02:55.000 --> 00:02:57.000]  不如你默默付出
[00:02:57.000 --> 00:02:59.000]  不問代價
[00:02:59.000 --> 00:03:01.000]  不出聲去做的話
[00:03:01.000 --> 00:03:05.000]  可能我們都未必會去做這些事情
[00:03:05.000 --> 00:03:07.000]  事實上都是真實的
[00:03:07.000 --> 00:03:11.000]  坦白說
[00:03:11.000 --> 00:03:12.000]  有些人說
[00:03:12.000 --> 00:03:16.000]  牧師如只是為了今世的好處去做好事
[00:03:16.000 --> 00:03:18.000]  不如不要做了
[00:03:18.000 --> 00:03:21.000]  幫助人 接待人
[00:03:21.000 --> 00:03:23.000]  尤其是少數有困難的人
[00:03:23.000 --> 00:03:25.000]  為什麼要幫呢
[00:03:25.000 --> 00:03:27.000]  又沒有即時的利益好處
[00:03:27.000 --> 00:03:30.000]  教會為什麼要幫一些弱勢的人
[00:03:30.000 --> 00:03:31.000]  有困難的人
[00:03:31.000 --> 00:03:33.000]  又沒有即時的回報
[00:03:33.000 --> 00:03:35.000]  為什麼要幫呢
[00:03:35.000 --> 00:03:37.000]  其實聖經裏面
[00:03:37.000 --> 00:03:39.000]  有沒有給我們一些提醒呢
[00:03:39.000 --> 00:03:41.000]  如果可以的話
[00:03:41.000 --> 00:03:42.000]  我們一起去看
[00:03:42.000 --> 00:03:45.000]  路加福音第十四章第一節
[00:03:45.000 --> 00:03:47.000]  去到第十四節
[00:03:47.000 --> 00:03:50.000]  我今天講到是會特別針對
[00:03:50.000 --> 00:03:52.000]  第十二節和第十四節
[00:03:52.000 --> 00:03:54.000]  不過看完第一至十四節
[00:03:54.000 --> 00:03:57.000]  是會讓我們知道整個故事的脈絡
[00:03:57.000 --> 00:03:59.000]  容許我們透過這十四節經文
[00:03:59.000 --> 00:04:02.000]  來幫助我們的思想
[00:04:02.000 --> 00:04:04.000]  究竟幫助人 接待人
