
[00:00:00.000 --> 00:00:02.000]  (字幕: 李慧琼)
[00:00:02.000 --> 00:00:06.800]  早晨各位弟兄姊妹
[00:00:06.800 --> 00:00:10.000]  不知道大家知不知道
[00:00:10.000 --> 00:00:16.000]  我是一個科技電腦的天才
[00:00:16.000 --> 00:00:21.000]  今天我是第一次自己做PowerPoint
[00:00:21.000 --> 00:00:23.000]  然後自己按鍵
[00:00:23.000 --> 00:00:28.000]  如果今天PowerPoint有什麼問題
[00:00:28.000 --> 00:00:32.000]  記住千萬不要怪台後的弟兄姊妹
[00:00:32.000 --> 00:00:35.000]  只要怪就怪我這個天才
[00:00:35.000 --> 00:00:40.000]  有一天我整天在看聖經
[00:00:40.000 --> 00:00:42.000]  看書、看電腦
[00:00:42.000 --> 00:00:45.000]  看得很頭痛
[00:00:45.000 --> 00:00:48.000]  我跟老公說
[00:00:48.000 --> 00:00:52.000]  老公,我想我最近用腦太多
[00:00:52.000 --> 00:00:54.000]  令到自己很頭痛
[00:00:54.000 --> 00:00:59.000]  我老公說:是這樣的媽媽,全讀書都是這樣說
[00:00:59.000 --> 00:01:02.000]  我老公說:是嗎?真的這樣?
[00:01:02.000 --> 00:01:06.000]  我貪得意就去GPT問
[00:01:06.000 --> 00:01:08.000]  那怎麼辦?
[00:01:08.000 --> 00:01:10.000]  你猜他怎麼回應我?
[00:01:10.000 --> 00:01:18.000]  是我錯的
[00:01:21.000 --> 00:01:30.000]  他就說:你想不想我幫你找一個簡單又不頭痛的全讀書
[00:01:30.000 --> 00:01:32.000]  閱讀路線圖?
[00:01:32.000 --> 00:01:35.000]  我想:咦?這麼有趣?
[00:01:35.000 --> 00:01:36.000]  有這樣的東西?
[00:01:36.000 --> 00:01:38.000]  我當然馬上按了
[00:01:38.000 --> 00:01:40.000]  想看看GPT會怎麼回應我
[00:01:40.000 --> 00:01:42.000]  按了不夠三秒
[00:01:42.000 --> 00:01:43.000]  答案馬上出來了
[00:01:43.000 --> 00:01:44.000]  不過很長
[00:01:44.000 --> 00:01:47.000]  我一看就覺得又很頭痛
[00:01:47.000 --> 00:01:49.000]  所以我決定不看
[00:01:49.000 --> 00:01:51.000]  算了吧
[00:01:51.000 --> 00:01:53.000]  想再說一說
[00:01:53.000 --> 00:01:59.000]  全讀書是《聖經》舊約裡其中一本智慧文學
[00:01:59.000 --> 00:02:03.000]  是深入探討人生的意義
[00:02:03.000 --> 00:02:10.000]  書中指出我們人生追求的財富、享受和智慧
[00:02:10.000 --> 00:02:14.000]  都是短暫而且難以掌握的
[00:02:14.000 --> 00:02:18.000]  尤其是當人面對苦難和死亡的時候
[00:02:18.000 --> 00:02:21.000]  更加凸顯了我們人的有限
[00:02:21.000 --> 00:02:26.000]  人的一生最終可能都是虛空
[00:02:26.000 --> 00:02:31.000]  不過你千萬不要誤會全讀書好像想打沉我們
[00:02:31.000 --> 00:02:33.000]  相反全讀書裡的全讀者
[00:02:33.000 --> 00:02:38.000]  是很想藉著自己成為一個反面教材
[00:02:38.000 --> 00:02:41.000]  提醒人要怎麼過生活
[00:02:41.000 --> 00:02:43.000]  我們要有敬畏神的心
[00:02:43.000 --> 00:02:45.000]  有一個永恆的眼光
[00:02:45.000 --> 00:02:49.000]  更加要享受來自神給我們的恩典
