
[00:00:00.000 --> 00:00:01.000]  兩位主持人早安
[00:00:01.000 --> 00:00:03.920]  在我們中間的都是
[00:00:03.920 --> 00:00:07.000]  Joyful可能我們吃夠了、玩夠了
[00:00:07.000 --> 00:00:09.600]  然後週末我們就要留在這裡,對吧
[00:00:09.600 --> 00:00:12.680]  那些不在的就去了別的地方,對吧
[00:00:12.680 --> 00:00:14.120]  如果有的話
[00:00:14.120 --> 00:00:15.320]  長週末
[00:00:15.320 --> 00:00:17.600]  其實芝加哥去哪裡了
[00:00:17.600 --> 00:00:18.840]  最多去多倫多吧
[00:00:18.840 --> 00:00:21.920]  最厲害的還是多倫多
[00:00:21.920 --> 00:00:23.560]  我們先跟心得一起祈禱,好嗎
[00:00:23.560 --> 00:00:25.480]  主要為教會獻上感恩
[00:00:25.480 --> 00:00:27.640]  我們為每一位弟兄姐妹主
[00:00:27.640 --> 00:00:29.680]  我們求你們都祝福,來帶領
[00:00:29.920 --> 00:00:32.000]  讓我們每一位能夠在基督裡面
[00:00:32.000 --> 00:00:34.600]  享受到世人給不到的平安
[00:00:34.600 --> 00:00:37.400]  主,我們感謝祢將我們保護
[00:00:37.400 --> 00:00:38.960]  感謝祢保守我們
[00:00:38.960 --> 00:00:41.400]  主,我們或許會有不同的掙扎
[00:00:41.400 --> 00:00:43.480]  有不同的問題,甚至有病痛
[00:00:43.480 --> 00:00:44.840]  但我們知道在基督裡面
[00:00:44.840 --> 00:00:47.200]  我們有最終極的安康
[00:00:47.200 --> 00:00:48.840]  最終極的醫治
[00:00:48.840 --> 00:00:50.920]  主,我們感謝祢給我們這個盼望
[00:00:50.920 --> 00:00:53.400]  給我們這個盼望能夠成為我們今天
[00:00:53.400 --> 00:00:55.080]  生活裡面的動力
[00:00:55.080 --> 00:00:57.240]  讓我們能夠思想信仰
[00:00:57.240 --> 00:00:59.040]  學習應用信仰
[00:00:59.200 --> 00:01:02.120]  以致我們心靈能夠更加成為祢見證
[00:01:02.120 --> 00:01:03.120]  祈禱,奉主名禱
[00:01:03.120 --> 00:01:06.560]  這次我們開始一個新的系列
[00:01:06.560 --> 00:01:08.600]  這個系列叫做Back to Basics
[00:01:08.600 --> 00:01:09.880]  甚麼是Back to Basics
[00:01:09.880 --> 00:01:11.960]  就是回到基本功
[00:01:11.960 --> 00:01:13.280]  甚麼是基本功呢
[00:01:13.280 --> 00:01:14.080]  大家想想
[00:01:14.080 --> 00:01:15.680]  我們日常生活裡面做很多事情
[00:01:15.680 --> 00:01:17.160]  都有基本功的,是嗎
[00:01:17.160 --> 00:01:20.880]  譬如你是做運動的
[00:01:20.880 --> 00:01:23.560]  都是有些基本功需要熱身的,是嗎
[00:01:23.560 --> 00:01:28.520]  最近芝加哥城市裡面有城市,知道嗎
[00:01:29.200 --> 00:01:30.000]  賽車,是嗎
[00:01:30.000 --> 00:01:31.880]  我們很討厭,是嗎
[00:01:31.880 --> 00:01:34.040]  因為阻礙我們
[00:01:34.040 --> 00:01:37.200]  阻礙我們做生意、行動、交通
[00:01:37.200 --> 00:01:41.840]  昨天我在電視上看了一點
[00:01:41.840 --> 00:01:43.440]  我太太問我
[00:01:43.440 --> 00:01:45.480]  為何車輛要這樣
[00:01:45.480 --> 00:01:46.360]  一開始的時候
[00:01:46.360 --> 00:01:48.160]  要打S型的
[00:01:48.160 --> 00:01:48.920]  大家知道嗎
[00:01:48.920 --> 00:01:50.480]  知道嗎
[00:01:50.480 --> 00:01:52.960]  那些零頭的,你可否告訴我
[00:01:52.960 --> 00:01:53.600]  為甚麼
[00:01:53.600 --> 00:01:54.600]  你現在告訴我
[00:01:54.600 --> 00:01:56.040]  為何要這樣
[00:01:56.120 --> 00:01:57.520]  一開始就要這樣
[00:01:57.520 --> 00:01:58.440]  開始之前
[00:01:58.440 --> 00:01:59.480]  還沒開始跑之前
[00:01:59.480 --> 00:02:03.120]  因為那些輪胎是要熱身的,知道嗎
[00:02:03.120 --> 00:02:06.120]  那些車輪輪胎需要暖暖的
[00:02:06.120 --> 00:02:07.280]  它才可以怎樣
[00:02:07.280 --> 00:02:09.720]  才可以扔到彎位,是嗎
[00:02:09.720 --> 00:02:10.280]  對嗎
[00:02:10.280 --> 00:02:11.320]  大家知道吧
[00:02:11.320 --> 00:02:13.680]  如果不是,就會怎樣
[00:02:13.680 --> 00:02:15.960]  就會很容易滑胎,是嗎
[00:02:15.960 --> 00:02:17.160]  但太熱又不行
[00:02:17.160 --> 00:02:17.880]  太冷又不行
[00:02:17.880 --> 00:02:18.720]  所以要在中間
