
[00:00:00.000 --> 00:00:03.080]  各位好,又到智慧廚房邊煮邊講
[00:00:03.080 --> 00:00:07.440]  今次我們繼續煮,繼續講亞國書到第二章
[00:00:07.440 --> 00:00:11.080]  今天想煮什麼呢?就是港式豬腸粉
[00:00:11.080 --> 00:00:13.520]  就是自製豬腸粉,大家可能吃過了,是不是?
[00:00:13.520 --> 00:00:14.600]  回味無窮的
[00:00:14.600 --> 00:00:19.360]  按照我在YouTube和網上的資料搜集
[00:00:19.360 --> 00:00:21.680]  就有不同的做法和不同的配料
[00:00:21.680 --> 00:00:24.040]  大致上那個粉漿很重要
[00:00:24.040 --> 00:00:28.840]  就需要粘米粉、粟粉和燉麵粉
[00:00:28.840 --> 00:00:31.280]  還有蔥、蝦米等等
[00:00:31.280 --> 00:00:32.720]  還有其他醬料
[00:00:32.720 --> 00:00:35.360]  這些東西大部分家裡都有的
[00:00:35.360 --> 00:00:36.680]  不過好像不太夠
[00:00:36.680 --> 00:00:40.760]  所以你要跟我們去超級市場買一些東西
[00:00:40.760 --> 00:00:44.760]  現在來到市場,很多人
[00:00:44.760 --> 00:00:48.520]  木薯粉、鎮粉、木薯粉
[00:00:48.520 --> 00:00:53.720]  看看有沒有
[00:00:53.720 --> 00:00:57.400]  花工粉
[00:00:57.800 --> 00:00:58.800]  哇
[00:00:58.800 --> 00:01:02.200]  有,粘米粉一包
[00:01:02.200 --> 00:01:05.880]  這個粘米粉
[00:01:05.880 --> 00:01:10.360]  我要燉粉和米粉
[00:01:10.360 --> 00:01:11.920]  番薯粉
[00:01:11.920 --> 00:01:13.960]  這個是什麼?
[00:01:13.960 --> 00:01:16.120]  生粉
[00:01:16.120 --> 00:01:18.840]  或者西米粉,是不是一樣的?
[00:01:18.840 --> 00:01:21.160]  真的不懂這些東西
[00:01:21.160 --> 00:01:26.040]  原來白粉也有這麼多種
[00:01:26.040 --> 00:01:28.400]  每種都白色,但每種都不一樣
[00:01:28.400 --> 00:01:30.280]  這個還是太白粉
[00:01:30.280 --> 00:01:33.680]  有沒有一些不太白粉的?
[00:01:33.680 --> 00:01:37.680]  這些很像西米粉
[00:01:37.680 --> 00:01:40.040]  甜豉油,不可以沒有的
[00:01:40.040 --> 00:01:41.720]  甜豉油一定要有的
[00:01:41.720 --> 00:01:43.360]  煲仔飯豉油
[00:01:43.360 --> 00:01:45.680]  下次可能可以做煲仔飯
[00:01:45.680 --> 00:01:48.040]  真的少見多怪,有臭食粉
[00:01:48.040 --> 00:01:50.440]  臭食粉是什麼東西?
[00:01:52.400 --> 00:01:54.400]  臭食粉,真的
[00:01:54.400 --> 00:01:56.480]  看到也不想要
[00:01:56.480 --> 00:01:58.080]  放回去
[00:01:58.080 --> 00:02:00.240]  真的見識多了
[00:02:00.240 --> 00:02:02.480]  原來有這麼多種粉,現在才知道
[00:02:02.480 --> 00:02:04.480]  但找不到燉粉
[00:02:04.480 --> 00:02:06.920]  一定要有芝麻醬
[00:02:06.920 --> 00:02:08.920]  這個芝麻醬就是
[00:02:08.920 --> 00:02:11.400]  看清楚哪裡出的
[00:02:11.400 --> 00:02:13.600]  台中市的,台灣產品
[00:02:13.600 --> 00:02:16.200]  先試一下,芝麻醬
[00:02:19.960 --> 00:02:23.720]  這些粉我都已經買齊了
[00:02:23.720 --> 00:02:25.720]  醬料也買齊了
[00:02:25.720 --> 00:02:27.720]  沒有的燉粉,家裡有一點
[00:02:27.720 --> 00:02:30.240]  不然可能要問人借
[00:02:30.240 --> 00:02:31.760]  不過應該夠用的
[00:02:31.760 --> 00:02:34.000]  現在找齊東西可以走了
[00:02:34.000 --> 00:02:36.440]  不過我在超級市場找東西很慢
[00:02:36.440 --> 00:02:39.760]  你叫home depot找,我想我會比較厲害
[00:02:39.760 --> 00:02:42.520]  好像廚房一樣,超級市場我經常找不到東西
[00:02:42.520 --> 00:02:43.920]  怎樣也好,找完了
[00:02:43.920 --> 00:02:45.520]  現在找不到的是什麼?
[00:02:45.520 --> 00:02:47.120]  找不到跟我一起來的老婆
[00:02:47.120 --> 00:02:49.120]  我現在在找她,她在哪裡?
[00:02:49.120 --> 00:02:51.120]  (找不到)
[00:02:51.120 --> 00:02:53.120]  (找不到)
[00:02:53.120 --> 00:02:55.120]  (找不到)
[00:02:55.120 --> 00:02:57.120]  (找不到)
[00:02:57.120 --> 00:02:59.120]  (找不到)
[00:02:59.120 --> 00:03:01.120]  (找不到)
[00:03:01.120 --> 00:03:03.120]  (找不到)
[00:03:03.120 --> 00:03:06.120]  找不到她,不過找到芝麻
