
[00:00:00.000 --> 00:00:06.000]  各位早安,大家今天星期過得好嗎?
[00:00:06.000 --> 00:00:09.000]  這個星期的天氣不錯吧?
[00:00:09.000 --> 00:00:11.000]  大家有沒有想去曬太陽呢?
[00:00:11.000 --> 00:00:19.000]  在我預備講道的時候,我想起這個題目,
[00:00:19.000 --> 00:00:23.000]  也想起我初信的經歷,
[00:00:23.000 --> 00:00:25.000]  就是我在中三開信主,
[00:00:25.000 --> 00:00:28.000]  教會在一次小組的時候,
[00:00:28.000 --> 00:00:30.000]  教會的組長跟我說,
[00:00:30.000 --> 00:00:32.000]  信主耶穌什麼都不怕,
[00:00:32.000 --> 00:00:40.000]  於是我就自以為耶穌對不同的基督徒會有多一點的保護,
[00:00:40.000 --> 00:00:43.000]  我就說,信主耶穌不怕的,
[00:00:43.000 --> 00:00:45.000]  信主耶穌就不怕冷,
[00:00:45.000 --> 00:00:47.000]  就有這個誤解,
[00:00:47.000 --> 00:00:50.000]  十二月來自香港,有種濕凍,
[00:00:50.000 --> 00:00:51.000]  很冷的,
[00:00:51.000 --> 00:00:54.000]  我就穿著背心走在街上,
[00:00:54.000 --> 00:00:57.000]  一路走一路在那裡祈禱,
[00:00:57.000 --> 00:01:00.000]  耶穌保護我,耶穌保護我,
[00:01:00.000 --> 00:01:02.000]  信了耶穌就不怕冷,
[00:01:02.000 --> 00:01:05.000]  結果病了一個星期,
[00:01:05.000 --> 00:01:11.000]  大家應該不會有我這種好像宗教一樣狂熱的誤解,
[00:01:11.000 --> 00:01:15.000]  聽起來好像很信靠耶穌,
[00:01:15.000 --> 00:01:18.000]  因為我要靠著耶穌得勝,
[00:01:18.000 --> 00:01:21.000]  勝過那些冷,
[00:01:21.000 --> 00:01:24.000]  其實是對聖經的一些誤解,
[00:01:24.000 --> 00:01:27.000]  如果嚴重一點來說,
[00:01:27.000 --> 00:01:31.000]  是有些要強迫上帝在這一刻要保護我,
[00:01:31.000 --> 00:01:34.000]  上帝當然有能力這樣去保護我,
[00:01:34.000 --> 00:01:38.000]  但是這個是不是祂的意願呢?
[00:01:38.000 --> 00:01:43.000]  這個經歷跟我們今天要講的經文有一點點相似,
[00:01:43.000 --> 00:01:45.000]  就是今天還想跟大家講,
[00:01:45.000 --> 00:01:50.000]  《屬靈的方言》在《路加福音》四章一至十三節,
[00:01:50.000 --> 00:01:53.000]  相信大家都到這裡耶穌受試探,
[00:01:53.000 --> 00:01:55.000]  都有很熟悉的,
[00:01:55.000 --> 00:01:57.000]  甚至一些未信的朋友,
[00:01:57.000 --> 00:02:00.000]  如果大家有聽過福一六八,
[00:02:00.000 --> 00:02:03.000]  叫做間歇式斷食的朋友,
[00:02:03.000 --> 00:02:05.000]  他都會引用這段聖經,
[00:02:05.000 --> 00:02:08.000]  他用這段聖經去證明斷食是有效的,
[00:02:08.000 --> 00:02:12.000]  你看看耶穌都是四十天都沒有吃東西,
[00:02:12.000 --> 00:02:15.000]  雖然我自己都做了六八,
[00:02:15.000 --> 00:02:20.000]  但是這段經文不是想證明人類四十天不吃東西都可以生存,
[00:02:20.000 --> 00:02:26.000]  我是不會用這段經文去證明自己做斷食是很有效,
[00:02:26.000 --> 00:02:29.000]  耶穌二千年前都這樣做,
[00:02:29.000 --> 00:02:32.000]  來有正當性,
[00:02:32.000 --> 00:02:38.000]  這段經文講的是魔鬼如何用屬靈的方言去欺騙耶穌,
[00:02:38.000 --> 00:02:42.000]  所以今天聽完講道之後,
[00:02:42.000 --> 00:02:44.000]  大家會知道三件事,
[00:02:44.000 --> 00:02:49.000]  第一件事就是究竟魔鬼如何用聖經去講一些屬靈的方言呢?
[00:02:49.000 --> 00:02:56.000]  第二,耶穌又如何逆轉當年人類的錯誤呢?
[00:02:56.000 --> 00:03:02.000]  第三,這些屬靈的方言今天還存不存在這個世界?
[00:03:02.000 --> 00:03:06.000]  如果大家準備好了,你們一起來看看,
[00:03:06.000 --> 00:03:12.000]  如果大家有聖經,你們可以用app去開這本聖經,
