
[00:00:00.000 --> 00:00:03.000]  我相信有一個最家傳戶曉最多人知道的
[00:00:03.000 --> 00:00:06.000]  就是《創世紀》第六至第八章
[00:00:06.000 --> 00:00:09.000]  這裡記載一段的事蹟
[00:00:09.000 --> 00:00:11.000]  是羅亞方舟
[00:00:11.000 --> 00:00:13.000]  羅亞的大洪水
[00:00:13.000 --> 00:00:16.000]  我不知道你想起這個故事的時候
[00:00:16.000 --> 00:00:18.000]  你會想起什麼畫面
[00:00:18.000 --> 00:00:21.000]  不如我們看看聖經如何描述
[00:00:21.000 --> 00:00:23.000]  這個故事的背景
[00:00:23.000 --> 00:00:25.000]  我們先看看
[00:00:25.000 --> 00:00:30.000]  創世紀第六章
[00:00:30.000 --> 00:00:35.000]  創世紀第六章
[00:00:36.000 --> 00:00:37.000]  神觀看世界
[00:00:37.000 --> 00:00:39.000]  見事敗壞了
[00:00:39.000 --> 00:00:43.000]  凡有血氣的人在地上都敗壞了行為
[00:00:43.000 --> 00:00:45.000]  神就對羅亞說
[00:00:45.000 --> 00:00:47.000]  凡有血氣的人
[00:00:47.000 --> 00:00:49.000]  他的盡頭已經來到我面前
[00:00:49.000 --> 00:00:52.000]  因為地上滿了他們的強暴
[00:00:52.000 --> 00:00:56.000]  我要把他們和地一同毀滅
[00:00:56.000 --> 00:00:59.000]  你要用過飛木做一隻方舟
[00:00:59.000 --> 00:01:01.000]  方舟的做法乃是這樣
[00:01:01.000 --> 00:01:07.000]  要長三百爪 闊五十爪 高三十爪
[00:01:07.000 --> 00:01:09.000]  當羅亞六百歲
[00:01:09.000 --> 00:01:11.000]  二月十七日那一天
[00:01:11.000 --> 00:01:13.000]  大淵的泉源都裂開了
[00:01:13.000 --> 00:01:16.000]  天上的湘湖也淌開了
[00:01:16.000 --> 00:01:19.000]  四十晝夜江大雨在地上
[00:01:19.000 --> 00:01:22.000]  洪水泛濫在地上四十天
[00:01:22.000 --> 00:01:24.000]  水往上漲
[00:01:24.000 --> 00:01:27.000]  把方舟從地上飄起
[00:01:27.000 --> 00:01:28.000]  水勢浩大
[00:01:28.000 --> 00:01:30.000]  在地上大大地往上漲
[00:01:30.000 --> 00:01:33.000]  方舟在水面上飄來飄去
[00:01:33.000 --> 00:01:36.000]  水勢在地上極其浩大
[00:01:36.000 --> 00:01:39.000]  天下的高山都掩沒了
[00:01:39.000 --> 00:01:45.000]  雖然羅亞方舟大洪水這個故事
[00:01:45.000 --> 00:01:47.000]  是如此家傳戶曉的聖經故事
[00:01:47.000 --> 00:01:53.000]  但它是給現代人有最多誤解的一段記載
[00:01:53.000 --> 00:01:56.000]  可能你久不久會聽到人說
[00:01:56.000 --> 00:01:59.000]  說找到方舟的殘骸
