
[00:00:00.000 --> 00:00:03.360]   [END PLAYBACK]
[00:00:03.360 --> 00:00:03.960]   All right.
[00:00:03.960 --> 00:00:07.160]   Happy Mother's Day again to all the moms and the daughters
[00:00:07.160 --> 00:00:07.720]   in the room.
[00:00:07.720 --> 00:00:12.040]   [NON-ENGLISH SPEECH]
[00:00:12.040 --> 00:00:12.540]   OK.
[00:00:12.540 --> 00:00:18.800]   All right.
[00:00:18.800 --> 00:00:20.840]   Does anyone recognize this athlete?
[00:00:20.840 --> 00:00:23.760]   [NON-ENGLISH SPEECH]
[00:00:23.760 --> 00:00:27.000]   So this is Elisa Liu, and she became a household name
[00:00:27.000 --> 00:00:30.160]   after winning the gold medal in women's figure skating
[00:00:30.160 --> 00:00:32.680]   at the 2026 Winter Olympics.
[00:00:32.680 --> 00:00:35.680]   But her journey to become the best version of herself
[00:00:35.680 --> 00:00:37.720]   is actually not a typical one.
[00:00:37.720 --> 00:00:50.320]   [NON-ENGLISH SPEECH]
[00:00:50.320 --> 00:00:53.080]   So Elisa, she was a child skating prodigy,
[00:00:53.080 --> 00:00:54.840]   and she actually become the youngest woman
[00:00:54.840 --> 00:00:59.320]   to win a US championship title at the age of 13.
[00:00:59.320 --> 00:01:02.360]   However, after the 2022 Winter Olympics in Beijing,
[00:01:02.360 --> 00:01:04.760]   where she finished sixth, she actually
[00:01:04.760 --> 00:01:08.680]   decided to retire from the sports at just the age of 16.
[00:01:08.680 --> 00:01:12.480]   And she cited the reasons of burnout, loss of passions,
[00:01:12.480 --> 00:01:15.480]   as well as just the desire to experience a normal life
[00:01:15.480 --> 00:01:18.120]   outside of the intense and regimented environment
[00:01:18.120 --> 00:01:19.720]   of elite skating.
[00:01:19.720 --> 00:01:23.160]   [NON-ENGLISH SPEECH]
[00:01:23.160 --> 00:01:26.120]   [APPLAUSE]
[00:01:26.120 --> 00:01:54.000]   [NON-ENGLISH SPEECH]
[00:01:54.000 --> 00:01:56.560]   So in the eyes of the world, this retirement
[00:01:56.560 --> 00:02:00.680]   might signify the end of the career for this child prodigy.
[00:02:00.680 --> 00:02:02.960]   But what is so great about Elisa's story
[00:02:02.960 --> 00:02:06.280]   is that during her time away from the competitive scene,
[00:02:06.280 --> 00:02:09.400]   she actually rediscovered her joy and passion
[00:02:09.400 --> 00:02:10.600]   for figure skating.
[00:02:10.600 --> 00:02:12.760]   And she came back two years later,
[00:02:12.760 --> 00:02:16.440]   but this time in her own terms with a healthier relationships
[00:02:16.440 --> 00:02:17.800]   with the sport.
[00:02:17.800 --> 00:02:21.200]   And as we now know, the rest is history.
[00:02:21.200 --> 00:02:24.560]   [NON-ENGLISH SPEECH]
[00:02:24.560 --> 00:02:27.520]   [APPLAUSE]
[00:02:27.520 --> 00:02:55.720]   [NON-ENGLISH SPEECH]
[00:02:55.720 --> 00:02:58.200]   So when we look at her story, she
[00:02:58.200 --> 00:03:01.120]   is actually able to live out her full potential as a figure
[00:03:01.120 --> 00:03:03.480]   skater when she learns to overcome
[00:03:03.480 --> 00:03:05.720]   the pressures and expectations that
[00:03:05.720 --> 00:03:08.280]   led to her initial burnout.
[00:03:08.280 --> 00:03:10.620]   And when it comes to our faith as well,
[00:03:10.620 --> 00:03:14.320]   what is holding us back from living out our full potential
[00:03:14.320 --> 00:03:16.520]   as God has called us to be?
[00:03:16.520 --> 00:03:18.720]   And if we go underneath the surface,
[00:03:18.720 --> 00:03:21.800]   what are some of the fears that prevent us from living out
[00:03:21.800 --> 00:03:24.000]   a fully surrendered life?
[00:03:24.000 --> 00:03:26.240]   [NON-ENGLISH SPEECH]
[00:03:26.240 --> 00:03:27.480]   [NON-ENGLISH SPEECH]
[00:03:27.480 --> 00:03:28.480]   the world.
[00:03:28.480 --> 00:03:29.480]   [NON-ENGLISH SPEECH]
[00:03:29.480 --> 00:03:57.280]   [NON-ENGLISH SPEECH]
[00:03:57.280 --> 00:04:00.000]   So today, we're going to look at the story of Gideon
[00:04:00.000 --> 00:04:01.760]   from the Book of Judges.
[00:04:01.760 --> 00:04:03.440]   And we're going to see how he actually
[00:04:03.440 --> 00:04:05.800]   allowed his fear to hold him back
[00:04:05.800 --> 00:04:08.040]   from living out his calling.
[00:04:08.040 --> 00:04:10.880]   Some of you might remember Gideon from your Sunday school
[00:04:10.880 --> 00:04:13.040]   as this great spiritual leader who
[00:04:13.040 --> 00:04:17.280]   trusted the Lord through his famous wolf fleece incidents.
[00:04:17.280 --> 00:04:19.760]   But if you recall from my earlier message,
[00:04:19.760 --> 00:04:21.360]   the whole Book of Judges actually
[00:04:21.360 --> 00:04:25.240]   show us Israel's slow descent into spiritual apostasy
[00:04:25.240 --> 00:04:26.960]   and moral corruption.
[00:04:26.960 --> 00:04:28.720]   And this downfall of Israel actually
[00:04:28.720 --> 00:04:30.840]   becomes a lot more apparent when we
[00:04:30.840 --> 00:04:33.040]   come to the cycle of Gideon.
[00:04:33.040 --> 00:04:34.600]   He is actually the first judge where
[00:04:34.600 --> 00:04:38.040]   we begin to see some disturbing weakness in his life.
[00:04:38.040 --> 00:04:39.440]   [NON-ENGLISH SPEECH]
[00:04:39.440 --> 00:04:40.640]   [NON-ENGLISH SPEECH]
[00:04:40.640 --> 00:04:41.840]   [NON-ENGLISH SPEECH]
[00:04:41.840 --> 00:04:43.040]   [NON-ENGLISH SPEECH]
[00:04:43.040 --> 00:04:44.240]   [NON-ENGLISH SPEECH]
[00:04:44.240 --> 00:04:45.440]   [NON-ENGLISH SPEECH]
[00:04:45.440 --> 00:04:46.640]   [NON-ENGLISH SPEECH]
[00:04:46.640 --> 00:04:47.840]   [NON-ENGLISH SPEECH]
[00:04:47.840 --> 00:04:49.040]   [NON-ENGLISH SPEECH]
[00:04:50.040 --> 00:04:51.240]   [NON-ENGLISH SPEECH]
[00:04:51.240 --> 00:04:52.440]   [NON-ENGLISH SPEECH]
[00:04:53.440 --> 00:04:54.640]   [NON-ENGLISH SPEECH]
[00:04:54.640 --> 00:04:55.840]   [NON-ENGLISH SPEECH]
[00:04:55.840 --> 00:04:57.840]   [NON-ENGLISH SPEECH]
[00:04:57.840 --> 00:04:59.840]   [NON-ENGLISH SPEECH]
[00:04:59.840 --> 00:05:01.840]   [NON-ENGLISH SPEECH]
[00:05:01.840 --> 00:05:03.840]   [NON-ENGLISH SPEECH]
[00:05:03.840 --> 00:05:05.840]   [NON-ENGLISH SPEECH]
[00:05:05.840 --> 00:05:07.840]   [NON-ENGLISH SPEECH]
[00:05:07.840 --> 00:05:09.840]   [NON-ENGLISH SPEECH]
