
[00:00:00.000 --> 00:00:08.000]  好 我們繼續講背景 或者比對研究的發展
[00:00:08.000 --> 00:00:16.000]  上兩次講了必要性和發展的過程
[00:00:16.000 --> 00:00:18.000]  這些我們需要知道
[00:00:18.000 --> 00:00:20.000]  因為不是貿然有人想起
[00:00:20.000 --> 00:00:26.000]  為什麼要找近東的背景 文學來做比較
[00:00:26.000 --> 00:00:31.000]  上次我們講到找到這個Rosetta Stone
[00:00:31.000 --> 00:00:37.000]  先是法國人找到 然後去到英國人的手中
[00:00:37.000 --> 00:00:40.000]  所以今天去到英國倫敦大英博物館
[00:00:40.000 --> 00:00:47.000]  第一件展館裡面的物件就是這個Rosetta Stone
[00:00:47.000 --> 00:00:57.000]  我們說這個發現讓學者拆解古埃及的文字
[00:00:57.000 --> 00:01:04.000]  以至古代埃及文獻能夠被翻譯出來
[00:01:04.000 --> 00:01:08.000]  然後我們又提過在十一世紀末的時候
[00:01:08.000 --> 00:01:18.000]  這個George Smith拆解了紅水的泥板
[00:01:18.000 --> 00:01:21.000]  Gilgamesh Epic第十一塊
[00:01:21.000 --> 00:01:29.000]  說和聖經創世紀紅水的內容非常相似
[00:01:29.000 --> 00:01:34.000]  我們可能有些困擾 但我們必須忍耐一會
[00:01:34.000 --> 00:01:38.000]  我們要了解背後的比對研究
[00:01:38.000 --> 00:01:43.000]  特別是將一些泥板 或者近東找到的文字
[00:01:43.000 --> 00:01:47.000]  和聖經對比的時候 有相似有不同的地方
[00:01:47.000 --> 00:01:54.000]  這個比對研究的進路 有它的歷史背景
[00:01:54.000 --> 00:01:59.000]  就因為這個緣故 我們需要了解發展的來龍去脈
[00:01:59.000 --> 00:02:05.000]  現在我們學界才知道 如何做正確的對比研究
[00:02:05.000 --> 00:02:11.000]  所以我們這次就說到1902年的時候
[00:02:11.000 --> 00:02:13.000]  1902年大概百多年之前
[00:02:13.000 --> 00:02:16.000]  在1月13日在德國的柏林
[00:02:16.000 --> 00:02:23.000]  有一個很出名的學術講座
[00:02:23.000 --> 00:02:31.000]  這個講座正是當時德國創立了近東學會
[00:02:31.000 --> 00:02:33.000]  Oriental Society
[00:02:33.000 --> 00:02:40.000]  在1902年1月13日 有一個這樣的講座
[00:02:40.000 --> 00:02:44.000]  一個發表的演講 就是Frederick Delitzsch
[00:02:44.000 --> 00:02:46.000]  德國的學者
[00:02:46.000 --> 00:02:52.000]  他是一個很出色的近東和聖經的學者
[00:02:52.000 --> 00:02:55.000]  他在1902年的時候
[00:02:55.000 --> 00:03:00.000]  在這個學會發表了一個講義
[00:03:00.000 --> 00:03:03.000]  這個演講叫做Bible and Bible
[00:03:03.000 --> 00:03:06.000]  就是巴別語聖經
[00:03:06.000 --> 00:03:08.000]  巴別代表巴比倫等等
[00:03:08.000 --> 00:03:13.000]  他講這個演講的時候
[00:03:13.000 --> 00:03:19.000]  正是有德國的帝王William II出席
[00:03:19.000 --> 00:03:22.000]  當時是一個很大的事
[00:03:22.000 --> 00:03:29.000]  他在這一年開始就去講幾場的講義
[00:03:29.000 --> 00:03:36.000]  有關聖經 有關近東背景的學術演講
[00:03:36.000 --> 00:03:39.000]  在他的講義開始的時候
[00:03:39.000 --> 00:03:42.000]  他就說 為什麼我們
[00:03:42.000 --> 00:03:46.000]  他在說我們德國人 或者歐洲的人
[00:03:46.000 --> 00:03:50.000]  千辛萬苦跑到老遠荒涼危險的地方
[00:03:50.000 --> 00:03:52.000]  到底是為了什麼呢
[00:03:52.000 --> 00:03:55.000]  要花這麼多的資金 在幾千年的歷史裡面
[00:03:55.000 --> 00:03:58.000]  在這些廢堆 考古的土壤裡發掘
[00:03:58.000 --> 00:04:02.000]  又不是為了賺錢 或者是賺錢和保障
[00:04:02.000 --> 00:04:04.000]  到底是為了什麼呢
[00:04:04.000 --> 00:04:07.000]  為什麼當時的各個國家
[00:04:07.000 --> 00:04:13.000]  歐洲 英國 法國 德國 美國等等
[00:04:13.000 --> 00:04:16.000]  去到這些早已被遺忘的土壤裡
[00:04:16.000 --> 00:04:18.000]  去爭取這些發掘權
[00:04:18.000 --> 00:04:20.000]  另外大西洋的兩岸
[00:04:20.000 --> 00:04:23.000]  為什麼有這樣的興趣和捐獻呢
[00:04:23.000 --> 00:04:25.000]  有增無減的
[00:04:25.000 --> 00:04:29.000]  當時正是近東學 或者亞術學
[00:04:29.000 --> 00:04:33.000]  開始掘起的時候
[00:04:33.000 --> 00:04:38.000]  就要在巴比倫 亞術的地方來發掘
[00:04:38.000 --> 00:04:40.000]  他回答這麼多的問題
[00:04:40.000 --> 00:04:45.000]  第一個說話 解釋背後的動機和目的
[00:04:45.000 --> 00:04:47.000]  只有一個答案
[00:04:47.000 --> 00:04:49.000]  縱使不是全部的答案
[00:04:49.000 --> 00:04:51.000]  那個答案就是聖經
[00:04:51.000 --> 00:04:53.000]  因為當時剛剛開始
[00:04:53.000 --> 00:04:57.000]  打開了古近東聖經的背景 這個世界
[00:04:57.000 --> 00:05:00.000]  正因這個原始 這樣的原因
