
[00:00:00.000 --> 00:00:10.000]  各位老師同學,我們當中有一些嘉賓,早安
[00:00:10.000 --> 00:00:17.000]  今天是我們2016年萬崇仁教務學講座
[00:00:17.000 --> 00:00:22.000]  這個講座是在1992年開始紀念
[00:00:22.000 --> 00:00:27.000]  在我們中間短短兩年的萬崇仁牧師
[00:00:27.000 --> 00:00:32.000]  他在我們中間的中心服侍
[00:00:32.000 --> 00:00:43.000]  說起萬牧師,因為那段時間我和他一起在中神開始服侍
[00:00:43.000 --> 00:00:53.000]  所以關係也是想起他當年臨離開的時候
[00:00:53.000 --> 00:00:58.000]  來教我們講道學,講道實踐
[00:00:58.000 --> 00:01:05.000]  我還很記得他所用的經文是光伍多後書第五章
[00:01:05.000 --> 00:01:11.000]  我們這個講座由1992年開始一直到現在
[00:01:11.000 --> 00:01:15.000]  紀念在我們當中中心服侍的萬牧師
[00:01:15.000 --> 00:01:20.000]  今年我們講座的題目是忠於牧職的呼召
[00:01:20.000 --> 00:01:23.000]  講完是蕭卓華牧師
[00:01:23.000 --> 00:01:26.000]  蕭牧師大家也相當認識
[00:01:26.000 --> 00:01:29.000]  他是宣導會北角堂的主任牧師
[00:01:29.000 --> 00:01:38.000]  同時他也是香港區聯會執委會的顧問
[00:01:38.000 --> 00:01:42.000]  也是建道神學院董事會主席
[00:01:42.000 --> 00:01:45.000]  也擔任明光社的董事
[00:01:45.000 --> 00:01:57.000]  這次我們的主題是關於教牧的呼召、成長、權威和侍奉
[00:01:57.000 --> 00:02:01.000]  我們總共會以這四個題目
[00:02:01.000 --> 00:02:05.000]  讓我們反思作為一個教牧
[00:02:05.000 --> 00:02:13.000]  我們如何去完成上帝對我們的呼召
[00:02:13.000 --> 00:02:17.000]  我們先會有蕭牧師在我們中間
[00:02:17.000 --> 00:02:22.000]  講大概半小時
[00:02:22.000 --> 00:02:31.000]  然後今天早上主題回歸呼召回應的老師是黃國偉老師
[00:02:31.000 --> 00:02:35.000]  然後我們的校友李俊榮牧師
[00:02:35.000 --> 00:02:39.000]  同樣會有15分鐘時間回應
[00:02:39.000 --> 00:02:41.000]  我看到他會笑
[00:02:41.000 --> 00:02:45.000]  因為我們在忠臣的時候也不是這樣叫他
[00:02:45.000 --> 00:02:48.000]  待會你自己解釋
[00:02:48.000 --> 00:02:57.000]  從來都不知道他的名字叫李俊榮
[00:02:57.000 --> 00:03:01.000]  然後我們會有15分鐘的時間休息
[00:03:01.000 --> 00:03:03.000]  休息完之後回來
[00:03:03.000 --> 00:03:13.000]  現在可以到我們當中的三位蕭牧師和黃牧師李牧師
[00:03:13.000 --> 00:03:17.000]  會有一段研討的時間
[00:03:17.000 --> 00:03:23.000]  我們很高興這一次有蕭索華牧師在我們中間
[00:03:23.000 --> 00:03:25.000]  我們歡迎他
[00:03:25.000 --> 00:03:39.000]  (掌聲)
[00:03:39.000 --> 00:03:43.000]  各位同工弟兄姊妹同學你們好
[00:03:43.000 --> 00:03:48.000]  今天來到大家當中有些怪怪的感覺
[00:03:48.000 --> 00:03:52.000]  很多平時見到面的弟兄姊妹都在不同的場合
[00:03:52.000 --> 00:03:55.000]  今天在忠臣的禮堂裡
[00:03:55.000 --> 00:03:58.000]  也有些陌生的感覺
[00:03:58.000 --> 00:04:01.000]  因為我太久沒有來這邊
[00:04:01.000 --> 00:04:07.000]  一方面是帶著一份很感謝的心
[00:04:07.000 --> 00:04:09.000]  因為想起萬崇仁牧師
[00:04:09.000 --> 00:04:12.000]  我自己沒有很多直接接觸的機會
[00:04:12.000 --> 00:04:15.000]  但是他的生命和他的作品
[00:04:15.000 --> 00:04:18.000]  曾經有很多地方觸動我的
[00:04:18.000 --> 00:04:20.000]  給我很多感動
[00:04:20.000 --> 00:04:23.000]  所以知道一個萬崇仁的講座
[00:04:23.000 --> 00:04:27.000]  我自己心裡面是有不同的感受來參與
[00:04:27.000 --> 00:04:30.000]  當然另一方面我誠實地說
[00:04:30.000 --> 00:04:35.000]  我答應之後有幾次是後悔的
[00:04:35.000 --> 00:04:39.000]  因為這次我上星期六從澳洲回來
[00:04:39.000 --> 00:04:42.000]  在那邊又靈會回來
[00:04:42.000 --> 00:04:45.000]  時間上的確有些趕急
[00:04:45.000 --> 00:04:51.000]  可能大家聽到第四課關於燒盡的課題
[00:04:51.000 --> 00:04:54.000]  可能我已經燒盡了多一點
[00:04:54.000 --> 00:04:56.000]  但是心裡還是想著
[00:04:56.000 --> 00:04:58.000]  自己恩典托住
[00:04:58.000 --> 00:05:00.000]  也盼望在整個過程當中
[00:05:00.000 --> 00:05:02.000]  有很多好的回應
[00:05:02.000 --> 00:05:06.000]  大家弟兄姊妹同工可以有更多好的學習交流
[00:05:06.000 --> 00:05:08.000]  我心裡面是很盼望見到
[00:05:08.000 --> 00:05:12.000]  神興起更多愛教會的牧者
[00:05:12.000 --> 00:05:14.000]  在我早年自己服侍的時候
[00:05:14.000 --> 00:05:17.000]  心裡有一個很清楚的感動
[00:05:17.000 --> 00:05:19.000]  就是基督愛教會
[00:05:19.000 --> 00:05:22.000]  為教會捨己
[00:05:22.000 --> 00:05:23.000]  主愛他的教會
[00:05:23.000 --> 00:05:26.000]  甚至他捨棄他的生命
[00:05:26.000 --> 00:05:30.000]  我們算得了什麼呢
[00:05:30.000 --> 00:05:32.000]  而那份真正感受神的愛的心
[00:05:32.000 --> 00:05:36.000]  一直鼓勵我來服侍
[00:05:36.000 --> 00:05:40.000]  今天大家可能會收到一些大綱
[00:05:40.000 --> 00:05:43.000]  你會見到四個課題
[00:05:43.000 --> 00:05:45.000]  今天早上第一個課題
[00:05:45.000 --> 00:05:48.000]  就是提及到回歸呼召
[00:05:48.000 --> 00:05:52.000]  你會見到其實我也有一些重點
[00:05:52.000 --> 00:05:53.000]  在書本
[00:05:53.000 --> 00:05:56.000]  大家知道成長四課裡面
[00:05:56.000 --> 00:05:58.000]  我在書本裡面有些重點
[00:05:58.000 --> 00:06:00.000]  我都會重提
[00:06:00.000 --> 00:06:04.000]  按那些重點再延伸一些其他的討論
[00:06:04.000 --> 00:06:06.000]  所以如果你有那本書
[00:06:06.000 --> 00:06:11.000]  大概你一會兒聽一下不聽一下都可以
[00:06:11.000 --> 00:06:16.000]  我盼望在重溫或者刺激大家思想的過程裡面
[00:06:16.000 --> 00:06:20.000]  我們可以更多盡心去體會各方面
[00:06:20.000 --> 00:06:22.000]  然後大家一會兒討論的時候
