
[00:00:00.000 --> 00:00:02.000]  剛才在最尾開始之前
[00:00:02.000 --> 00:00:05.000]  小黎老師就在我旁邊聊天
[00:00:05.000 --> 00:00:09.000]  他問了一個我完全沒有心理準備的問題
[00:00:09.000 --> 00:00:12.000]  他問我朱牧師你幾歲
[00:00:12.000 --> 00:00:16.000]  我就很老老實實回答他
[00:00:16.000 --> 00:00:20.000]  60歲以上
[00:00:20.000 --> 00:00:22.000]  過了幾百日
[00:00:22.000 --> 00:00:24.000]  我已經有60歲了
[00:00:24.000 --> 00:00:26.000]  我已經有60歲了
[00:00:26.000 --> 00:00:31.000]  以上 過了幾百日
[00:00:31.000 --> 00:00:35.000]  我本來沒有想過他會這麼直問我這個問題
[00:00:35.000 --> 00:00:36.000]  不過很好
[00:00:36.000 --> 00:00:41.000]  因為老老實實我要面對老這個問題
[00:00:41.000 --> 00:00:44.000]  我們喜不喜歡老呢
[00:00:44.000 --> 00:00:48.000]  我們歡迎老不歡迎老呢
[00:00:48.000 --> 00:00:51.000]  我想剛才小黎老師也說了
[00:00:51.000 --> 00:00:59.000]  我們傾向對老有一個比較負面的理解
[00:00:59.000 --> 00:01:00.000]  不喜歡老
[00:01:00.000 --> 00:01:03.000]  我希望延後老的來臨
[00:01:03.000 --> 00:01:06.000]  或者我們想保持
[00:01:06.000 --> 00:01:10.000]  希望把老的速度減慢一點
[00:01:10.000 --> 00:01:14.000]  即使樣子不老也好
[00:01:14.000 --> 00:01:17.000]  心境也要年輕
[00:01:17.000 --> 00:01:25.000]  其實生老病死不是必然的
[00:01:25.000 --> 00:01:28.000]  有些人沒有機會出生
[00:01:28.000 --> 00:01:31.000]  胎死腹中
[00:01:31.000 --> 00:01:34.000]  有些人沒有機會老
[00:01:34.000 --> 00:01:37.000]  因為遇見意外
[00:01:37.000 --> 00:01:38.000]  天災
[00:01:38.000 --> 00:01:39.000]  戰爭
[00:01:39.000 --> 00:01:40.000]  恐襲
[00:01:40.000 --> 00:01:42.000]  營養不良
[00:01:42.000 --> 00:01:44.000]  他們沒有機會老
[00:01:44.000 --> 00:01:47.000]  連病也沒有機會
[00:01:47.000 --> 00:01:50.000]  他就已經辛苦了
[00:01:50.000 --> 00:01:53.000]  老是過去二三十年
[00:01:53.000 --> 00:01:56.000]  或近一兩代才出現的問題
[00:01:56.000 --> 00:01:57.000]  早幾代
[00:01:57.000 --> 00:01:59.000]  我爺爺那代
[00:01:59.000 --> 00:02:03.000]  其實哪用面對老的問題
[00:02:03.000 --> 00:02:05.000]  那時醫藥沒那麼發達
[00:02:05.000 --> 00:02:09.000]  醫學也沒那麼先進
[00:02:09.000 --> 00:02:12.000]  未老就已經死了
[00:02:12.000 --> 00:02:14.000]  為什麼死?不知道
[00:02:14.000 --> 00:02:15.000]  病死
[00:02:15.000 --> 00:02:16.000]  也不知道什麼病
[00:02:16.000 --> 00:02:17.000]  總之死了
[00:02:17.000 --> 00:02:18.000]  沒機會老
[00:02:18.000 --> 00:02:20.000]  所以有機會老
[00:02:20.000 --> 00:02:24.000]  是因為現在的醫藥很發達
[00:02:24.000 --> 00:02:27.000]  我們以前治不了的病
[00:02:27.000 --> 00:02:29.000]  現在可以治得到
[00:02:29.000 --> 00:02:31.000]  這其實是因典
[00:02:31.000 --> 00:02:34.000]  我看你是否暗地裡
[00:02:34.000 --> 00:02:38.000]  可以治是否因典
[00:02:38.000 --> 00:02:40.000]  我看清楚了
[00:02:40.000 --> 00:02:42.000]  你不要亂回答
[00:02:42.000 --> 00:02:44.000]  不過對我來說
[00:02:44.000 --> 00:02:46.000]  有機會老
[00:02:46.000 --> 00:02:48.000]  我都要面對他
[00:02:48.000 --> 00:02:50.000]  正面面對他
[00:02:50.000 --> 00:02:52.000]  甚至用剛才小蕾老師的說法
[00:02:52.000 --> 00:02:53.000]  擁抱他
[00:02:53.000 --> 00:02:55.000]  歡迎他
[00:02:55.000 --> 00:03:00.000]  因為始終是上帝給你的命定的份
[00:03:00.000 --> 00:03:01.000]  所以今晚可以
[00:03:01.000 --> 00:03:03.000]  我希望和大家用五個角度
[00:03:03.000 --> 00:03:08.000]  來分享顛覆老的想像
[00:03:08.000 --> 00:03:13.000]  我覺得我很大機會說不完這五點
[00:03:13.000 --> 00:03:17.000]  所以我會到時
[00:03:17.000 --> 00:03:19.000]  因應情況而過
[00:03:19.000 --> 00:03:21.000]  我會跳過一大部份
[00:03:21.000 --> 00:03:23.000]  先看第一個
[00:03:23.000 --> 00:03:27.000]  從退休年齡來思考和想像
[00:03:27.000 --> 00:03:29.000]  什麼叫退休呢?
[00:03:29.000 --> 00:03:32.000]  現在社會上經常討論
[00:03:32.000 --> 00:03:34.000]  幾多歲退休的問題
[00:03:34.000 --> 00:03:36.000]  我認識很多人
[00:03:36.000 --> 00:03:37.000]  未夠50歲
[00:03:37.000 --> 00:03:39.000]  他收夠酬
[00:03:39.000 --> 00:03:44.000]  他已經可以提早退休
[00:03:44.000 --> 00:03:45.000]  我經常問他
[00:03:45.000 --> 00:03:46.000]  這麼早退休
[00:03:46.000 --> 00:03:51.000]  下半生你怎樣過呢?
[00:03:51.000 --> 00:03:53.000]  但我見到很多人
[00:03:53.000 --> 00:03:55.000]  70歲
[00:03:55.000 --> 00:03:56.000]  他仍會走
