
[00:00:00.000 --> 00:00:04.000]  我們的系列叫做亦有野荷
[00:00:04.000 --> 00:00:08.000]  我今天也想和頂姐妹思想一下瘟疫
[00:00:08.000 --> 00:00:10.000]  想想天災
[00:00:10.000 --> 00:00:13.000]  雖然我們面對肺炎疫情已經好幾個月
[00:00:13.000 --> 00:00:16.000]  現在疫情也都已經慢慢減退
[00:00:16.000 --> 00:00:17.000]  再說天災
[00:00:17.000 --> 00:00:22.000]  或者我們會覺得好像已經是沒有了一份的逼切性
[00:00:22.000 --> 00:00:24.000]  不過我想
[00:00:24.000 --> 00:00:26.000]  當疫情含含聲地在爆發
[00:00:26.000 --> 00:00:30.000]  每天都有新的消息要我們立刻去應對
[00:00:30.000 --> 00:00:35.000]  或者那時候我們根本就沒有空間去想清楚
[00:00:35.000 --> 00:00:38.000]  究竟是發生了什麼事
[00:00:38.000 --> 00:00:41.000]  今天當疫情慢慢的過去
[00:00:41.000 --> 00:00:45.000]  我想也是時候我們真的停下來
[00:00:45.000 --> 00:00:48.000]  好好地在信仰上面去反思去領受
[00:00:48.000 --> 00:00:54.000]  究竟我們這位掌管著在世間發生的一切事情的上帝
[00:00:54.000 --> 00:00:58.000]  他其實在這段時間在疫情的裡面
[00:00:58.000 --> 00:01:01.000]  他可能在做些什麼
[00:01:01.000 --> 00:01:06.000]  他也都想我們信徒去體會些什麼呢
[00:01:06.000 --> 00:01:09.000]  我今天想和頂姐妹一起去讀
[00:01:09.000 --> 00:01:11.000]  約翰啓事錄裡面記載
[00:01:11.000 --> 00:01:14.000]  自己在天上見到那三個七
[00:01:14.000 --> 00:01:20.000]  就是七印、七號和七碗的異象
[00:01:20.000 --> 00:01:22.000]  或者我們都知道
[00:01:22.000 --> 00:01:26.000]  在那裡大部分都是驚天動地
[00:01:26.000 --> 00:01:29.000]  有很多人在裡面苦不堪言的災難
[00:01:29.000 --> 00:01:34.000]  有時我們想看都真的挺難看下去的
[00:01:34.000 --> 00:01:39.000]  不過當約翰他發出這三個七的警告的時候
[00:01:39.000 --> 00:01:43.000]  他並不是像我們過往很多人以為的那樣
[00:01:43.000 --> 00:01:46.000]  只是要記下一些末日的密碼
[00:01:46.000 --> 00:01:50.000]  來滿足一下我們對將來的好奇心
[00:01:50.000 --> 00:01:52.000]  約翰其實是要鼓勵
[00:01:52.000 --> 00:01:55.000]  當時在小亞細亞裡面的信徒
[00:01:55.000 --> 00:01:59.000]  縱然周圍的確是充滿著對基督信仰的挑戰
[00:01:59.000 --> 00:02:02.000]  甚至是對自己生命的威脅
[00:02:02.000 --> 00:02:04.000]  他們仍然要持守神的道
[00:02:04.000 --> 00:02:09.000]  仍然要堅持繼續為基督去做見證
[00:02:09.000 --> 00:02:13.000]  所以約翰見到那三個七的災禍
