
[00:00:00.000 --> 00:00:02.000]  各位同學平安
[00:00:02.000 --> 00:00:05.000]  歡迎你們來到《亦有嘢學》
[00:00:05.000 --> 00:00:08.000]  延伸再線的第三個課堂裏面
[00:00:08.000 --> 00:00:10.000]  今個主日的課堂
[00:00:10.000 --> 00:00:13.000]  是由張志聰博士負責講授
[00:00:13.000 --> 00:00:16.000]  Simon老師是忠臣的舊藥科
[00:00:16.000 --> 00:00:19.000]  許書楚教席副教授
[00:00:19.000 --> 00:00:22.000]  亦是我們忠臣的副教務長
[00:00:22.000 --> 00:00:24.000]  Simon對詩篇
[00:00:24.000 --> 00:00:28.000]  以及聖經文類的研究是頗有心得的
[00:00:28.000 --> 00:00:32.000]  不過今日Simon老師不是跟我們講詩篇
[00:00:32.000 --> 00:00:37.000]  他會分享《列王記下》四章八至三十七節
[00:00:37.000 --> 00:00:41.000]  題目是「當急難敲門時」
[00:00:41.000 --> 00:00:44.000]  袁主席他自己的說話向我們敲門
[00:00:44.000 --> 00:00:47.000]  使我們能夠躺開心思意念
[00:00:47.000 --> 00:00:50.000]  讓主進入我們的生命裏面
[00:00:50.000 --> 00:00:55.000]  今日我想和大家看一段經文
[00:00:55.000 --> 00:01:00.000]  記載在《列王記下》第四章八至三十七節
[00:01:00.000 --> 00:01:03.000]  我想藉著這段經文
[00:01:03.000 --> 00:01:07.000]  同樣地和大家一起學習
[00:01:07.000 --> 00:01:12.000]  如何再一次更加仔細地觀察一段經文
[00:01:12.000 --> 00:01:15.000]  特別是聖經學者如何將一些
[00:01:15.000 --> 00:01:19.000]  所謂重複或對比的技巧放在當中
[00:01:19.000 --> 00:01:22.000]  來突出他想帶出的一些重點
[00:01:22.000 --> 00:01:26.000]  除此之外,我也很想藉著聖經作者
[00:01:26.000 --> 00:01:31.000]  如何用他的手法來塑造這個故事裏面
[00:01:31.000 --> 00:01:34.000]  兩位角色的性格
[00:01:34.000 --> 00:01:38.000]  還有一樣東西也很想和大家一起探討的是
[00:01:38.000 --> 00:01:44.000]  聖經作者如何藉著描述一件急難的來臨
[00:01:44.000 --> 00:01:49.000]  以致帶來了當中兩個故事人物
[00:01:49.000 --> 00:01:51.000]  他們生命的改變
[00:01:51.000 --> 00:01:55.000]  今日我會用的經文版本會是和合版
[00:01:55.000 --> 00:01:59.000]  修訂版,所以弟兄姊妹可以特別留意
[00:01:59.000 --> 00:02:02.000]  這段經文所記載的故事
[00:02:02.000 --> 00:02:06.000]  和以利沙其他的故事不太一樣
[00:02:06.000 --> 00:02:10.000]  我們見不到鄰國一些很厲害的戰爭
[00:02:10.000 --> 00:02:15.000]  我們也見不到一些大將被醫治的神蹟
[00:02:15.000 --> 00:02:18.000]  我們見到的是以利沙和一個婦人
[00:02:18.000 --> 00:02:21.000]  甚至連名字也沒有的婦人
[00:02:21.000 --> 00:02:25.000]  他們之間的一個相遇的故事
[00:02:25.000 --> 00:02:27.000]  故事一開始的時候
[00:02:27.000 --> 00:02:31.000]  是講述以利沙如何認識這個婦人
[00:02:31.000 --> 00:02:33.000]  「一日,以利沙經過書簾
[00:02:33.000 --> 00:02:38.000]  在那裏有一個富有的婦人強留她吃飯
[00:02:38.000 --> 00:02:43.000]  此後,以利沙每次經過就轉到那裏吃飯
[00:02:43.000 --> 00:02:45.000]  婦人對丈夫說
[00:02:45.000 --> 00:02:50.000]  看吶,我知道那常從我們這裏經過的是神聖的神人
[00:02:50.000 --> 00:02:54.000]  我們可以為她蓋一間有牆的小閣樓
[00:02:54.000 --> 00:02:59.000]  裏面安放床塔、桌子、椅子、燈台
[00:02:59.000 --> 00:03:04.000]  每當她來到我們這裏就可以住在那裏
[00:03:04.000 --> 00:03:09.000]  一日,以利沙來到那裏轉進那閣樓
[00:03:09.000 --> 00:03:12.000]  躺臥在那裏」
[00:03:12.000 --> 00:03:14.000]  如果你剛才留心聽我讀的時候
[00:03:14.000 --> 00:03:18.000]  你會發現經文一開始短短幾節
[00:03:18.000 --> 00:03:22.000]  就已經重複了好幾次一個字眼
[00:03:22.000 --> 00:03:25.000]  那個字眼就是「那裏」
[00:03:25.000 --> 00:03:29.000]  第十節裏面「裏面」那個字
[00:03:29.000 --> 00:03:34.000]  其實應該都應該翻譯成「那裏」這個字眼
[00:03:34.000 --> 00:03:39.000]  為甚麼聖經作者那麼強調「那裏」這個字眼呢?
[00:03:39.000 --> 00:03:42.000]  如果我們再仔細去看的時候
[00:03:42.000 --> 00:03:45.000]  你會發現其實這六節的「那裏」
[00:03:45.000 --> 00:03:49.000]  其實不是在說同一個地方
[00:03:49.000 --> 00:03:52.000]  一開始的時候第八節「那裏」
[00:03:52.000 --> 00:03:57.000]  其實就正正在說上文書念這個地方
[00:03:57.000 --> 00:03:59.000]  書念是一個甚麼地方呢?
[00:03:59.000 --> 00:04:01.000]  如果我們看回聖經的地圖的時候
[00:04:01.000 --> 00:04:10.000]  我們會發現書念其實在加密山東南以東的一個地區
[00:04:10.000 --> 00:04:16.000]  而它離開加密山大概有三十五公里的距離
[00:04:16.000 --> 00:04:24.000]  三十五公里大概是十幾個小時的路程
[00:04:24.000 --> 00:04:30.000]  加密山正正就是以利沙他所居住的地方
[00:04:30.000 --> 00:04:36.000]  所以我們見到書念不是以利沙他居住的地方
[00:04:36.000 --> 00:04:39.000]  而書念並不是以利沙他的家
[00:04:39.000 --> 00:04:42.000]  以利沙不知為了甚麼原因
[00:04:42.000 --> 00:04:44.000]  他來到書念這個地方
[00:04:44.000 --> 00:04:47.000]  是一個可能他沒有人認識
[00:04:47.000 --> 00:04:52.000]  亦沒有地方可以去投靠的一個地區
[00:04:52.000 --> 00:04:54.000]  敬文一開始說的「那裏」
[00:04:54.000 --> 00:05:00.000]  就是在說這個不是以利沙的家的書念
[00:05:00.000 --> 00:05:02.000]  不過當他再出現的時候
[00:05:02.000 --> 00:05:06.000]  我們會發現這個「那裏」已經成為了
[00:05:06.000 --> 00:05:12.000]  由書念這麼大的地方進入了一個婦人的家
[00:05:12.000 --> 00:05:13.000]  再下來的時候
[00:05:13.000 --> 00:05:15.000]  第三次的「那裏」出現
[00:05:15.000 --> 00:05:19.000]  已經是在說婦人的家裏面
[00:05:19.000 --> 00:05:23.000]  一個所謂有牆的小閣樓
[00:05:23.000 --> 00:05:27.000]  如果你正在用和合本舊版的聖經的時候
[00:05:27.000 --> 00:05:32.000]  你會發現和合本翻譯成為牆上蓋的一間小樓
[00:05:32.000 --> 00:05:34.000]  可能你會有點拗頭
[00:05:34.000 --> 00:05:36.000]  究竟這句說話是說甚麼
[00:05:36.000 --> 00:05:39.000]  其實和合本修訂版比較正確
[00:05:39.000 --> 00:05:43.000]  說的是原來一個小的閣樓是有牆的
[00:05:43.000 --> 00:05:48.000]  有牆的地方代表這個地方已經成為了一個
[00:05:48.000 --> 00:05:52.000]  可能是一個比較長期會設立的房間
[00:05:52.000 --> 00:05:54.000]  不是朝寒晚差
[00:05:54.000 --> 00:05:57.000]  等以利沙來就突然間起氣出來
[00:05:57.000 --> 00:06:00.000]  而是已經長期擺定在這裏
[00:06:00.000 --> 00:06:03.000]  讓到以利沙隨時來
[00:06:03.000 --> 00:06:07.000]  他都可以進入的一個房間
[00:06:07.000 --> 00:06:10.000]  第四次再出現的「那裏」
[00:06:10.000 --> 00:06:16.000]  亦再一次是在說這個有牆的小閣樓
[00:06:16.000 --> 00:06:18.000]  然後之後十一節就說
[00:06:18.000 --> 00:06:22.000]  以利沙真的來到「那裏」了
[00:06:22.000 --> 00:06:23.000]  可能這裏說的是書念
[00:06:23.000 --> 00:06:27.000]  不過亦都在說的是婦人的家
[00:06:27.000 --> 00:06:30.000]  然後到最後一次
[00:06:30.000 --> 00:06:36.000]  就說以利沙躺臥在一個有牆的小閣樓
[00:06:36.000 --> 00:06:38.000]  我想你發現的是
[00:06:38.000 --> 00:06:43.000]  第一次以利沙踏足這個地區的時候
[00:06:43.000 --> 00:06:47.000]  「那裏」是在說書念
[00:06:47.000 --> 00:06:51.000]  一個不是他家裏,沒有人投靠的地方
[00:06:51.000 --> 00:06:53.000]  逐漸一步一步
[00:06:53.000 --> 00:06:56.000]  這個「那裏」就成為了婦人的家
[00:06:56.000 --> 00:07:00.000]  這個「那裏」就成為了一個婦人為他預備
[00:07:00.000 --> 00:07:03.000]  一個有牆的小閣樓
[00:07:03.000 --> 00:07:06.000]  這個有牆的小閣樓裏面有些什麼呢?
[00:07:06.000 --> 00:07:10.000]  有床、有桌子、有椅子、有燈台
[00:07:10.000 --> 00:07:13.000]  在當時的以色列人家裏面
[00:07:13.000 --> 00:07:16.000]  其實有家具,並不是每一個家人
[00:07:16.000 --> 00:07:20.000]  每一個人家都會有的一些裝備
[00:07:20.000 --> 00:07:22.000]  能夠為一個這麼小的房間
[00:07:22.000 --> 00:07:25.000]  擺了這麼多所謂的家具
[00:07:25.000 --> 00:07:28.000]  我想就大概好像我們今天家裏面
[00:07:28.000 --> 00:07:31.000]  擺了一張奧禪的愛摩爾一樣
