
[00:00:00.000 --> 00:00:05.560]  當我們目睹香港一處處承載本土歷史文化的地區
[00:00:05.560 --> 00:00:09.480]  因種種原因被拆毀重建
[00:00:09.480 --> 00:00:12.680]  當我們見到香港一些核心價值
[00:00:12.680 --> 00:00:15.680]  例如自由、平等、法治
[00:00:15.680 --> 00:00:18.480]  屢受到破壞、消耗
[00:00:18.480 --> 00:00:23.120]  所以我們雖然仍然好像在香港這個地方當中
[00:00:23.120 --> 00:00:27.720]  但我們彷彿好像經歷到被擄的處境
[00:00:27.720 --> 00:00:31.000]  感覺到疏離和割裂
[00:00:31.000 --> 00:00:37.000]  我們如何在這樣的環境下安身作為回應呢?
[00:00:37.000 --> 00:00:41.320]  先知以西傑這個片段提醒我們
[00:00:41.320 --> 00:00:45.880]  在流離的地方應該與其他流離者休戚與共
[00:00:45.880 --> 00:00:47.480]  放下自己
[00:00:47.480 --> 00:00:51.880]  顯明上帝忠心宣講和守望
[00:00:51.880 --> 00:00:55.800]  在生活層面上要活出神的心意
[00:00:55.800 --> 00:00:59.200]  我們或者可否這樣問呢?
[00:00:59.200 --> 00:01:04.000]  假如那位神甘願與我們流離
[00:01:04.000 --> 00:01:08.600]  成為我們接下來可以安身的基礎
[00:01:08.600 --> 00:01:14.680]  我們就會問今時今日我們的流離
[00:01:14.680 --> 00:01:17.640]  我們的安身、我們的同在
[00:01:17.640 --> 00:01:23.640]  能否同樣地成為其他人可以安身的基礎呢?
[00:01:23.640 --> 00:01:25.640]  多謝您收睇時局新聞,再會!
[00:01:25.640 --> 00:01:27.640]  多謝您收睇時局新聞,再會!
[00:01:27.640 --> 00:01:29.640]  多謝您收睇時局新聞,再會!
[00:01:29.640 --> 00:01:32.640]  (字幕由 Amara.org 社群提供)
[00:01:32.640 --> 00:01:35.640]  (字幕由 Amara.org 社群提供)

