
[00:00:00.000 --> 00:00:04.400]  想借助這個心靈涼亭的空間
[00:00:04.400 --> 00:00:06.400]  想跟大家說一下
[00:00:06.400 --> 00:00:11.200]  關於自己和自己相處的關係
[00:00:11.200 --> 00:00:14.800]  其實很多人際關係裡面
[00:00:14.800 --> 00:00:18.800]  我們最不懂得相處的是和自己
[00:00:18.800 --> 00:00:22.800]  所以我想特別香港人是很忙碌的
[00:00:22.800 --> 00:00:24.800]  在一個忙碌的日子裡面
[00:00:24.800 --> 00:00:30.000]  你很難會靜下來和自己打個招呼
[00:00:30.000 --> 00:00:32.000]  和自己相處一下
[00:00:32.000 --> 00:00:37.000]  我這段時間也有一些假期
[00:00:37.000 --> 00:00:40.000]  發覺當假期的時候
[00:00:40.000 --> 00:00:42.000]  沒有事情做的時候
[00:00:42.000 --> 00:00:45.000]  其實自己裡面是很焦慮的
[00:00:45.000 --> 00:00:48.000]  好像也想找很多事情來做
[00:00:48.000 --> 00:00:52.000]  或者最容易是走近電腦
[00:00:52.000 --> 00:00:57.000]  上網看網頁
[00:00:57.000 --> 00:01:00.000]  好像有事情要跟自己溝通
[00:01:00.000 --> 00:01:02.000]  自己的時間就會好過一點
[00:01:02.000 --> 00:01:04.000]  或者拿著手機
[00:01:04.000 --> 00:01:06.000]  原來我們靜下來
[00:01:06.000 --> 00:01:09.000]  坐在這裡和自己相處
[00:01:09.000 --> 00:01:11.000]  不是一件很容易的事
[00:01:11.000 --> 00:01:15.000]  最近有機會讀到一篇新詩
[00:01:15.000 --> 00:01:18.000]  是一位叫Derek Walcott
[00:01:18.000 --> 00:01:21.000]  他是1992年諾貝爾文學獎的得主
[00:01:21.000 --> 00:01:23.000]  他寫了一首新詩
[00:01:23.000 --> 00:01:25.000]  叫做《Love After Love》
[00:01:25.000 --> 00:01:27.000]  很受歡迎
[00:01:27.000 --> 00:01:29.000]  在那裡描寫一個人
[00:01:29.000 --> 00:01:32.000]  和自己一個很微妙的關係
[00:01:32.000 --> 00:01:36.000]  我先把那首新詩翻譯了
[00:01:36.000 --> 00:01:38.000]  讀給大家聽一次
[00:01:38.000 --> 00:01:40.000]  然後和大家分享一下
[00:01:40.000 --> 00:01:44.000]  裡面對我們和自己相處有什麼提示
[00:01:44.000 --> 00:01:47.000]  他說:那個時候會來
[00:01:47.000 --> 00:01:53.000]  你得意洋洋地迎接自己到達
[00:01:53.000 --> 00:01:55.000]  在你自己的門前
[00:01:55.000 --> 00:01:58.000]  在你自己的鏡子裡
[00:01:58.000 --> 00:02:02.000]  而且各人都會微笑地歡迎對方
[00:02:02.000 --> 00:02:05.000]  並且說坐在這裡
[00:02:05.000 --> 00:02:07.000]  吃東西
[00:02:07.000 --> 00:02:10.000]  你會再一次愛這位陌生的人
[00:02:10.000 --> 00:02:12.000]  就是你自己
[00:02:12.000 --> 00:02:16.000]  將酒、麵包、你的心
