
[00:00:00.000 --> 00:00:04.000]  各位主內丁姐妹平安
[00:00:04.000 --> 00:00:08.000]  歡迎你們來參加
[00:00:08.000 --> 00:00:10.000]  中國神學研究院
[00:00:10.000 --> 00:00:15.000]  今年所舉辦北美的培靈講座
[00:00:15.000 --> 00:00:20.000]  今年我們的講員是余振寧博士
[00:00:20.000 --> 00:00:23.000]  我們新約的老師
[00:00:23.000 --> 00:00:25.000]  余振寧博士
[00:00:25.000 --> 00:00:30.000]  我們新約的老師
[00:00:30.000 --> 00:00:33.000]  Kelvin老師會跟我們討論
[00:00:33.000 --> 00:00:39.000]  耶穌在路加福音所講解的兩個重點
[00:00:39.000 --> 00:00:43.000]  在信靠當中如何競成
[00:00:43.000 --> 00:00:47.000]  振寧老師是我們跟愛丁堡大學
[00:00:47.000 --> 00:00:52.000]  聯合班授的博士課程
[00:00:52.000 --> 00:00:56.000]  是我們第一位畢業生
[00:00:56.000 --> 00:01:00.000]  他是第二位加入課程的同學
[00:01:00.000 --> 00:01:02.000]  爬了頭畢業
[00:01:02.000 --> 00:01:04.000]  我們感謝主
[00:01:04.000 --> 00:01:07.000]  丁姐妹主內平安
[00:01:07.000 --> 00:01:12.000]  很感恩有機會跟大家分享主的話語
[00:01:12.000 --> 00:01:16.000]  當忠臣安排我們講北美培靈會的時候
[00:01:16.000 --> 00:01:18.000]  李思敬院長告訴我們
[00:01:18.000 --> 00:01:21.000]  其實過去我們很少在一月份的時間
[00:01:21.000 --> 00:01:24.000]  在北美這個地方舉辦培靈的聚會
[00:01:24.000 --> 00:01:26.000]  原因很簡單
[00:01:26.000 --> 00:01:29.000]  因為一月份正值北美的嚴冬
[00:01:29.000 --> 00:01:31.000]  天氣相當惡劣
[00:01:31.000 --> 00:01:33.000]  除了很冷之外
[00:01:33.000 --> 00:01:35.000]  很多地方也有積雪
[00:01:35.000 --> 00:01:37.000]  出門很不方便
[00:01:37.000 --> 00:01:40.000]  我自己未在北美生活過
[00:01:40.000 --> 00:01:42.000]  所以這些情況
[00:01:42.000 --> 00:01:45.000]  我只能夠透過聽別人講
[00:01:45.000 --> 00:01:49.000]  或者有時候從電視的片段看到
[00:01:49.000 --> 00:01:51.000]  不過我也知道
[00:01:51.000 --> 00:01:54.000]  北美的冬天的確很不容易
[00:01:54.000 --> 00:01:57.000]  如果在這個時候我們安排聚會的話
[00:01:57.000 --> 00:02:01.000]  一個不幸在聚會的日期遇上暴風雪
[00:02:01.000 --> 00:02:04.000]  可能聚會也迫不得已要取消
[00:02:04.000 --> 00:02:06.000]  所以在過去一月份
[00:02:06.000 --> 00:02:11.000]  我們很少會在北美安排一些聚會
[00:02:11.000 --> 00:02:13.000]  冬天很不容易
[00:02:13.000 --> 00:02:15.000]  而且今年的冬天
