
[00:00:00.000 --> 00:00:02.920]   (soft piano music)
[00:00:02.920 --> 00:00:21.080]   - Ladies and gentlemen,
[00:00:21.080 --> 00:00:23.600]   Christian brothers and sisters,
[00:00:23.600 --> 00:00:27.040]   warmest greetings in our Lord Jesus Christ to you,
[00:00:27.040 --> 00:00:30.120]   no matter where you are now geographically located.
[00:00:30.120 --> 00:00:33.080]   Welcome to join us
[00:00:33.080 --> 00:00:36.240]   at our China Graduate School of Theology,
[00:00:36.240 --> 00:00:40.400]   Josephine So Culture and Ethics Lecture Week.
[00:00:40.400 --> 00:00:43.480]   My name is Simon Cheung, your host this morning.
[00:00:43.480 --> 00:00:48.240]   Let me first say a few words about this lecture series.
[00:00:48.240 --> 00:00:52.080]   Instituted in 1985,
[00:00:52.080 --> 00:00:54.160]   this biannual lecture series
[00:00:54.160 --> 00:00:57.120]   is for commemorating Josephine So,
[00:00:57.120 --> 00:01:02.000]   the pioneering Christian thinker and leader here in Hong Kong
[00:01:02.000 --> 00:01:05.640]   after her untimely death in 1982.
[00:01:05.640 --> 00:01:10.300]   In the past, this lecture series has covered
[00:01:10.300 --> 00:01:12.520]   a broad swath of topics,
[00:01:12.520 --> 00:01:14.600]   ranging from a contemporary reading
[00:01:14.600 --> 00:01:17.860]   of Augustine's "The City of God"
[00:01:17.860 --> 00:01:20.900]   to pressing cultural and ethical issues
[00:01:20.900 --> 00:01:24.920]   concerning creation care, marketplace theology,
[00:01:24.920 --> 00:01:27.400]   or contextualizing Christian faith
[00:01:27.400 --> 00:01:29.820]   in the current Chinese context.
[00:01:29.820 --> 00:01:35.960]   This year, our lecture series is set to take a look,
[00:01:35.960 --> 00:01:40.640]   and I may add, a scrutinizing and critical look
[00:01:40.640 --> 00:01:44.780]   into the American white evangelicalism
[00:01:44.780 --> 00:01:47.280]   and the crisis it faces today.
[00:01:48.460 --> 00:01:53.460]   And our distinguished speaker is Reverend Dr. Mark Levitin,
[00:01:53.460 --> 00:01:59.960]   the president of Fuller Theological Seminary in the US.
[00:01:59.960 --> 00:02:04.680]   Dr. Levitin, it's great to have you here virtually with us.
[00:02:04.680 --> 00:02:07.840]   Would you like to say hi to our audience here?
[00:02:07.840 --> 00:02:11.400]   - Thank you so much for this invitation.
[00:02:11.400 --> 00:02:14.660]   - Thank you, Dr. Levitin.
[00:02:14.660 --> 00:02:17.880]   And before we hear your first lecture today,
[00:02:17.880 --> 00:02:21.240]   may I first say a few words to introduce you
[00:02:21.240 --> 00:02:22.880]   to our general audience?
[00:02:22.880 --> 00:02:27.700]   Dr. Levitin is a prolific writer,
[00:02:27.700 --> 00:02:32.360]   and his work appears in various kinds of platforms,
[00:02:32.360 --> 00:02:36.080]   with the Lord Jesus Christ as a center of passion,
[00:02:36.080 --> 00:02:40.080]   as Dr. Levitin once expressed in an interview.
[00:02:40.080 --> 00:02:44.600]   His work is aimed to wake people up
[00:02:44.600 --> 00:02:47.400]   as to what kind of life and practice
[00:02:47.400 --> 00:02:51.680]   they are called into by their Savior and by the Lord.
[00:02:51.680 --> 00:02:56.640]   Just by reading the evocative titles of his books
[00:02:56.640 --> 00:03:00.080]   like "The Dangerous Act of Worship"
[00:03:00.080 --> 00:03:03.740]   and "The Dangerous Act of Loving Your Neighbor,"
[00:03:03.740 --> 00:03:06.880]   his readers will immediately get the feel
[00:03:06.880 --> 00:03:11.320]   that the complacent and insipid understanding
[00:03:11.320 --> 00:03:16.320]   of our faith falls far short of the true calling
[00:03:16.900 --> 00:03:19.480]   to be the followers of Jesus.
[00:03:19.480 --> 00:03:25.300]   Out of a deep conviction in the practice of genuine dialogue,
[00:03:25.300 --> 00:03:30.100]   Dr. Levitin has been hosting as the president of FOLA,
[00:03:30.100 --> 00:03:33.020]   a forum called Conversing,
[00:03:33.020 --> 00:03:37.180]   in which he will speak with a wide spectrum of leaders,
[00:03:37.180 --> 00:03:40.340]   I quote, "on issues at the intersection
