
[00:00:00.000 --> 00:00:09.000]  感謝洪亮博士為我們清晰地重構了海德堡論綱當中所蘊含的十價神學
[00:00:09.000 --> 00:00:16.000]  並且經由舒里‧莫特曼與威爾克對路德十價神學的批判性的解讀
[00:00:16.000 --> 00:00:27.000]  進而向我們展現了十字架神學在今日從法律與宗教的理論視角取得新的解讀的可能性與價值
[00:00:27.000 --> 00:00:33.000]  作為回應我準備從一位日本神學家和一位日本宣教士
[00:00:33.000 --> 00:00:38.000]  來呈現十價神學在亞洲處境中的表達
[00:00:38.000 --> 00:00:43.000]  以再思十字架之言與歷史的十字架
[00:00:43.000 --> 00:00:48.000]  還有歷史與權勢的一個共存性的關係
[00:00:48.000 --> 00:00:53.000]  首先我舉出的這個日本神學家是北森家藏
[00:00:53.000 --> 00:00:56.000]  他的神通神學
[00:00:56.000 --> 00:01:00.000]  同樣面對二戰後身心殘缺的苦境
[00:01:00.000 --> 00:01:03.000]  作為對二戰經驗的消化
[00:01:03.000 --> 00:01:09.000]  1946年日本東部神學校就是今天的日本神學大學
[00:01:09.000 --> 00:01:14.000]  他的路德宗神學家北森出版了神通神學
[00:01:14.000 --> 00:01:17.000]  他作為回應時代的神學
[00:01:17.000 --> 00:01:20.000]  北森必須回答苦難的問題
[00:01:20.000 --> 00:01:25.000]  必須在戰爭的可怕創傷和人們的痛苦聲音當中
[00:01:25.000 --> 00:01:28.000]  來詢問福音的本質
[00:01:28.000 --> 00:01:32.000]  找到人生到底還有什麼盼望這個答案
[00:01:32.000 --> 00:01:35.000]  我就用這樣一個圖片代表
[00:01:35.000 --> 00:01:41.000]  北森家藏和Mottmann之間的一種神學的關聯和對話
[00:01:41.000 --> 00:01:45.000]  在北森1946年出版這本書之後
[00:01:45.000 --> 00:01:47.000]  他這本書翻譯了很多的語言
[00:01:47.000 --> 00:01:52.000]  1972年也就是Mottmann出版他《北京十字架的上帝》那一年
[00:01:52.000 --> 00:01:55.000]  北森的著作翻譯成德文
[00:01:55.000 --> 00:01:56.000]  我在選這張照片
[00:01:56.000 --> 00:02:01.000]  我看這個Mottmann真的有點像洪亮老師
[00:02:01.000 --> 00:02:06.000]  我指的是長相
[00:02:06.000 --> 00:02:12.000]  側面很像他剛才講演的那個風格
[00:02:12.000 --> 00:02:17.000]  他指出來人類的苦難來源於罪
[00:02:17.000 --> 00:02:20.000]  苦難的真相就是神的憤怒
[00:02:20.000 --> 00:02:23.000]  令北森非常感到震撼的是
[00:02:23.000 --> 00:02:27.000]  他發現舊約的《伊利米蘇》31章的第20節
[00:02:27.000 --> 00:02:28.000]  裡面有一節經文
[00:02:28.000 --> 00:02:32.000]  我們的和和本翻譯成我的心戀慕他
[00:02:32.000 --> 00:02:35.000]  另外還有一種翻譯的可能性
[00:02:35.000 --> 00:02:38.000]  就是我的心常為他而痛
[00:02:38.000 --> 00:02:41.000]  所以北森就透過這段經文
[00:02:41.000 --> 00:02:44.000]  我的心常為他而痛
[00:02:44.000 --> 00:02:46.000]  來去理解十字架
[00:02:46.000 --> 00:02:49.000]  認為他與十字架真理相呼應
[00:02:49.000 --> 00:02:52.000]  揭示出十字架真理的一個性質
[00:02:52.000 --> 00:02:55.000]  從北森發現神內心的對立
[00:02:55.000 --> 00:03:00.000]  就是路德所言的在隔他神與神的搏鬥
[00:03:00.000 --> 00:03:03.000]  意思是要治罪人於死地
[00:03:03.000 --> 00:03:05.000]  治罪人於死地的神
[00:03:05.000 --> 00:03:09.000]  和定義要愛人救人的神的一種搏鬥
[00:03:09.000 --> 00:03:12.000]  這個事實本身就是神之痛
[00:03:12.000 --> 00:03:15.000]  它意味著神之怒與神之愛
[00:03:15.000 --> 00:03:17.000]  一個緊張的共存
[00:03:17.000 --> 00:03:21.000]  最終神的愛克服了神的憤怒
[00:03:21.000 --> 00:03:24.000]  十字架上的基督所背負的
[00:03:24.000 --> 00:03:26.000]  就是神真實的憤怒
[00:03:26.000 --> 00:03:29.000]  本是罪人所應該面對的
[00:03:29.000 --> 00:03:32.000]  從這裡面北森發現
[00:03:32.000 --> 00:03:37.000]  神之痛就是十字架的真相和福音的核心
[00:03:37.000 --> 00:03:39.000]  痛中之神他說
[00:03:39.000 --> 00:03:43.000]  就是以自己之痛解決我們人類之痛的神
[00:03:43.000 --> 00:03:46.000]  耶穌基督就是以自己的傷
[00:03:46.000 --> 00:03:49.000]  醫治我們人類之傷的主
[00:03:49.000 --> 00:03:50.000]  所謂神之痛
[00:03:50.000 --> 00:03:53.000]  就是克服了神的憤怒的神的愛
