
[00:00:00.000 --> 00:00:08.960]  歡迎各位弟兄姊妹 各位來賓
[00:00:08.960 --> 00:00:10.240]  今晚來到忠實
[00:00:10.240 --> 00:00:13.320]  歡迎很多網上的弟兄姊妹
[00:00:13.320 --> 00:00:14.840]  很多網上的弟兄姊妹
[00:00:14.840 --> 00:00:18.440]  不單止在香港 可能在世界各地都會參與
[00:00:18.440 --> 00:00:27.900]  今晚我們的聚會名叫活在教育中 教會在變遷中的身份與調適的公開講座
[00:00:27.900 --> 00:00:32.500]  歡迎一些參加第一節的弟兄姊妹
[00:00:32.500 --> 00:00:35.840]  因為我看到在座有些是很厲害的
[00:00:35.840 --> 00:00:37.120]  由早上到現在
[00:00:37.120 --> 00:00:40.700]  其實我們這個已經是今天的系列的第四個
[00:00:40.700 --> 00:00:44.540]  或者最後一場的分享
[00:00:44.540 --> 00:00:50.940]  今天的聚會是忠臣50週年的一個聚會
[00:00:50.940 --> 00:00:54.020]  忠臣50年前見校
[00:00:54.020 --> 00:00:58.380]  我們為了50週年這個遠慶改了一個題目
[00:00:58.380 --> 00:01:00.680]  叫做向未來跨步
[00:01:00.680 --> 00:01:02.220]  A mission and beyond
[00:01:02.220 --> 00:01:04.520]  因為我們領受上帝很多的恩典
[00:01:04.520 --> 00:01:06.300]  在香港服侍了50年
[00:01:06.300 --> 00:01:09.380]  不過我們感覺到
[00:01:09.380 --> 00:01:13.220]  其實我們要繼續向未來進發
[00:01:13.220 --> 00:01:14.500]  繼續去服侍
[00:01:14.500 --> 00:01:16.040]  要向未來服侍
[00:01:16.040 --> 00:01:19.100]  我們就要知道現在的世界是怎樣
[00:01:19.100 --> 00:01:20.900]  所以為何要構思呢
[00:01:20.900 --> 00:01:21.920]  我們發覺
[00:01:21.920 --> 00:01:23.720]  其實近年世界變得很快
[00:01:23.720 --> 00:01:27.000]  所以每一代人的成長環境都很不同
[00:01:27.000 --> 00:01:28.800]  有些衝突都是這樣來的
[00:01:28.800 --> 00:01:30.920]  近年移民潮
[00:01:30.920 --> 00:01:33.660]  人口流動都很厲害
[00:01:33.660 --> 00:01:35.400]  香港有很多人離開
[00:01:35.400 --> 00:01:36.720]  有很多人來到
[00:01:36.720 --> 00:01:40.560]  或者在海外也有很多很多的流動
[00:01:40.560 --> 00:01:41.860]  所以今天的處境裏面
[00:01:41.860 --> 00:01:47.320]  我們遠慶是用了四個題目去探討這個現象
[00:01:47.320 --> 00:01:52.480]  跨世代、跨宗派、跨文化和跨地域的
[00:01:52.480 --> 00:02:00.160]  這四個題目其實由去年的下半年已經開始了
[00:02:00.160 --> 00:02:03.040]  我們在去年的年底
[00:02:03.040 --> 00:02:05.480]  我們研究院有一個科目叫做
[00:02:05.480 --> 00:02:09.040]  本地跨宗派的屬靈領導觀研究
[00:02:09.040 --> 00:02:12.480]  去探討跨宗派的現象
[00:02:12.480 --> 00:02:13.920]  今年年頭一月
[00:02:13.920 --> 00:02:15.760]  我們有一個公開講座
[00:02:15.760 --> 00:02:18.680]  蘇恩配文化與倫理講座
[00:02:18.680 --> 00:02:23.160]  邀請了四位從世界不同地方來的學者
[00:02:23.160 --> 00:02:28.240]  從比較學術的角度去探討跨文化這個議題
[00:02:28.240 --> 00:02:31.320]  三月份我們做了一個跨世代的題目
[00:02:31.320 --> 00:02:32.800]  CGST Mixer
[00:02:32.800 --> 00:02:36.760]  兩代或者多代不同的香港信徒
[00:02:36.760 --> 00:02:39.080]  在某些議題上對話
[00:02:39.080 --> 00:02:41.680]  如果大家有來就能夠享受
