
[00:00:00.000 --> 00:00:01.120]   Hello, welcome.
[00:00:01.120 --> 00:00:04.120]   (audience laughing)
[00:00:04.120 --> 00:00:09.160]   Welcome you all to the Josephine Soh Culture
[00:00:09.160 --> 00:00:10.880]   and Ethics Lecture.
[00:00:10.880 --> 00:00:15.880]   This year is also the 50th anniversary of CJST
[00:00:15.880 --> 00:00:20.960]   and so we have the anniversary,
[00:00:20.960 --> 00:00:25.120]   the theme of the anniversary is a mission and beyond
[00:00:25.120 --> 00:00:30.120]   to work with this theme or to cohere with this theme.
[00:00:30.120 --> 00:00:35.120]   So this year our Josephine Soh Lectures own title
[00:00:35.120 --> 00:00:40.120]   is Navigating the Dynamics of Intercultural Interactions.
[00:00:40.120 --> 00:00:44.560]   A lot of inter, you will hear a lot of inter in the talk.
[00:00:44.560 --> 00:00:49.280]   And to, so that's why this year we invite
[00:00:49.280 --> 00:00:53.720]   four different speakers from four corners of the earth
[00:00:53.720 --> 00:00:57.480]   in order to talk about the intercultural aspects
[00:00:57.480 --> 00:00:59.400]   of our Christian faith.
[00:00:59.400 --> 00:01:01.400]   Today is the third lecture.
[00:01:01.400 --> 00:01:06.840]   Just in case you did not come to our two lectures,
[00:01:06.840 --> 00:01:08.960]   previous lecture, just like to tell you
[00:01:08.960 --> 00:01:12.040]   the Josephine Soh Culture and Ethics Lecture
[00:01:12.040 --> 00:01:15.920]   is supported by the Josephine Soh Fund
[00:01:15.920 --> 00:01:20.640]   and Josephine Soh is really a prophetic voice in Hong Kong
[00:01:20.640 --> 00:01:23.920]   during the 70s and 80s.
[00:01:23.920 --> 00:01:28.200]   She died when she was 45, but she was a legend
[00:01:28.200 --> 00:01:31.000]   when she passed away at 45 already.
[00:01:31.000 --> 00:01:33.360]   I remember as a young Christian,
[00:01:33.360 --> 00:01:38.360]   I read her autobiography called Death Be Not Proud.
[00:01:38.360 --> 00:01:42.640]   She has cancer since she was 26
[00:01:42.640 --> 00:01:47.640]   and she was sick during long periods of her life.
[00:01:47.920 --> 00:01:50.680]   But even in her sickness, she served the Lord,
[00:01:50.680 --> 00:01:52.640]   she found a magazine in Hong Kong,
[00:01:52.640 --> 00:01:54.720]   she found another Christian magazine in Taiwan,
[00:01:54.720 --> 00:01:57.320]   she found another magazine in Singapore.
[00:01:57.320 --> 00:02:01.560]   Every time when she's sick, she's supposed to take a rest,
[00:02:01.560 --> 00:02:03.480]   she will find a magazine.
[00:02:03.480 --> 00:02:08.480]   She's really an amazing lady and she has a great heart
[00:02:08.480 --> 00:02:13.480]   for the culture, how to transform Hong Kong culture
