
[00:00:00.000 --> 00:00:09.000]  各位師長、來賓、校友及同學,平安
[00:00:09.000 --> 00:00:13.000]  我是今天的主席,我叫蛇之鳳
[00:00:13.000 --> 00:00:15.000]  代表中國神學研究院
[00:00:15.000 --> 00:00:25.000]  歡迎大家參加2016年一連兩天的第二天的萬重人教木學講座
[00:00:25.000 --> 00:00:31.000]  這個講座自1994年已經開始了
[00:00:31.000 --> 00:00:34.000]  如果昨天沒有來的朋友
[00:00:34.000 --> 00:00:37.000]  你想了解這個講座
[00:00:37.000 --> 00:00:40.000]  有一份綠色的長刊
[00:00:40.000 --> 00:00:44.000]  裡面有介紹這個講座的來源、歷史
[00:00:44.000 --> 00:00:50.000]  以及過去,其實自1994年開始不同的講題
[00:00:50.000 --> 00:01:03.000]  今年我們很榮幸有蕭壽華牧師在我們當中擔任講員
[00:01:03.000 --> 00:01:09.000]  昨天我聽完之後,有多少人是昨天有來的?
[00:01:09.000 --> 00:01:21.000]  我想大家可能會像我這樣,覺得如果像蕭牧師這樣就好了
[00:01:21.000 --> 00:01:27.000]  也令我重新翻看長刊
[00:01:27.000 --> 00:01:36.000]  細心看蕭牧師過去的簡陋或簡單的介紹
[00:01:36.000 --> 00:01:41.000]  蕭牧師已經擔任牧席30年了
[00:01:41.000 --> 00:01:43.000]  他今天跟我們說的說話
[00:01:43.000 --> 00:01:50.000]  是他過去30多年的經驗、智慧和領袖
[00:01:50.000 --> 00:01:57.000]  最後他說最重要最重要的是神的呼召
[00:01:57.000 --> 00:02:01.000]  最重要最重要是回到神的呼召
[00:02:01.000 --> 00:02:07.000]  昨天有機會跟蕭牧師一直說很短的對談
[00:02:07.000 --> 00:02:12.000]  他說這個呼召就像一個鬧,像一個安卡
[00:02:12.000 --> 00:02:19.000]  值得大家細心再次去思考
[00:02:19.000 --> 00:02:24.000]  昨天說了兩個環節的講座
[00:02:24.000 --> 00:02:33.000]  今早的講座題目是教牧與權威
[00:02:33.000 --> 00:02:36.000]  從自處到相處
[00:02:36.000 --> 00:02:42.000]  今早我們請到兩位回應嘉賓
[00:02:42.000 --> 00:02:50.000]  第一位是潘怡蓉博士,是中國神學院的助理教授
[00:02:50.000 --> 00:02:56.000]  第二位是陳全華牧師,是我們的校友
[00:02:56.000 --> 00:03:03.000]  亦是播道會同福堂,九龍西堂的堂主任
[00:03:03.000 --> 00:03:09.000]  今天的時間安排跟過去兩節一樣
[00:03:09.000 --> 00:03:12.000]  我們首先請蕭牧師主講
[00:03:12.000 --> 00:03:18.000]  然後請潘博士回應
[00:03:18.000 --> 00:03:22.000]  然後是陳牧師回應
[00:03:22.000 --> 00:03:25.000]  現在先請蕭牧師
[00:03:25.000 --> 00:03:38.000]  各位同工各位同學早晨
[00:03:38.000 --> 00:03:42.000]  今天每一天都是神所賜的
[00:03:42.000 --> 00:03:46.000]  能夠有健康有生命可以服侍可以學習
[00:03:46.000 --> 00:03:48.000]  是神所賜的
[00:03:48.000 --> 00:03:52.000]  今天能夠跟大家分享是神的恩典
[00:03:52.000 --> 00:03:54.000]  我們感謝神
[00:03:54.000 --> 00:03:57.000]  剛才有機會在地鐵站走過來的時候
[00:03:57.000 --> 00:04:00.000]  周圍的景色我留意一下
