
[00:00:00.000 --> 00:00:04.000]  今天這個導引我想講故事
[00:00:04.000 --> 00:00:06.000]  我不想講太多道理
[00:00:06.000 --> 00:00:08.000]  但我想和大家分享一下
[00:00:08.000 --> 00:00:15.000]  我所見證和經驗的幾個教會世代更替的故事
[00:00:15.000 --> 00:00:17.000]  第一個故事來自於
[00:00:17.000 --> 00:00:22.000]  我小時候都差不多未出生
[00:00:22.000 --> 00:00:31.000]  在一九六幾年的時候
[00:00:31.000 --> 00:00:33.000]  當時我們教會成立了出來
[00:00:33.000 --> 00:00:35.000]  是我的舞會成立的過程
[00:00:35.000 --> 00:00:38.000]  其實當時是一個很不容易的成立過程
[00:00:38.000 --> 00:00:43.000]  其實是一個面對當時教會的一個很大的艱難
[00:00:43.000 --> 00:00:45.000]  我們要面對的艱難
[00:00:45.000 --> 00:00:52.000]  一個巨人牧者,如何面對這個巨人牧者呢?
[00:00:52.000 --> 00:00:54.000]  最後我們做了一件事
[00:00:54.000 --> 00:00:56.000]  就是成立了我們的教會
[00:00:56.000 --> 00:00:58.000]  出來成立教會
[00:00:58.000 --> 00:01:00.000]  這件事是甚麼事呢?
[00:01:00.000 --> 00:01:03.000]  第二,到我九三年在中神畢業的時候
[00:01:03.000 --> 00:01:05.000]  我就預備回去教會
[00:01:05.000 --> 00:01:08.000]  當時其實在我們教會裡
[00:01:08.000 --> 00:01:11.000]  有位已經十多年的牧師要離開
[00:01:11.000 --> 00:01:13.000]  因為他要移民
[00:01:13.000 --> 00:01:16.000]  我剛剛畢業,他就說你快點回來吧
[00:01:16.000 --> 00:01:19.000]  我面對這個世代的更替,我又怎麼辦呢?
[00:01:19.000 --> 00:01:21.000]  當時也不知道如何做出一個抉擇
[00:01:21.000 --> 00:01:24.000]  回不回去呢?只有一個人,怎麼辦呢?
[00:01:24.000 --> 00:01:30.000]  第三,我蒙上主呼召要來教書
[00:01:30.000 --> 00:01:32.000]  由教會讀書
[00:01:32.000 --> 00:01:34.000]  於是我就交棒
[00:01:34.000 --> 00:01:36.000]  做了二十年之後
[00:01:36.000 --> 00:01:40.000]  我又要將一個教會的木藥棒交給新一代
[00:01:40.000 --> 00:01:43.000]  在交棒裡,也有很多不同的掙扎
[00:01:43.000 --> 00:01:46.000]  所以我想跟大家說一下我的生活中的短短的故事
[00:01:46.000 --> 00:01:48.000]  希望大家可以想一下
[00:01:48.000 --> 00:01:51.000]  教會其實在這個世代裡不斷地更替
[00:01:51.000 --> 00:01:53.000]  無論你喜歡不喜歡
[00:01:53.000 --> 00:01:55.000]  其實很多事情都在動
[00:01:55.000 --> 00:01:59.000]  不過我在神學院也很想用教會的一個經分
[00:01:59.000 --> 00:02:02.000]  就是給錢書一二章來做一個更替
[00:02:02.000 --> 00:02:04.000]  用我的教會的經分
[00:02:04.000 --> 00:02:07.000]  就是給錢書一二章來講一下
[00:02:07.000 --> 00:02:09.000]  我這三個故事
[00:02:09.000 --> 00:02:11.000]  所以希望可以用很短的時間
[00:02:11.000 --> 00:02:13.000]  講出我裡面究竟
[00:02:13.000 --> 00:02:15.000]  給錢書一二章一節五節
[00:02:15.000 --> 00:02:17.000]  我教會的經分
[00:02:17.000 --> 00:02:20.000]  究竟如何帶出這三個教會的世代更替呢?
[00:02:20.000 --> 00:02:24.000]  第一段就是給錢書一二章一節三節
[00:02:24.000 --> 00:02:26.000]  這件事情我就不會詳細講
[00:02:26.000 --> 00:02:29.000]  但我有一個字highlight了,兩個什麼字?
[00:02:29.000 --> 00:02:32.000]  靈瀨,靈瀨兩個字
[00:02:32.000 --> 00:02:34.000]  你看到這兩個字很重要
[00:02:34.000 --> 00:02:37.000]  其實對我來說,教會是誰帶領的呢?
[00:02:37.000 --> 00:02:38.000]  是聖靈帶領的
[00:02:38.000 --> 00:02:40.000]  我們應該不斷地追求
[00:02:40.000 --> 00:02:43.000]  聖靈在我們當中如何引導教會
[00:02:43.000 --> 00:02:46.000]  所以我們希望看到的教會
[00:02:46.000 --> 00:02:49.000]  能夠有聖靈的充滿,聖靈的引導
[00:02:49.000 --> 00:02:51.000]  是這樣的來帶動教會
[00:02:51.000 --> 00:02:53.000]  不過教會是不是這樣的呢?
[00:02:53.000 --> 00:02:55.000]  在我自己的舞會裡
[00:02:55.000 --> 00:02:59.000]  當年有一位牧者非常有魅力
[00:02:59.000 --> 00:03:00.000]  很強勢
[00:03:00.000 --> 00:03:02.000]  基本上他做了一段時間
[00:03:02.000 --> 00:03:06.000]  整間教會就聽他一個人說話
[00:03:06.000 --> 00:03:09.000]  所以他說什麼,基本上我都做什麼
[00:03:09.000 --> 00:03:11.000]  這個本來是好的
[00:03:11.000 --> 00:03:13.000]  因為他很有號召力
[00:03:13.000 --> 00:03:15.000]  很有帶領力
[00:03:15.000 --> 00:03:17.000]  但慢慢地走著走著
[00:03:17.000 --> 00:03:18.000]  好像不是聖靈帶領
[00:03:18.000 --> 00:03:20.000]  好像是你說怎樣就怎樣
[00:03:20.000 --> 00:03:25.000]  於是當時有一群年輕的信徒領袖
[00:03:25.000 --> 00:03:27.000]  就很大掙扎
[00:03:27.000 --> 00:03:28.000]  教會不是這樣的
[00:03:28.000 --> 00:03:29.000]  於是就提出意見
[00:03:29.000 --> 00:03:31.000]  很想給大家自己的意見
[00:03:31.000 --> 00:03:33.000]  不過你知道,說了很多話
[00:03:33.000 --> 00:03:34.000]  未必有人聽
