
[00:00:00.000 --> 00:00:05.000]  今日開學崇拜為我們主講訊息
[00:00:05.000 --> 00:00:08.000]  是李色清博士
[00:00:08.000 --> 00:00:14.000]  主因擇深教職神學科副教授
[00:00:14.000 --> 00:00:16.000]  其教務長
[00:00:16.000 --> 00:00:20.000]  Gin老師十七年前
[00:00:20.000 --> 00:00:24.000]  都是同大家同學一樣
[00:00:24.000 --> 00:00:29.000]  第一次參加忠臣的開學崇拜
[00:00:29.000 --> 00:00:32.000]  MDiv畢業
[00:00:32.000 --> 00:00:36.000]  Gin老師回到自己的舞會侍奉
[00:00:36.000 --> 00:00:41.000]  亦都成為忠臣的儲備師資
[00:00:41.000 --> 00:00:47.000]  到外丁堡大學完成他的博士課程
[00:00:47.000 --> 00:00:52.000]  回來用了十年的時間
[00:00:52.000 --> 00:01:02.000]  開墾我們晚上職場神學的訓練課程
[00:01:02.000 --> 00:01:07.000]  2013年Gin老師成為副教務長
[00:01:07.000 --> 00:01:11.000]  2016年她擔任教務長
[00:01:11.000 --> 00:01:20.000]  2018年余牧師正式從她的教席卸任
[00:01:20.000 --> 00:01:30.000]  教員人事委員會委任Gin老師成為主因擇深教職的副教授
[00:01:30.000 --> 00:01:36.000]  今日她分享的題目直接了當
[00:01:36.000 --> 00:01:39.000]  你準備好了嗎
[00:01:39.000 --> 00:01:42.000]  我們恭請Gin老師
[00:01:42.000 --> 00:01:50.000]  Gin老師的開學崇拜文件
[00:01:50.000 --> 00:01:52.000]  弟兄姊妹平安
[00:01:52.000 --> 00:01:56.000]  今年是一個很特別的開學崇拜
[00:01:56.000 --> 00:02:00.000]  短短一年多香港以至整個世界
[00:02:00.000 --> 00:02:06.000]  都因為社會事件、疫情、國際關係的變化下
[00:02:06.000 --> 00:02:09.000]  情況完全逆轉
[00:02:09.000 --> 00:02:12.000]  急劇的改變不單是外在
[00:02:12.000 --> 00:02:16.000]  我們每日新聞可以看到
[00:02:16.000 --> 00:02:18.000]  更加是很靠近
[00:02:18.000 --> 00:02:20.000]  進入了每一個家庭
[00:02:20.000 --> 00:02:22.000]  影響我們的日常生活
[00:02:22.000 --> 00:02:24.000]  起居飲食
[00:02:24.000 --> 00:02:27.000]  就在這個特別的時間空間裏
[00:02:27.000 --> 00:02:30.000]  上帝讓我們在忠臣相遇
[00:02:30.000 --> 00:02:32.000]  一起接受裝備
[00:02:32.000 --> 00:02:35.000]  可能你向上帝委身
[00:02:35.000 --> 00:02:38.000]  說那句我願意的時候
[00:02:38.000 --> 00:02:40.000]  從來都沒有想像過
[00:02:40.000 --> 00:02:43.000]  會有這樣的巨大改變
[00:02:43.000 --> 00:02:48.000]  你準備好迎向這個未來嗎
[00:02:48.000 --> 00:02:50.000]  我今天選的經文
[00:02:50.000 --> 00:02:54.000]  在西班牙書第三章
[00:02:54.000 --> 00:02:56.000]  我想和大家溫習一下
[00:02:56.000 --> 00:03:00.000]  在一個動盪不安的世界裏
[00:03:00.000 --> 00:03:03.000]  先知給我們甚麼訊息
[00:03:03.000 --> 00:03:05.000]  西班牙書的訊息
[00:03:05.000 --> 00:03:09.000]  和其他小鮮書都有很多相似
[00:03:09.000 --> 00:03:12.000]  但它有一個取向很不同
[00:03:12.000 --> 00:03:16.000]  書裏似乎沒有其他先知書
[00:03:16.000 --> 00:03:20.000]  那麼直接叫人去悔改
[00:03:20.000 --> 00:03:22.000]  有人說
[00:03:22.000 --> 00:03:25.000]  似乎悔改已經太遲了
[00:03:25.000 --> 00:03:28.000]  西班牙的宣告更多的是
