
[00:00:00.000 --> 00:00:12.000]  我們收到的提問都頗踴躍和尖銳性
[00:00:12.000 --> 00:00:20.000]  其中首先想對於李博士和江博士的講論裏
[00:00:20.000 --> 00:00:24.000]  有些提問
[00:00:24.000 --> 00:00:30.000]  現在的科學研究或不同的說法
[00:00:30.000 --> 00:00:35.000]  同性戀的傾向其實是天生的
[00:00:35.000 --> 00:00:40.000]  所以如果他們沒有選擇又怎可以是一種罪呢
[00:00:40.000 --> 00:00:46.000]  這方面可否請兩位回應一下呢
[00:00:46.000 --> 00:00:52.000]  (笑聲)
[00:00:52.000 --> 00:01:02.000]  喂喂,聽到嗎?
[00:01:02.000 --> 00:01:04.000]  這是一個比較難回答的問題
[00:01:04.000 --> 00:01:11.000]  性傾向是否天生的,是否罪
[00:01:11.000 --> 00:01:21.000]  我相信教會或宗神不會在網頁列出一個list of sins
[00:01:21.000 --> 00:01:25.000]  大家可以看到哪些是罪,哪些不是罪
[00:01:25.000 --> 00:01:31.000]  這不是我們應該有的態度
[00:01:31.000 --> 00:01:34.000]  在聖經的教導當中
[00:01:34.000 --> 00:01:41.000]  我自己的了解是很強調我們活在上帝的恩典當中
[00:01:41.000 --> 00:01:44.000]  而在這個恩典當中我們了解到
[00:01:44.000 --> 00:01:49.000]  我們整個的存在是在罪中的
[00:01:49.000 --> 00:01:52.000]  一種人性在罪中的存在
[00:01:52.000 --> 00:01:54.000]  我們需要上帝的恩典
[00:01:54.000 --> 00:01:58.000]  我覺得現在很多時候我們會有一種錯覺
[00:01:58.000 --> 00:02:06.000]  我們以為我們做出來的外在行為就是罪
[00:02:06.000 --> 00:02:13.000]  而我們內在的存在是天生的
[00:02:13.000 --> 00:02:28.000]  但沒有關係,這種內外的分別我相信不是聖經所說的
[00:02:28.000 --> 00:02:32.000]  我記得有一個人問我
[00:02:32.000 --> 00:02:38.000]  是同性戀者,但我沒有性行為,那我拍拖是不是罪呢?
[00:02:38.000 --> 00:02:43.000]  如果我們這樣想的話,就會很複雜了
[00:02:43.000 --> 00:02:48.000]  保羅說在罪人當中我是大罪魁
[00:02:48.000 --> 00:02:54.000]  那為什麼保羅這樣的人都會說自己是大罪魁呢?
[00:02:54.000 --> 00:02:57.000]  因為他活在恩典當中
[00:02:57.000 --> 00:03:00.000]  在恩典當中我們會回轉了解到
[00:03:00.000 --> 00:03:03.000]  原來他整個的存在
[00:03:03.000 --> 00:03:11.000]  都是一個墮落亞當之後離開上帝恩典的存在
[00:03:11.000 --> 00:03:15.000]  剛才我再問傾向的問題
[00:03:15.000 --> 00:03:17.000]  容許我這樣插開一點
[00:03:17.000 --> 00:03:22.000]  你問我媽媽,我小的時候就有說謊的傾向
[00:03:22.000 --> 00:03:26.000]  我不知道是不是事實,我從來沒有說謊
[00:03:26.000 --> 00:03:28.000]  但我相信很多人都知道
[00:03:28.000 --> 00:03:33.000]  從小到大都會有這樣的傾向
[00:03:33.000 --> 00:03:38.000]  這是天生的,就算在醫學當中
[00:03:38.000 --> 00:03:42.000]  都不知道同性戀的基因是怎樣的
[00:03:42.000 --> 00:03:45.000]  但我要說的是
[00:03:45.000 --> 00:03:50.000]  我們有很多其他的傾向
[00:03:50.000 --> 00:03:55.000]  男性有多性伴侶的傾向
[00:03:55.000 --> 00:03:58.000]  這些傾向很多時候我們感覺當中
[00:03:58.000 --> 00:04:01.000]  我們了解當中都似乎是天生的
[00:04:01.000 --> 00:04:04.000]  我生出來很快就會說謊
[00:04:04.000 --> 00:04:11.000]  我是男性,我發育之後就會對很多女性有興趣
[00:04:11.000 --> 00:04:14.000]  但就算是天生的
[00:04:14.000 --> 00:04:19.000]  聖經都讓我們知道我們很多的慾望
[00:04:19.000 --> 00:04:24.000]  我們生活的狀態是墮落之後的亞當的狀態
[00:04:24.000 --> 00:04:26.000]  是需要上帝的恩典
[00:04:26.000 --> 00:04:31.000]  聖經怎麼說呢?
[00:04:31.000 --> 00:04:37.000]  其實剛才江博士半小時的討論
[00:04:37.000 --> 00:04:42.000]  正正就是澄清創造論
[00:04:42.000 --> 00:04:49.000]  不可以從遺傳基因出發去討論
[00:04:49.000 --> 00:04:57.000]  因為聖經是有說原罪墮落罪性的事實
[00:04:57.000 --> 00:05:00.000]  無論你用什麼名稱去說它都好
[00:05:00.000 --> 00:05:04.000]  所以舊約聖經裡面罪這個字
[00:05:04.000 --> 00:05:08.000]  不只是一個外在的標準
[00:05:08.000 --> 00:05:15.000]  而是人心裡面的扭曲軌跡
[00:05:15.000 --> 00:05:17.000]  所以什麼是創造
[00:05:17.000 --> 00:05:20.000]  今天大部份的人討論的時候
[00:05:20.000 --> 00:05:24.000]  都認為是醫學生物學
[00:05:24.000 --> 00:05:29.000]  而不是從神學去說創造
[00:05:29.000 --> 00:05:33.000]  所以這個我想江博士剛才說得很清楚
[00:05:33.000 --> 00:05:37.000]  我希望再強調
[00:05:37.000 --> 00:05:41.000]  我也很同意剛才提過
[00:05:41.000 --> 00:05:50.000]  其實傾向不是限於同性的吸引
[00:05:50.000 --> 00:05:55.000]  The King and I 尤伯年立最出名的一句話
[00:05:55.000 --> 00:05:57.000]  男人就好像蜜蜂
[00:05:57.000 --> 00:05:59.000]  不是Beast do it
[00:05:59.000 --> 00:06:03.000]  而是要在花間採蜜
[00:06:03.000 --> 00:06:08.000]  我們中國人就叫做如獵
[00:06:08.000 --> 00:06:13.000]  這個傾向聖經提醒我們
[00:06:13.000 --> 00:06:18.000]  不是停在行為而已
[00:06:18.000 --> 00:06:21.000]  耶穌討論奸淫
[00:06:21.000 --> 00:06:26.000]  從動淫念開始
[00:06:26.000 --> 00:06:34.000]  其實是幫助我們如何去勝過試探
[00:06:34.000 --> 00:06:37.000]  所以我收到另外一些問題問得很直白
[00:06:37.000 --> 00:06:39.000]  我沒有同性性行為
[00:06:39.000 --> 00:06:42.000]  我有同性戀的戀愛
[00:06:42.000 --> 00:06:46.000]  這樣合不合聖經呢
[00:06:46.000 --> 00:06:49.000]  即是某個美國總統說
[00:06:49.000 --> 00:06:52.000]  我沒有跟別人上床
[00:06:52.000 --> 00:06:54.000]  我只有某一種接觸
[00:06:54.000 --> 00:06:56.000]  這樣算不算呢
[00:06:56.000 --> 00:07:05.000]  我們不是用最低的底線去讀聖經
[00:07:05.000 --> 00:07:11.000]  這樣是一個非常危險的心態
[00:07:11.000 --> 00:07:14.000]  聖經從來不是容許我們關上門
[00:07:14.000 --> 00:07:16.000]  胡思亂想
[00:07:16.000 --> 00:07:18.000]  只要我沒有做
[00:07:18.000 --> 00:07:20.000]  我就是聖傑
[00:07:20.000 --> 00:07:29.000]  所以我想補充剛才培成所說得很清楚
[00:07:29.000 --> 00:07:31.000]  補充多一句
[00:07:31.000 --> 00:07:34.000]  我發現很多人在談同性戀的時候
[00:07:34.000 --> 00:07:39.000]  發現絕大部分的論述都是來自外面
[00:07:39.000 --> 00:07:41.000]  人家說性傾向
[00:07:41.000 --> 00:07:43.000]  但說到聖經只有一句
[00:07:43.000 --> 00:07:44.000]  聖經說是罪
[00:07:44.000 --> 00:07:46.000]  這樣就完了
[00:07:46.000 --> 00:07:50.000]  我希望教會在教導當中
[00:07:50.000 --> 00:07:53.000]  今天我們跟大家分享
[00:07:53.000 --> 00:07:56.000]  我們對聖經的思考要深入
[00:07:56.000 --> 00:07:58.000]  我們真正明白
[00:07:58.000 --> 00:08:02.000]  要了解到聖經是怎樣去說
[00:08:02.000 --> 00:08:04.000]  知其言 知其所願
[00:08:04.000 --> 00:08:08.000]  所以教會在這方面的教導是重要的
