
[00:00:00.000 --> 00:00:04.200]  我今天想跟大家分享兩個信息
[00:00:04.200 --> 00:00:07.640]  希望在十分鐘之內能夠講得很清楚
[00:00:07.640 --> 00:00:15.720]  第一個信息是 我相信今天大家來聽雨晴的演唱會的時候
[00:00:15.720 --> 00:00:20.320]  可能會有很多不同的想法 或者是想要分享的東西
[00:00:20.320 --> 00:00:25.800]  但是我今天想跟大家分享的東西是 雨晴的演唱會的第一個信息
[00:00:25.800 --> 00:00:33.000]  第二個信息是 我相信今天大家來聽雨老師講三一論
[00:00:33.000 --> 00:00:37.200]  我相信大家不僅僅是帶著對三一論的興趣來的
[00:00:37.200 --> 00:00:44.200]  肯定還帶著很多對於社會生活當中出現的各種問題的困惑來的
[00:00:44.200 --> 00:00:52.200]  而且想在這種雨老師對三一的闡發當中找到特定的解答
[00:00:52.200 --> 00:00:57.000]  我相信各位在過去的三到四年里肯定都已經注意到了
[00:00:57.000 --> 00:01:00.800]  我們的兩岸三地的社會的變化
[00:01:00.800 --> 00:01:04.000]  我相信這個變化也會對每一個人
[00:01:04.000 --> 00:01:07.600]  無論是他在行動當中還是在思考當中
[00:01:07.600 --> 00:01:10.600]  都帶來很多的挑戰和困惑
[00:01:10.600 --> 00:01:14.800]  而且這些挑戰和困惑給大家提出的問題就是
[00:01:14.800 --> 00:01:18.400]  我們在現在當下的處境當中該怎麼去做
[00:01:18.400 --> 00:01:23.200]  對於有信仰的人 對於想去反思信仰的神學家來說
[00:01:23.200 --> 00:01:26.200]  這個問題就變化為
[00:01:26.200 --> 00:01:31.600]  一個有信仰的人 或者說如果我們是一個信仰福音的人
[00:01:31.600 --> 00:01:33.200]  我們怎麼去行動
[00:01:33.200 --> 00:01:36.200]  這樣一個實踐的問題
[00:01:36.200 --> 00:01:40.600]  可以說現在佔據了大家思維的一個很重要的中心
[00:01:40.600 --> 00:01:46.600]  如果我們抱著這麼強的對實踐的興趣來思考神學問題
[00:01:46.600 --> 00:01:48.600]  我們必須要去問
[00:01:48.600 --> 00:01:52.600]  那麼在這個情況下還為什麼要去思考教義學
[00:01:52.600 --> 00:01:53.600]  思考三一論
[00:01:53.600 --> 00:01:57.600]  這樣看起來非常有理論性的 高高在上的問題
[00:01:57.600 --> 00:02:01.600]  似乎跟我們的實踐沒有任何的關係
[00:02:01.600 --> 00:02:04.600]  我想在這裡跟大家澄清一個
[00:02:04.600 --> 00:02:06.600]  我覺得可能是一個誤解
[00:02:06.600 --> 00:02:11.600]  就是像三一論這一類教義學的問題
[00:02:11.600 --> 00:02:13.600]  和我們的社會問題
[00:02:13.600 --> 00:02:17.600]  實踐的關係不是理論和實踐的關係
[00:02:17.600 --> 00:02:21.600]  而是實踐的想象力和實踐的關係
[00:02:21.600 --> 00:02:23.600]  或者說實踐的視野
[00:02:23.600 --> 00:02:24.600]  Horizon
[00:02:24.600 --> 00:02:27.600]  實踐的視野和實踐的關係
[00:02:27.600 --> 00:02:28.600]  為什麼這麼說呢
[00:02:28.600 --> 00:02:31.600]  因為對於一個基督徒的生活來說
[00:02:31.600 --> 00:02:33.600]  一定包含兩個部分
[00:02:33.600 --> 00:02:35.600]  我們經常會強調說
[00:02:35.600 --> 00:02:42.600]  一個基督徒是要去有膽量去實踐自己所聽到的道的人
[00:02:42.600 --> 00:02:43.600]  在這個意義上
[00:02:43.600 --> 00:02:46.600]  他的生命是一個行動的生命
[00:02:46.600 --> 00:02:47.600]  Vita activa
[00:02:47.600 --> 00:02:48.600]  但是呢
[00:02:48.600 --> 00:02:52.600]  在另一個方面我們經常可能會忘記
[00:02:52.600 --> 00:02:54.600]  或者說忽視的一面
[00:02:54.600 --> 00:02:55.600]  就是一個基督徒的生命
[00:02:55.600 --> 00:03:00.600]  它同樣是一個敬拜 默想和沈思的生命
[00:03:00.600 --> 00:03:03.600]  那麼這叫Vita contemplativa
[00:03:03.600 --> 00:03:07.600]  那麼在這個側面當中
[00:03:07.600 --> 00:03:09.600]  我們回過頭來去看三一
[00:03:09.600 --> 00:03:13.600]  或者去看教育學當中其他跟三一有關的
[00:03:13.600 --> 00:03:16.600]  最最基本的理論的時候
[00:03:16.600 --> 00:03:20.600]  我們其實是在打開自己行動的可能性
[00:03:20.600 --> 00:03:25.600]  尤其是剛才於老師提到的三位一體當中
[00:03:25.600 --> 00:03:28.600]  Perisheresis非常重要的一個觀念
[00:03:28.600 --> 00:03:31.600]  三一之間相互的給出空間
[00:03:31.600 --> 00:03:34.600]  以及在相互給出空間的過程當中
[00:03:34.600 --> 00:03:36.600]  形成他們的Solidarity
[00:03:36.600 --> 00:03:37.600]  那麼這樣一種結構
[00:03:37.600 --> 00:03:40.600]  我想對於我們每一個人去沈思
[00:03:40.600 --> 00:03:43.600]  他在每天所遭遇到的這樣一種
[00:03:43.600 --> 00:03:46.600]  社會現實當中的行動的時候
[00:03:46.600 --> 00:03:49.600]  我想會有很大的啓發的意義
[00:03:49.600 --> 00:03:53.600]  行動的想象力和行動的關係
[00:03:53.600 --> 00:03:55.600]  和行動之間的關係
[00:03:55.600 --> 00:03:57.600]  而不是理論和實踐的關係
[00:03:57.600 --> 00:04:02.600]  這是我今天想跟大家說的第一個側面
[00:04:02.600 --> 00:04:04.600]  那第二個側面就是
[00:04:04.600 --> 00:04:07.600]  於老師在最後的十分鐘里提到的
[00:04:07.600 --> 00:04:09.600]  受苦的問題
[00:04:09.600 --> 00:04:12.600]  我也看到其實在《忠神》的主頁上面
[00:04:12.600 --> 00:04:14.600]  於老師的講座出來之後
[00:04:14.600 --> 00:04:18.600]  其實下面有很多的非常挑戰性的評議
[00:04:18.600 --> 00:04:21.600]  其中一個最大的特點就是說
[00:04:21.600 --> 00:04:24.600]  可能我們不能抽象地去談論苦難
[00:04:24.600 --> 00:04:26.600]  我們需要去具體地談論
[00:04:26.600 --> 00:04:29.600]  比如說我們在香港所經受的苦難
[00:04:29.600 --> 00:04:33.600]  那麼這裡如果我們談到香港所經受的苦難
