
[00:00:00.000 --> 00:00:02.000]  (中文字幕:三馬兄)
[00:00:03.000 --> 00:00:05.000]  各位好
[00:00:05.000 --> 00:00:10.000]  歡迎大家來到我們北美
[00:00:10.000 --> 00:00:12.000]  忠臣的北美培靈講座
[00:00:12.000 --> 00:00:15.000]  合神心意的侍奉
[00:00:15.000 --> 00:00:19.000]  我們首先歡迎多倫多各位嘉賓
[00:00:19.000 --> 00:00:21.000]  和主內的弟兄姊妹
[00:00:21.000 --> 00:00:25.000]  但我亦歡迎在北美有19個城市
[00:00:25.000 --> 00:00:30.000]  27個聚會點的嘉賓和弟兄姊妹
[00:00:30.000 --> 00:00:35.000]  我們今晚的聚會會直播和轉播
[00:00:35.000 --> 00:00:37.000]  去這27個聚會點
[00:00:37.000 --> 00:00:41.000]  我也在此歡迎我們今晚的講員
[00:00:41.000 --> 00:00:44.000]  我們中國神學研究院的院長
[00:00:44.000 --> 00:00:47.000]  李思敬牧師博士和李師母
[00:00:47.000 --> 00:00:49.000]  他們遠道在香港來到
[00:00:49.000 --> 00:00:52.000]  李牧師是我們今晚的講員
[00:00:52.000 --> 00:00:54.000]  合神心意的侍奉
[00:00:54.000 --> 00:00:56.000]  在開始之前
[00:00:56.000 --> 00:00:58.000]  我請我們城北華人基督教會的
[00:00:58.000 --> 00:01:01.000]  副主任牧師林志輝牧師
[00:01:01.000 --> 00:01:05.000]  將我們今晚的聚會交託給天父上帝
[00:01:05.000 --> 00:01:10.000]  請我們一起起來
[00:01:10.000 --> 00:01:12.000]  我們一起來禱告
[00:01:12.000 --> 00:01:14.000]  我們一起低頭禱告
[00:01:14.000 --> 00:01:19.000]  親愛的天父我們感恩
[00:01:19.000 --> 00:01:20.000]  多謝你
[00:01:20.000 --> 00:01:21.000]  你帶領我們
[00:01:21.000 --> 00:01:23.000]  你亦與我們同在
[00:01:23.000 --> 00:01:26.000]  你將你的話語時常的料釋放給我們
[00:01:26.000 --> 00:01:27.000]  我們感恩
[00:01:27.000 --> 00:01:29.000]  每一次我們讀你的話語時
[00:01:29.000 --> 00:01:31.000]  我們心裡得著興奮
[00:01:31.000 --> 00:01:32.000]  得著歡喜
[00:01:32.000 --> 00:01:35.000]  因為你的話語充滿能力
[00:01:35.000 --> 00:01:37.000]  主下求你亦教導我們
[00:01:37.000 --> 00:01:39.000]  將你的話藏在心裡
[00:01:39.000 --> 00:01:41.000]  免得我們得罪你
[00:01:41.000 --> 00:01:43.000]  主下今天晚上我們感謝你
[00:01:43.000 --> 00:01:45.000]  因為讓我們在這裡有
[00:01:45.000 --> 00:01:48.000]  李思敬院長給我們的一個陪靈會
[00:01:48.000 --> 00:01:50.000]  主下求主你教導我們
[00:01:50.000 --> 00:01:52.000]  在今天晚上裡聽到你的說話
[00:01:52.000 --> 00:01:55.000]  你的靈也在我們當中運行
[00:01:55.000 --> 00:01:56.000]  打開我們的心
[00:01:56.000 --> 00:01:59.000]  以致我們能夠好好的聆聽
[00:01:59.000 --> 00:02:02.000]  怎樣來土神的喜悅
[00:02:02.000 --> 00:02:04.000]  怎樣來敬拜主你
[00:02:04.000 --> 00:02:07.000]  怎樣來為主你服侍
[00:02:07.000 --> 00:02:09.000]  主一舊帶領我們每一個人
[00:02:09.000 --> 00:02:11.000]  亦都給我們在這個地方裡
[00:02:11.000 --> 00:02:12.000]  接受主你的祝福
[00:02:12.000 --> 00:02:16.000]  天父我們也求主你給李院長
[00:02:16.000 --> 00:02:17.000]  他有好的身體
[00:02:17.000 --> 00:02:18.000]  好的聲線
[00:02:18.000 --> 00:02:21.000]  我們知道他從香港過來
[00:02:21.000 --> 00:02:23.000]  可能需要有少許的適應
[00:02:23.000 --> 00:02:24.000]  求主你堅強他
[00:02:24.000 --> 00:02:25.000]  給他力量
[00:02:25.000 --> 00:02:27.000]  我們求主你今天晚上
[00:02:27.000 --> 00:02:28.000]  在這個地方裡
