
[00:00:00.000 --> 00:00:03.000]  歡迎大家回來我們的第二部分
[00:00:03.000 --> 00:00:09.000]  第一部分我已經聽了萬詩母的分享
[00:00:09.000 --> 00:00:13.000]  接下來我們有兩位會議會議員
[00:00:13.000 --> 00:00:15.000]  跟我們做一些回應
[00:00:15.000 --> 00:00:17.000]  兩位都是我們的校友
[00:00:17.000 --> 00:00:19.000]  一位是林貞權導師Adam
[00:00:19.000 --> 00:00:21.000]  第二位是余嘉敏女士
[00:00:21.000 --> 00:00:24.000]  兩位都非常有信心
[00:00:24.000 --> 00:00:30.000]  第一位林貞權導師Adam
[00:00:30.000 --> 00:00:32.000]  第二位余嘉敏女士
[00:00:32.000 --> 00:00:34.000]  第一位林貞權導師
[00:00:34.000 --> 00:00:38.000]  是九龍靈能堂的傳導人
[00:00:38.000 --> 00:00:40.000]  專門做青少年的模樣
[00:00:40.000 --> 00:00:44.000]  余嘉敏女士曾經在窩福做傳導人
[00:00:44.000 --> 00:00:49.000]  現在在突破輔導中心做心理輔導員
[00:00:49.000 --> 00:00:53.000]  兩位都是有很多前線實戰的經驗
[00:00:53.000 --> 00:00:59.000]  相信對萬詩母給予我們很多不同的理念時
[00:00:59.000 --> 00:01:02.000]  可以有很多具體的反思
[00:01:02.000 --> 00:01:05.000]  這個時候我們先請兩位上來
[00:01:05.000 --> 00:01:07.000]  跟我們分享了
[00:01:07.000 --> 00:01:09.000]  然後我們有答問的時段
[00:01:10.000 --> 00:01:15.000]  (掌聲)
[00:01:15.000 --> 00:01:24.000]  多謝朱牧師的介紹
[00:01:24.000 --> 00:01:25.000]  剛才也說了
[00:01:25.000 --> 00:01:27.000]  我在畢業後
[00:01:27.000 --> 00:01:29.000]  在中神輔導畢業後
[00:01:29.000 --> 00:01:31.000]  我去了四年的時間
[00:01:31.000 --> 00:01:39.000]  跟之後在突破輔導的身份
[00:01:39.000 --> 00:01:40.000]  界線很不同
[00:01:40.000 --> 00:01:42.000]  所以Adam你呢?
[00:01:42.000 --> 00:01:45.000]  我2015年畢業
[00:01:45.000 --> 00:01:46.000]  MD畢業
[00:01:46.000 --> 00:01:48.000]  一直都是青少年
[00:01:48.000 --> 00:01:54.000]  再清楚一點
[00:01:54.000 --> 00:01:57.000]  一直都在大專士工服務
[00:01:57.000 --> 00:02:04.000]  很明顯我們被邀請回應
[00:02:04.000 --> 00:02:06.000]  其實我倆都在想
[00:02:06.000 --> 00:02:09.000]  萬聳人的講座
[00:02:09.000 --> 00:02:13.000]  一向都找回應嘉賓是很一份量
[00:02:13.000 --> 00:02:14.000]  我們倆就在想
[00:02:14.000 --> 00:02:15.000]  為什麼要請我們呢?
[00:02:15.000 --> 00:02:19.000]  很肯定一件事
[00:02:19.000 --> 00:02:22.000]  不是因為我們有什麼動見
[00:02:22.000 --> 00:02:24.000]  想起來也是因為
[00:02:24.000 --> 00:02:26.000]  我們在學習模樣當中
[00:02:26.000 --> 00:02:30.000]  由初學的人去看界線的重要
[00:02:30.000 --> 00:02:33.000]  剛剛萬師母也有很多東西分享
[00:02:33.000 --> 00:02:36.000]  很多有關界線的分享
[00:02:36.000 --> 00:02:38.000]  我想我們回應都是選一些
[00:02:38.000 --> 00:02:42.000]  我們很有興趣的回應
[00:02:42.000 --> 00:02:44.000]  一開始萬師母就說
[00:02:44.000 --> 00:02:50.000]  界線先要分清楚你我的責任
[00:02:50.000 --> 00:02:52.000]  或者教目來說
[00:02:52.000 --> 00:02:57.000]  教目以庇牧羊的責任
[00:02:57.000 --> 00:03:01.000]  我就比較上想回應
[00:03:01.000 --> 00:03:04.000]  其實一個信徒
[00:03:04.000 --> 00:03:10.000]  他們生命成長的責任是界線
[00:03:10.000 --> 00:03:11.000]  教目的召命
[00:03:11.000 --> 00:03:13.000]  我想應該要更多的人
[00:03:13.000 --> 00:03:16.000]  將更多人帶到神的面前
[00:03:16.000 --> 00:03:17.000]  找到他們的召命
[00:03:17.000 --> 00:03:21.000]  完成神給他們的使命
[00:03:21.000 --> 00:03:23.000]  教目同樣是領袖
[00:03:23.000 --> 00:03:25.000]  剛剛萬師母說
[00:03:25.000 --> 00:03:27.000]  教目身分上很容易
[00:03:27.000 --> 00:03:31.000]  藉著關心建立關係
[00:03:31.000 --> 00:03:34.000]  通過保密得到信任
[00:03:34.000 --> 00:03:39.000]  幫助新屬而得到正面的讚賞
[00:03:39.000 --> 00:03:40.000]  還有一件事
[00:03:40.000 --> 00:03:41.000]  雖然他孤單
[00:03:41.000 --> 00:03:43.000]  但他又來者不拒
[00:03:43.000 --> 00:03:45.000]  於是有教無奈
[00:03:45.000 --> 00:03:50.000]  令到對方會有成長的依賴
[00:03:50.000 --> 00:03:52.000]  所以不知不覺
[00:03:52.000 --> 00:03:56.000]  很容易成為操縱別人
[00:03:56.000 --> 00:03:57.000]  當然他不會承認
[00:03:57.000 --> 00:03:58.000]  但相反的一面
[00:03:58.000 --> 00:04:00.000]  證明了一件事
[00:04:00.000 --> 00:04:03.000]  我們會衡量領袖的魅力
[00:04:03.000 --> 00:04:07.000]  號召力、凝聚力等等
[00:04:07.000 --> 00:04:09.000]  甚至這些加起來
[00:04:09.000 --> 00:04:14.000]  看他的使宮成功與否
[00:04:14.000 --> 00:04:16.000]  用這個衡量教目
[00:04:16.000 --> 00:04:19.000]  我覺得是很危險的
[00:04:19.000 --> 00:04:21.000]  如果不好好處理
[00:04:21.000 --> 00:04:25.000]  很容易因權力差異
[00:04:25.000 --> 00:04:28.000]  precept
[00:04:28.000 --> 00:04:34.000]  扭曲信徒的信仰生命成長
[00:04:34.000 --> 00:04:40.000]  而我覺得教目應該有的角色
[00:04:40.000 --> 00:04:41.000]  不知大家同不同意
[00:04:41.000 --> 00:04:44.000]  應該是同行的身份
[00:04:44.000 --> 00:04:48.000]  很多時候我們會問領袖
[00:04:48.000 --> 00:04:49.000]  今晚領修
[00:04:49.000 --> 00:04:51.000]  有沒有讀過一次聖經
[00:04:51.000 --> 00:04:53.000]  讀過多少次聖經
[00:04:53.000 --> 00:04:57.000]  我們應該不是要求對方讀多少次聖經
[00:04:57.000 --> 00:05:01.000]  其實是要認真地跟他查聖經
[00:05:01.000 --> 00:05:04.000]  好好預備講道的宣講
[00:05:04.000 --> 00:05:06.000]  令他們尊重神的話語
[00:05:06.000 --> 00:05:08.000]  喜歡神的話語
[00:05:08.000 --> 00:05:12.000]  以至不能制止他讀聖經
[00:05:12.000 --> 00:05:14.000]  同樣的
[00:05:14.000 --> 00:05:18.000]  牧羊對象的生命成長
[00:05:18.000 --> 00:05:23.000]  不是為了填補教會的侍奉崗位缺乏
[00:05:23.000 --> 00:05:25.000]  而是通過正確的侍奉觀
[00:05:25.000 --> 00:05:27.000]  幫助他認識自己
[00:05:27.000 --> 00:05:30.000]  了解自己的才幹和恩賜
[00:05:30.000 --> 00:05:34.000]  然後小心翼翼地幫助建立成功的侍奉經驗
[00:05:34.000 --> 00:05:38.000]  以至頂子妹喜歡侍奉
[00:05:38.000 --> 00:05:40.000]  同樣的
[00:05:40.000 --> 00:05:42.000]  同行也代表
[00:05:42.000 --> 00:05:46.000]  剛才說我們跟他的家人生活
[00:05:46.000 --> 00:05:48.000]  我覺得教會是需要
[00:05:48.000 --> 00:05:51.000]  我們不能避免跟頂子妹一起生活
[00:05:51.000 --> 00:05:53.000]  如果對方允許的話
[00:05:53.000 --> 00:05:57.000]  我們跟他吃喝玩耍也很應該
[00:05:57.000 --> 00:06:02.000]  但目標不是為了成為對方生活的一份子
[00:06:02.000 --> 00:06:03.000]  而是藉著一起生活
[00:06:03.000 --> 00:06:06.000]  教導他們生活和信仰的融合
[00:06:06.000 --> 00:06:11.000]  以信仰回應他們生活上的挑戰
[00:06:11.000 --> 00:06:14.000]  最終的目的就是幫助對方
[00:06:14.000 --> 00:06:18.000]  建立屬於自己的信仰群體
[00:06:18.000 --> 00:06:21.000]  甚至他們去到一個健康的地步
[00:06:21.000 --> 00:06:25.000]  就是不再依靠教會的存在與否
[00:06:25.000 --> 00:06:30.000]  當我們盡力給牧羊對象
[00:06:30.000 --> 00:06:31.000]  有一個應有的教導
[00:06:31.000 --> 00:06:33.000]  包括聖經的教導
[00:06:33.000 --> 00:06:36.000]  侍奉的訓練
[00:06:36.000 --> 00:06:38.000]  幫助他學習信仰的反思
[00:06:38.000 --> 00:06:41.000]  生活和信仰的融合
[00:06:41.000 --> 00:06:45.000]  以至他們有自己信仰群體的建立
