
[00:00:00.000 --> 00:00:03.520]  [音乐]
[00:00:03.520 --> 00:00:07.040]  今天的课题是
[00:00:07.040 --> 00:00:10.400]  打破对迹场的争论
[00:00:10.400 --> 00:00:14.840]  重建教会教导公职
[00:00:14.840 --> 00:00:17.240]  大家看到这幅油画
[00:00:17.240 --> 00:00:22.040]  名字叫《The Scream》
[00:00:22.040 --> 00:00:27.520]  是1893年Edward Munch的作品
[00:00:27.520 --> 00:00:29.800]  大家看到图中的人
[00:00:29.800 --> 00:00:31.520]  在尖叫
[00:00:31.520 --> 00:00:33.320]  但身边的人
[00:00:33.320 --> 00:00:35.120]  后场的人
[00:00:35.120 --> 00:00:38.560]  好像听不见
[00:00:38.560 --> 00:00:42.400]  而且你见到身边的环境
[00:00:42.400 --> 00:00:45.040]  好像出现一些扭曲
[00:00:45.040 --> 00:00:47.000]  而那种扭曲
[00:00:47.000 --> 00:00:49.200]  是将尖叫的人
[00:00:49.200 --> 00:00:50.880]  他的身体
[00:00:50.880 --> 00:00:52.640]  和他的声音
[00:00:52.640 --> 00:00:57.120]  好像都扭曲在一起
[00:00:57.120 --> 00:00:58.920]  再听真一点
[00:00:58.920 --> 00:01:01.120]  你会觉得
[00:01:01.120 --> 00:01:03.000]  他所尖叫的
[00:01:03.000 --> 00:01:04.920]  他发的声音
[00:01:04.920 --> 00:01:08.440]  其实被环境吸收了
[00:01:08.440 --> 00:01:10.800]  没有人听到
[00:01:10.800 --> 00:01:12.320]  这幅图
[00:01:12.320 --> 00:01:15.360]  我觉得很能代表教会
[00:01:15.360 --> 00:01:18.720]  对迹场的那种沉默
[00:01:18.720 --> 00:01:20.600]  迹场弟兄姊妹
[00:01:20.600 --> 00:01:22.360]  他的声音
[00:01:22.360 --> 00:01:25.080]  被沉默
[00:01:25.080 --> 00:01:30.000]  听听弟兄姊妹的心声
[00:01:30.000 --> 00:01:32.880]  有些翻印工的弟兄姊妹会这样说
[00:01:32.880 --> 00:01:35.240]  我们很多人在教会
[00:01:35.240 --> 00:01:37.480]  我们很多人其实当教会
[00:01:37.480 --> 00:01:41.600]  是舒缓平日精神压力的地方
[00:01:41.600 --> 00:01:43.000]  工作
[00:01:43.000 --> 00:01:46.880]  不是教会的人想听的东西
[00:01:46.880 --> 00:01:48.600]  有些这样说
[00:01:48.600 --> 00:01:52.320]  教会是专注属灵士的地方
[00:01:52.320 --> 00:01:54.520]  我其实不是很肯定
[00:01:54.520 --> 00:01:57.200]  教会那些人是否真的想
[00:01:57.200 --> 00:02:00.840]  在迹场扮演任何角色
[00:02:00.840 --> 00:02:03.440]  这两句话都反映
[00:02:03.440 --> 00:02:05.280]  信徒感到教会
[00:02:05.280 --> 00:02:09.560]  不是一个谈论迹场事的地方
[00:02:09.560 --> 00:02:13.800]  不是因为迹场事对信徒的生命不重要
[00:02:13.800 --> 00:02:15.000]  相反
[00:02:15.000 --> 00:02:18.240]  迹场往往是信仰挣扎
[00:02:18.240 --> 00:02:20.760]  最严厉的地方
[00:02:20.760 --> 00:02:22.000]  举两个例子
[00:02:22.000 --> 00:02:26.320]  有位弟兄他是电视台的营业代表
[00:02:26.320 --> 00:02:30.320]  为了找广告而很挣扎
[00:02:30.320 --> 00:02:34.040]  因为他要找些广告商赞助一个
[00:02:34.040 --> 00:02:39.440]  里面包含色情成分的节目
