
[00:00:00.000 --> 00:00:02.000]  明天和意外
[00:00:02.000 --> 00:00:05.000]  永遠不知道哪個先來
[00:00:05.000 --> 00:00:09.000]  這是近來常聽到的一句感嘆之言
[00:00:09.000 --> 00:00:10.000]  其實
[00:00:10.000 --> 00:00:12.000]  發源於古印度的佛教
[00:00:12.000 --> 00:00:14.000]  早在2500年前
[00:00:14.000 --> 00:00:17.000]  就發現了這個世界的真相
[00:00:17.000 --> 00:00:19.000]  就是人生無常
[00:00:19.000 --> 00:00:21.000]  世事無常
[00:00:21.000 --> 00:00:25.000]  宇宙萬物都在變化中生滅不息
[00:00:25.000 --> 00:00:29.000]  故此人世間一切皆夢幻泡影
[00:00:29.000 --> 00:00:31.000]  如露亦如電
[00:00:31.000 --> 00:00:32.000]  於是
[00:00:32.000 --> 00:00:36.000]  佛教給予云云衆生的出路就是
[00:00:36.000 --> 00:00:37.000]  經過
[00:00:37.000 --> 00:00:38.000]  看破
[00:00:38.000 --> 00:00:40.000]  放下
[00:00:40.000 --> 00:00:44.000]  勸人對任何事物都不要有執念
[00:00:44.000 --> 00:00:46.000]  而另一邊鄉
[00:00:46.000 --> 00:00:47.000]  2300年前
[00:00:47.000 --> 00:00:50.000]  生活在戰國亂世的莊子
[00:00:50.000 --> 00:00:54.000]  也發現人生而悲哀
[00:00:54.000 --> 00:00:56.000]  一受其成形
[00:00:56.000 --> 00:00:58.000]  不忘以待盡
[00:00:58.000 --> 00:01:00.000]  與物相認相摩
[00:01:00.000 --> 00:01:02.000]  其行盡如遲
[00:01:02.000 --> 00:01:04.000]  而莫之能止
[00:01:04.000 --> 00:01:06.000]  不以悲乎
[00:01:06.000 --> 00:01:09.000]  終身意義而不見其成功
[00:01:09.000 --> 00:01:12.000]  涅然疲憊而不知其所歸
[00:01:12.000 --> 00:01:14.000]  可不哀哉
[00:01:14.000 --> 00:01:16.000]  人爲之不死
[00:01:16.000 --> 00:01:17.000]  惜異
[00:01:17.000 --> 00:01:19.000]  其形化
[00:01:19.000 --> 00:01:21.000]  其心與之然
[00:01:21.000 --> 00:01:24.000]  可不謂大哀乎
[00:01:24.000 --> 00:01:26.000]  人之生也
[00:01:26.000 --> 00:01:29.000]  故若是盲乎
[00:01:29.000 --> 00:01:32.000]  這段話的意思是說
[00:01:32.000 --> 00:01:35.000]  人一旦承受形體而出生
[00:01:35.000 --> 00:01:38.000]  就執着於外在的形體而存在
[00:01:38.000 --> 00:01:41.000]  只等到生命的終結
[00:01:41.000 --> 00:01:45.000]  人一生與他者相互廝殺
[00:01:45.000 --> 00:01:47.000]  摩擦衝突
[00:01:47.000 --> 00:01:50.000]  追逐奔馳而停不下來
[00:01:50.000 --> 00:01:52.000]  實在是悲哀
[00:01:52.000 --> 00:01:54.000]  終身忙碌勞苦
[00:01:54.000 --> 00:01:56.000]  卻不見成功
[00:01:56.000 --> 00:01:58.000]  疲憊困頓
[00:01:58.000 --> 00:02:00.000]  不堪卻不知歸宿
[00:02:00.000 --> 00:02:02.000]  豈不哀痛
[00:02:02.000 --> 00:02:04.000]  這種人就算長生不死
[00:02:04.000 --> 00:02:08.000]  又有什麼益處呢
[00:02:08.000 --> 00:02:10.000]  他在外在的軀體
[00:02:10.000 --> 00:02:12.000]  耗損衰老
[00:02:12.000 --> 00:02:15.000]  內在的心靈也隨之遲鈍麻木
[00:02:15.000 --> 00:02:18.000]  這還不算是大悲哀嗎
[00:02:18.000 --> 00:02:20.000]  人生在世
[00:02:20.000 --> 00:02:24.000]  真的是如此的茫然嗎
[00:02:24.000 --> 00:02:26.000]  幾經思考之後呢
[00:02:26.000 --> 00:02:29.000]  莊子就做出了他的選擇
[00:02:29.000 --> 00:02:31.000]  既然生命短暫
[00:02:31.000 --> 00:02:33.000]  世事無常
[00:02:33.000 --> 00:02:36.000]  那麼就不如在大自然中逍遙
[00:02:36.000 --> 00:02:38.000]  觀賞世間的百態
[00:02:38.000 --> 00:02:40.000]  最終進入奇萬物
[00:02:40.000 --> 00:02:44.000]  一生死的自由境界
[00:02:44.000 --> 00:02:45.000]  莊子的逍遙
[00:02:45.000 --> 00:02:47.000]  似乎比佛教的放下
[00:02:47.000 --> 00:02:50.000]  顯得更爲積極
[00:02:50.000 --> 00:02:53.000]  且開啓了通往東方藝術的大門
[00:02:53.000 --> 00:02:54.000]  由此可見
[00:02:54.000 --> 00:02:56.000]  在生命本無常
[00:02:56.000 --> 00:02:59.000]  無常世如常的現實當中
[00:02:59.000 --> 00:03:02.000]  人仍然可以發現美
[00:03:02.000 --> 00:03:03.000]  在這一點上
[00:03:03.000 --> 00:03:05.000]  日本傳統的藝術
[00:03:05.000 --> 00:03:08.000]  就相當的成就不俗
[00:03:08.000 --> 00:03:09.000]  日本人的美感
[00:03:09.000 --> 00:03:10.000]  正是建基於
[00:03:10.000 --> 00:03:14.000]  無常所引發的悠然神傷之情
[00:03:14.000 --> 00:03:15.000]  也就是悟哀
[00:03:15.000 --> 00:03:17.000]  もののあわれ
[00:03:17.000 --> 00:03:18.000]  所以
[00:03:18.000 --> 00:03:20.000]  他們發現如夢如畫
[00:03:20.000 --> 00:03:22.000]  但卻很快凋謝的櫻花
[00:03:22.000 --> 00:03:24.000]  是美的
[00:03:24.000 --> 00:03:25.000]  經過歲月侵蝕
[00:03:25.000 --> 00:03:28.000]  風化斑駁的石像
[00:03:28.000 --> 00:03:29.000]  是美的
[00:03:29.000 --> 00:03:31.000]  破碎殘缺
[00:03:31.000 --> 00:03:32.000]  雖經修補
[00:03:32.000 --> 00:03:34.000]  但卻不完整的
[00:03:34.000 --> 00:03:36.000]  金雞器皿
[00:03:36.000 --> 00:03:37.000]  是美的
[00:03:37.000 --> 00:03:40.000]  人在無常的現實當中
[00:03:40.000 --> 00:03:42.000]  儘管可以在某種程度上
[00:03:42.000 --> 00:03:44.000]  發現正面的價值
