
[00:00:00.000 --> 00:00:04.000]  各位主內鼎姊妹,平安!
[00:00:04.000 --> 00:00:08.000]  歡迎你們來參加
[00:00:08.000 --> 00:00:14.000]  中國神學研究院今年所舉辦北美的培靈講座
[00:00:14.000 --> 00:00:20.000]  和李詠廷博士,我們舊約的老師
[00:00:20.000 --> 00:00:24.000]  詠廷老師會從路德基教授
[00:00:24.000 --> 00:00:31.000]  和我們探討困苦到恩典的心路歷程
[00:00:31.000 --> 00:00:36.000]  詠廷老師是我們忠臣儲備師之
[00:00:36.000 --> 00:00:42.000]  在學院受訓,他畢業之後加入
[00:00:42.000 --> 00:00:49.000]  成為我們45年來頭一位舊約師
[00:00:49.000 --> 00:00:59.000]  成為我們45年來頭一位舊約聖經科的女教授
[00:00:59.000 --> 00:01:01.000]  所以我們感謝神
[00:01:01.000 --> 00:01:06.000]  年輕一代的同工陸續加入
[00:01:06.000 --> 00:01:10.000]  各位弟兄姊妹,主內平安!
[00:01:10.000 --> 00:01:15.000]  在這裡也特別向身處北美的弟兄姊妹問安
[00:01:15.000 --> 00:01:18.000]  雖然我們相隔了一個海洋
[00:01:18.000 --> 00:01:23.000]  但感恩我們透過網絡仍然可以一起分享神的話
[00:01:23.000 --> 00:01:27.000]  在這個疫情,我們更加感覺到
[00:01:27.000 --> 00:01:31.000]  整個世界都在同一天空下
[00:01:31.000 --> 00:01:38.000]  因為我們都面對著這個疫情帶給我們各方面的危機和挑戰
[00:01:38.000 --> 00:01:41.000]  過去這一年,無論我們身處在什麼地方
[00:01:41.000 --> 00:01:47.000]  相信都體會到人生有很多事情我們無法掌控
[00:01:47.000 --> 00:01:51.000]  疫情說來就來,一浪接一浪
[00:01:51.000 --> 00:01:55.000]  生活大小的事都完全被打亂
[00:01:55.000 --> 00:02:01.000]  還有身心、社靈可能都面對不少衝擊
[00:02:01.000 --> 00:02:06.000]  在生活上,因為疫情帶來經濟的挑戰
[00:02:06.000 --> 00:02:09.000]  很多人都要面對失業、陷在困境
[00:02:09.000 --> 00:02:12.000]  生活突然失去保障
[00:02:12.000 --> 00:02:14.000]  而同人的關係上
[00:02:14.000 --> 00:02:19.000]  我想我們為了防疫,很努力保持社交距離
[00:02:19.000 --> 00:02:25.000]  但與此同時,我們與親友相聚的機會少之又少
[00:02:25.000 --> 00:02:30.000]  甚至教會的聚會,我們都很多時候要改在網上
[00:02:30.000 --> 00:02:35.000]  有時都會覺得突然間好像沒有群體,好像只有自己
[00:02:35.000 --> 00:02:40.000]  而我想最難受的,很多時候是心理的壓力
[00:02:40.000 --> 00:02:46.000]  在持續的困局中,我們都覺得做很多事都是徒勞無功
[00:02:46.000 --> 00:02:52.000]  有時都會想,到底上帝何時才出手相救呢?
[00:02:52.000 --> 00:02:56.000]  很多人心中都會覺得很愁苦,甚至憂鬱
[00:02:56.000 --> 00:03:00.000]  我們都好像沒有什麼盼望
[00:03:00.000 --> 00:03:04.000]  在這個時候,有時我們都會想,在這個大時代
[00:03:04.000 --> 00:03:09.000]  像你和我這樣的小人物,我們還可以做些什麼呢?
[00:03:09.000 --> 00:03:14.000]  當我自己預備這個培靈會訊息的時候,我都去祈禱
[00:03:14.000 --> 00:03:18.000]  我都問上帝,在這個話語裡面,在這個時勢
[00:03:18.000 --> 00:03:22.000]  可以怎樣給我們安慰和鼓勵呢?
[00:03:22.000 --> 00:03:25.000]  在這個時候,我讀到《路德記》
[00:03:25.000 --> 00:03:28.000]  我發現原來聖經裡面都有記載著
[00:03:28.000 --> 00:03:35.000]  在一個動盪的大時代裡面,一個小家庭的尋常故事
[00:03:35.000 --> 00:03:40.000]  在裡面沒有什麼驚心動魄的偉大神蹟奇事
[00:03:40.000 --> 00:03:43.000]  也沒有上帝的顯現
[00:03:43.000 --> 00:03:48.000]  甚至沒有一句是由上帝親自說的說話
[00:03:48.000 --> 00:03:51.000]  但是,卻是從路德的身上
[00:03:51.000 --> 00:03:56.000]  我們看見他怎樣從困苦去經歷蒙恩
[00:03:56.000 --> 00:04:02.000]  今天我們又是否可以這樣去經歷呢?
[00:04:02.000 --> 00:04:05.000]  我們看到其實路德身處的時代
[00:04:05.000 --> 00:04:09.000]  都可以說是一個充滿了動盪的時局
[00:04:09.000 --> 00:04:12.000]  我們看到路德記第一章一節這樣說
[00:04:12.000 --> 00:04:17.000]  當事事秉靜的時候,國中遭遇饑荒
[00:04:17.000 --> 00:04:20.000]  大家有讀過《事事記》應該都知道
[00:04:20.000 --> 00:04:23.000]  其實在事事時期是充滿了戰爭
[00:04:23.000 --> 00:04:26.000]  很多的外敵攻擊
[00:04:26.000 --> 00:04:30.000]  可以說描述裡面是充滿了暴力和混亂
[00:04:30.000 --> 00:04:34.000]  加上國中遭遇饑荒
[00:04:34.000 --> 00:04:36.000]  可以說在當時的大環境
