
[00:00:00.000 --> 00:00:10.000]  非常多謝黃博士幫我預備好道路
[00:00:10.000 --> 00:00:22.000]  很精彩的,亦有很豐富的資料加上黃博士過往在這方面的工作和研究
[00:00:22.000 --> 00:00:27.000]  是一個很大開眼界的一個presentation
[00:00:27.000 --> 00:00:35.000]  黃博士剛才一直不斷說信仰是決定我們的價值,價值決定理念
[00:00:35.000 --> 00:00:41.000]  然後再出所有以後的無論是條例政策等等
[00:00:41.000 --> 00:00:47.000]  所以在這裡真的同感一靈,我預備的時候也在想
[00:00:47.000 --> 00:00:54.000]  我要大會給我的講題是一個開發土地的神學反思
[00:00:54.000 --> 00:00:58.000]  在裡面應該怎麼討論呢?進度應該是怎樣呢?
[00:00:58.000 --> 00:01:03.000]  我一直在想,當我們說土地開發的時候
[00:01:03.000 --> 00:01:08.000]  一定是有很多很技術性的東西要去考慮
[00:01:08.000 --> 00:01:11.000]  那些都是很重大的課題
[00:01:11.000 --> 00:01:16.000]  但是我們明天會有兩位在這方面很有研究的人
[00:01:16.000 --> 00:01:24.000]  他們會帶領我們一起去由不同的角度去思考他們對於這件事的看法
[00:01:24.000 --> 00:01:31.000]  我相信他們的討論可以更加深化我們在這方面的思考和討論
[00:01:31.000 --> 00:01:35.000]  神學在這裡我覺得有另外一個很重要的任務
[00:01:35.000 --> 00:01:42.000]  神學不是要為任何一套土地發展的方案去背書
[00:01:42.000 --> 00:01:50.000]  最重要要關注的是生活在一個具體的居住環境裡面的人
[00:01:50.000 --> 00:01:53.000]  他們現在的處境是一個怎樣的處境
[00:01:53.000 --> 00:01:55.000]  他們的生命是一個什麼樣的狀況
[00:01:55.000 --> 00:02:02.000]  我想特別神學要關注的是信徒在這個生活的領域裡面
[00:02:02.000 --> 00:02:04.000]  在居住這個生活的領域裡面
[00:02:04.000 --> 00:02:13.000]  我們的價值觀我們的行事為人究竟有多大程度上是和我們所信的道相稱
[00:02:13.000 --> 00:02:19.000]  這個才是神學最關注也是需要最多思考的地方
[00:02:19.000 --> 00:02:24.000]  所以我一會兒會和大家首先去看一看
[00:02:24.000 --> 00:02:29.000]  我們這個城市裡面透過居住的生活裡面
[00:02:29.000 --> 00:02:32.000]  我們的體驗究竟是一個怎樣的體驗
[00:02:32.000 --> 00:02:34.000]  我會嘗試和大家一起去
[00:02:34.000 --> 00:02:35.000]  大家其實都很熟悉的
[00:02:35.000 --> 00:02:40.000]  不過我嘗試是一起去勾勒我們這個城市裡面
[00:02:40.000 --> 00:02:42.000]  由居住這件事裡面
[00:02:42.000 --> 00:02:46.000]  折射出一個怎樣的獨特的生活的面貌
