
[00:00:00.000 --> 00:00:14.600]  現在時間是開咪,同工同老師都可以一起分享一下
[00:00:14.600 --> 00:00:22.280]  我見到在online questions上,大家都開始問了很多問題
[00:00:22.280 --> 00:00:36.680]  我會和Raymond一起解答,並且有些問題可能會和Gin老師剛剛提出的照明課題有些關係
[00:00:36.680 --> 00:00:43.480]  可能會請Gin老師或其他老師同工分享
[00:00:43.480 --> 00:00:50.040]  我先說第一個問題,最多人問的,這個應該要交給Raymond幫我回答
[00:00:50.040 --> 00:01:00.440]  學分豁免,我剛剛有張專頁提到成年學生除外,其實成年學生除外是什麼意思呢?
[00:01:00.440 --> 00:01:11.240]  我先介紹一下,我叫Raymond,是學院教務處的同工
[00:01:11.240 --> 00:01:18.280]  會處理大家的入學申請和查詢的問題
[00:01:18.280 --> 00:01:24.440]  我見到online questions有好幾題都是學分豁免相關的問題
[00:01:24.440 --> 00:01:27.960]  第一個先解釋什麼是成年學生
[00:01:27.960 --> 00:01:33.160]  現在開辦的文憑課程,我們稱為後學至文憑課程
[00:01:33.160 --> 00:01:43.240]  即是我們申請入讀的申請者全部都已經有大學學位的資格
[00:01:43.240 --> 00:01:53.480]  過往我們都有一些想進修的信徒,他們本身未有大學學位的資格
[00:01:53.480 --> 00:01:58.920]  他又想讀忠誠課程,他唯一能夠報到的就是我們的文憑課程
[00:01:58.920 --> 00:02:05.800]  有教會的推薦和30歲以上有足夠的工作經驗
[00:02:05.800 --> 00:02:12.280]  我們會讓這些申請人用成年學生的身份申請入讀課程
[00:02:12.280 --> 00:02:21.800]  如果他取錄了,他可以跟其他同學一起上課
[00:02:21.800 --> 00:02:28.120]  唯一的分別是他完成了文憑課程,再進修碩士課程
[00:02:28.120 --> 00:02:36.440]  他在文憑課程的30個學分,我們會用來滿足他的學士學位要求
[00:02:36.440 --> 00:02:41.720]  所以他原則上這些學分就不會帶入他接下來的碩士課程
[00:02:42.200 --> 00:02:48.520]  所以正常學分豁免是一回事
[00:02:48.520 --> 00:02:56.040]  剛才Alex也介紹了我們學院正在開辦的基督教研究文憑課程
[00:02:56.040 --> 00:03:02.200]  裏面有25個學分,我們都稱為基礎學分
[00:03:02.200 --> 00:03:07.560]  其實跟我們正在讀的基督教研究碩士和道學碩士
[00:03:07.560 --> 00:03:11.400]  他們原則上第一年所修的基礎科目是一樣的
[00:03:11.400 --> 00:03:19.720]  即是如果你完成了文憑課程,又想繼續進入碩士課程
[00:03:19.720 --> 00:03:28.440]  你原則上轉入碩士課程,就不需要再修這20多個學分的文憑課程的基礎學分
[00:03:28.440 --> 00:03:33.960]  即是說,如果不是成年學生的情況
[00:03:33.960 --> 00:03:39.320]  其實他完成了文憑課程,轉入碩士課程
[00:03:39.320 --> 00:03:43.320]  原則上碩士課程要求他60個學分完成
[00:03:43.320 --> 00:03:47.960]  其實他起碼有20多個學分已經豁免了
[00:03:47.960 --> 00:03:53.400]  相對補40多個學分,他就完成了碩士課程
[00:03:53.400 --> 00:03:55.000]  是這樣運作的
[00:03:55.000 --> 00:04:00.920]  所以唯一的分別是文憑課程可能沒有了這個便捷
[00:04:00.920 --> 00:04:03.480]  即是他要再修20多個學分
[00:04:03.480 --> 00:04:08.760]  當然我們不會叫他重修那些神學基礎的科目
[00:04:08.760 --> 00:04:13.880]  雖然在碩士或是道學碩士課程裏面有這些科目
[00:04:13.880 --> 00:04:18.040]  但那20多個學分就會用來做一些選修學分
[00:04:18.040 --> 00:04:20.600]  即是相對要多讀一點選修
[00:04:20.600 --> 00:04:24.920]  滿足一個60個學分或90個學分的要求
[00:04:24.920 --> 00:04:27.160]  視乎他在報一個甚麼的碩士課程
[00:04:27.160 --> 00:04:34.280]  順帶一提,有人問這些學分豁免有沒有期限呢?
[00:04:34.280 --> 00:04:36.520]  是有的,我們在說的是
[00:04:36.520 --> 00:04:43.800]  10年內如果校友回來,即是文憑畢業校友回來再進修碩士課程
[00:04:43.800 --> 00:04:47.480]  那些學分我們就可以幫他做到豁免
[00:04:47.480 --> 00:04:50.360]  因為你可以想像,如果過了10年
[00:04:50.360 --> 00:04:53.560]  其實等於我現在想10年前中上的課程
[00:04:53.560 --> 00:05:00.920]  其實那個課程的結構、模式或內容都會有很大的變化
[00:05:00.920 --> 00:05:06.040]  所以在學分豁免上,我們就設定了一個10年的期限
[00:05:06.760 --> 00:05:11.480]  我估計學分的部分大致上是這樣
[00:05:11.480 --> 00:05:18.040]  有一個問題是關於學分轉任何課程都可以嗎?
[00:05:18.040 --> 00:05:22.200]  這個問題都是跟學分有關的
[00:05:22.200 --> 00:05:24.600]  另外就是每個學期是不是5個學分?
[00:05:24.600 --> 00:05:27.960]  Raymond可以幫忙補充一下嗎?
[00:05:27.960 --> 00:05:34.360]  OK,是不是怎樣回答呢?
[00:05:34.360 --> 00:05:41.000]  原則上是的,因為如果你轉入碩士課程
[00:05:41.000 --> 00:05:43.960]  你正在說的是基督教研究,碩士或一道學碩士
[00:05:43.960 --> 00:05:48.600]  那些學分是直接拿到豁免的
[00:05:48.600 --> 00:05:50.120]  但其實應該這樣說
[00:05:50.120 --> 00:05:54.600]  其實視乎你接下來進入的是一個怎樣的課程
[00:05:54.600 --> 00:05:57.320]  我為何有些猶豫呢?
[00:05:57.320 --> 00:06:01.640]  我心想,如果你完成這個課程
[00:06:01.640 --> 00:06:07.960]  你接下來進入的是基督教婚姻與家庭輔導碩士課程
[00:06:07.960 --> 00:06:11.560]  你會發現那是一個60學分的課程
[00:06:11.560 --> 00:06:16.040]  但那個課程本身期望你已經有神學的基礎
[00:06:16.040 --> 00:06:21.000]  所以你在文憑裏面讀的那30個學分
[00:06:21.000 --> 00:06:26.200]  未必可以在輔導課裏面拿到學分豁免
[00:06:26.200 --> 00:06:31.080]  所以其實是視乎你接下來的課程裏面
[00:06:31.080 --> 00:06:37.400]  那個課程的要求是否在文憑課程裏面已經讀了相關的課目
[00:06:37.400 --> 00:06:40.040]  這樣理解會好一點
[00:06:40.040 --> 00:06:44.600]  另外,說到修讀的模式
[00:06:44.600 --> 00:06:49.720]  我見到有人問,是不是30個學分一定是3年裏面完成的呢?
[00:06:49.720 --> 00:06:51.320]  原則上是的
[00:06:51.320 --> 00:06:55.800]  其實你用一個數學簡單的運算
[00:06:55.800 --> 00:06:59.960]  一個學年最少讀30個學分
[00:06:59.960 --> 00:07:08.440]  其實每個學期我們說的是一個兩科最多三科
[00:07:08.440 --> 00:07:12.440]  因為有人問,如果我想讀多一點,最多可以讀多少學分呢?
[00:07:12.440 --> 00:07:17.800]  其實我們兼職的同學最多一個學期收9個學分
[00:07:17.800 --> 00:07:19.160]  即是三科
[00:07:19.160 --> 00:07:24.920]  其實現在我們的編排,同學不只讀5個學分
[00:07:24.920 --> 00:07:26.760]  他會讀到6個學分
[00:07:26.760 --> 00:07:30.040]  因為讀兩科,我們3個學分一科
[00:07:30.040 --> 00:07:34.520]  其實是6個學分一個學期
[00:07:34.520 --> 00:07:40.600]  所以原則上,如果他沒有減過科
[00:07:40.600 --> 00:07:43.160]  其實兩年半就完成了課程
[00:07:43.160 --> 00:07:47.160]  要不30個學分,可以嗎?
[00:07:47.160 --> 00:07:55.480]  Raymond,我想你剛才是想說每個學年是10個學分,是嗎?
[00:07:55.480 --> 00:07:57.480]  是的,每個學年
[00:07:57.480 --> 00:08:02.520]  關於學分,先說到這裏
[00:08:02.520 --> 00:08:07.000]  有另一條問題,不如說一下Gin老師在我們中間
[00:08:07.000 --> 00:08:15.960]  因為都有些觀眾想跟進一下剛才的訊息的內容
[00:08:15.960 --> 00:08:21.480]  其中一個問題是如何清楚自己的照明
[00:08:21.480 --> 00:08:23.960]  這個Gin老師可以回應
[00:08:23.960 --> 00:08:27.800]  另外,她也有一個問題是關於短片
[00:08:27.800 --> 00:08:32.200]  因為剛才網絡問題,我的控制問題錯過了一些
[00:08:32.200 --> 00:08:35.880]  會不會可以再看呢?
[00:08:35.880 --> 00:08:41.640]  我們會再安排,會再安排,看看如何放到網上給大家看
[00:08:41.640 --> 00:08:46.440]  請Gin老師在此回應
[00:08:46.440 --> 00:08:49.960]  如何清楚神給我們的照明
[00:08:49.960 --> 00:08:52.520]  我想很多人都想問這個問題
[00:08:52.520 --> 00:08:55.160]  我有一個壞消息,有一個好消息
[00:08:55.160 --> 00:08:58.200]  壞消息是你不會清楚
