
[00:00:00.000 --> 00:00:07.000]  唯獨聖經之後,所有的言說都是註腳的,
[00:00:07.000 --> 00:00:09.000]  所以註腳也可以很長的。
[00:00:09.000 --> 00:00:15.000]  我先在幾段經文,第一段是在《創世紀》第一章。
[00:00:15.000 --> 00:00:32.000]  聖經說,上帝就注著他的形象做人,注著上帝的形象創造他們,他創造了他們,有男有女。
[00:00:32.000 --> 00:00:36.000]  這段聖經是我核本修訂版的。
[00:00:36.000 --> 00:00:40.000]  第二段經文是在《創世紀》第二章。
[00:00:40.000 --> 00:01:01.000]  聖經說,上帝就用男人身上所取的肋骨,做了一個女人,帶她到男人面前,因此人要離開父母,與妻子結合,二人成為一體。
[00:01:01.000 --> 00:01:06.000]  第三段經文,《馬學福音》第十章。
[00:01:06.000 --> 00:01:25.000]  耶穌對他們說,上帝做人是做男做女,二人成為一體,既如此,夫妻不再是兩個人,而是一體的了,所以上帝配合的人不可分開。
[00:01:25.000 --> 00:01:32.000]  這個環節的題目是,「問世間,性是何物?」
[00:01:32.000 --> 00:01:37.000]  我們主題是,「面對同性戀」。
[00:01:37.000 --> 00:01:49.000]  今天在公共領域說同性戀,總是在公義、平等、權力、自由、選擇、多元的框架裡面說。
[00:01:49.000 --> 00:01:57.000]  但很奇怪的是,很少直接的說性,或者具體的性關係。
[00:01:57.000 --> 00:02:04.000]  就算是說,也會立刻將性和性傾向連在一起說。
[00:02:04.000 --> 00:02:15.000]  簡單的、敘述的將性或者性傾向,由異性、同性、相性等不同的類型。
[00:02:15.000 --> 00:02:23.000]  基本上先假設異性、同性、相性,本質上是沒什麼不同的。
[00:02:23.000 --> 00:02:29.000]  都是人的性或者性傾向的不同表現。
[00:02:29.000 --> 00:02:44.000]  但如果我們從身體、從男女、性別、性關係和行為、性的結合、union、合一、oneness、性的意義來看性,
[00:02:44.000 --> 00:02:53.000]  我們就會看到很不同的另一幅性的圖畫,都會更加清楚的認識性的本質。
[00:02:53.000 --> 00:03:00.000]  認識男女之間的親密身體關係和性行為,
[00:03:00.000 --> 00:03:08.000]  和男男之間的女女之間的親密身體關係和性行為,
[00:03:08.000 --> 00:03:14.000]  是應該有本質上的差異。
[00:03:14.000 --> 00:03:24.000]  我是看武俠小說長大的,喜歡看武俠小說的人,肯定會看《神鵰俠侶》。
[00:03:24.000 --> 00:03:34.000]  那些年我們一起追女孩的時候,問的是問世間情是何物。
[00:03:34.000 --> 00:03:43.000]  相信這句是金庸三十六部小說當中最廣為讀者熟習的一句。
[00:03:43.000 --> 00:03:51.000]  但情是何物,對今天的年輕人來說,應該是out了。
