
[00:00:00.000 --> 00:00:05.840]  各位網上朋友各位電影姊妹
[00:00:05.840 --> 00:00:08.760]  歡迎大家參加今晚的聚會
[00:00:08.760 --> 00:00:11.240]  我是朱光偉今晚的主持人
[00:00:11.240 --> 00:00:14.760]  今晚的講座題目是
[00:00:14.760 --> 00:00:18.000]  經濟寒冬下重塑教會使命
[00:00:18.000 --> 00:00:21.080]  我猜大家留意到過去一年
[00:00:21.080 --> 00:00:24.640]  香港的疫情新型冠狀病毒
[00:00:24.640 --> 00:00:30.120]  對整個香港社會的經濟
[00:00:30.120 --> 00:00:33.560]  甚至全世界的經濟都有很大影響
[00:00:33.560 --> 00:00:38.040]  我留意到失業率一直惡化
[00:00:38.040 --> 00:00:40.000]  有些公司倒閉
[00:00:40.000 --> 00:00:42.120]  倒閉
[00:00:42.120 --> 00:00:46.280]  我們猜想情況會一直嚴重下去
[00:00:46.280 --> 00:00:51.560]  我想某個程度都會影響教會、堂會
[00:00:51.560 --> 00:00:52.720]  所以今晚很開心
[00:00:52.720 --> 00:00:56.240]  希望透過這個題目
[00:00:56.240 --> 00:00:58.720]  研討究竟在這個情況下
[00:00:58.720 --> 00:01:05.000]  教會的使命應該怎樣去想
[00:01:05.000 --> 00:01:07.400]  今晚邀請到三位嘉賓
[00:01:07.400 --> 00:01:09.800]  在我左手邊
[00:01:09.800 --> 00:01:11.560]  黎廣德宣教師
[00:01:11.560 --> 00:01:15.000]  中華基督教優雅麻地基督堂宣教師
[00:01:15.000 --> 00:01:17.000]  我叫他Alan
[00:01:17.000 --> 00:01:20.280]  打個招呼說hello
[00:01:20.280 --> 00:01:21.920]  大家好
[00:01:21.920 --> 00:01:25.760]  第二位陳全華牧師
[00:01:25.760 --> 00:01:27.800]  博導會雅庚堂主任牧師
[00:01:27.800 --> 00:01:30.440]  我叫他John
[00:01:30.440 --> 00:01:31.720]  大家好
[00:01:31.720 --> 00:01:37.320]  最後最遠的叫蘇慕如老師
[00:01:37.320 --> 00:01:42.160]  是中國神學研究院實踐科助理教授
[00:01:42.160 --> 00:01:44.240]  大家晚上好
[00:01:44.240 --> 00:01:47.000]  雖然今晚隔著螢幕
[00:01:47.000 --> 00:01:51.920]  但希望不會影響分享交流討論的熱情
[00:01:51.920 --> 00:01:53.240]  今晚的情況就是這樣
[00:01:53.240 --> 00:01:55.960]  我們會就相關的課題
[00:01:55.960 --> 00:01:59.800]  請三位一路有些交流討論分享
[00:01:59.800 --> 00:02:03.480]  在我們分享交流的過程中
[00:02:03.480 --> 00:02:07.920]  請你們透過YouTube、Facebook
[00:02:07.920 --> 00:02:10.640]  或留言表達意見
[00:02:10.640 --> 00:02:12.280]  問問題
[00:02:12.280 --> 00:02:13.840]  我們收集問題後
[00:02:13.840 --> 00:02:20.120]  我們會在適當時候回答大家的問題
[00:02:20.120 --> 00:02:23.240]  今晚講座大約一個半小時
[00:02:23.240 --> 00:02:25.240]  但九時半左右完結
[00:02:25.240 --> 00:02:26.520]  事不宜遲
[00:02:26.520 --> 00:02:28.080]  我們開始
[00:02:28.080 --> 00:02:30.720]  不如我們請蘇
[00:02:30.720 --> 00:02:35.840]  我們說經濟的嚴冬
[00:02:35.840 --> 00:02:37.600]  很嚴嗎?
[00:02:37.600 --> 00:02:40.720]  你講一下嚴重的
[00:02:40.720 --> 00:02:44.040]  如果要講嚴冬的境節
[00:02:44.040 --> 00:02:48.840]  我認為要先從一些就業情況
[00:02:48.840 --> 00:02:51.440]  教會的奉獻去想
[00:02:51.440 --> 00:02:56.040]  今天在我們講這些數字之前
[00:02:56.040 --> 00:02:57.280]  我們都想知道
[00:02:57.280 --> 00:03:01.160]  我們現在在螢幕後的參加者
[00:03:01.160 --> 00:03:02.280]  他們是怎樣
[00:03:02.280 --> 00:03:04.680]  所以我們在Facebook
[00:03:04.680 --> 00:03:07.160]  預備了一些Polling
[00:03:07.160 --> 00:03:10.400]  不過在YouTube就未必有
[00:03:10.400 --> 00:03:13.240]  Facebook有四條問題
[00:03:13.240 --> 00:03:15.640]  第一條是我們想知道
[00:03:15.640 --> 00:03:20.000]  各位參加者在現在的堂會中
[00:03:20.000 --> 00:03:23.840]  你的侍奉崗位是甚麼呢?
[00:03:23.840 --> 00:03:27.200]  剛才朱牧問我
[00:03:27.200 --> 00:03:31.400]  嚴冬的景節有多寒
[00:03:31.400 --> 00:03:35.320]  我們可以看一個就業情況的數字
[00:03:35.320 --> 00:03:40.440]  暫時來說已經比較新的
[00:03:40.440 --> 00:03:42.240]  在九月份
[00:03:42.240 --> 00:03:46.320]  香港的失業率是6.8%
[00:03:46.320 --> 00:03:49.920]  其實是25萬人
[00:03:49.920 --> 00:03:52.040]  你這樣看的百分比好像不高
