
[00:00:00.000 --> 00:00:03.740]  待會我們會在中間放一個麥克風
[00:00:03.740 --> 00:00:05.980]  如果你有問題想問的話
[00:00:05.980 --> 00:00:07.500]  歡迎待會出來
[00:00:07.500 --> 00:00:09.700]  不過我是一個主持人
[00:00:09.700 --> 00:00:11.300]  我先坐下來
[00:00:11.300 --> 00:00:14.780]  我有一個特權
[00:00:14.780 --> 00:00:16.700]  先發問第一個問題
[00:00:16.700 --> 00:00:19.480]  我記得剛才Daniel開始的時候
[00:00:19.480 --> 00:00:21.040]  就強調這個世代
[00:00:21.040 --> 00:00:24.540]  很多地洋的本土和個人特色
[00:00:24.540 --> 00:00:25.900]  其實是會出現的
[00:00:25.900 --> 00:00:27.740]  我記得Vance就說到
[00:00:27.740 --> 00:00:30.700]  今天我們面對一個很撕裂的世界
[00:00:30.700 --> 00:00:34.100]  Jean也不斷提到反思協作
[00:00:34.100 --> 00:00:36.740]  聽起來就很好
[00:00:36.740 --> 00:00:39.240]  不過有時候我們做人就很明白
[00:00:39.240 --> 00:00:42.200]  和一些跟你不一樣的人
[00:00:42.200 --> 00:00:44.700]  想起那一類的人你是想避開的
[00:00:44.700 --> 00:00:47.540]  我想今天也會遇到這樣的情形
[00:00:47.540 --> 00:00:49.140]  我還是想聽聽大家
[00:00:49.140 --> 00:00:51.640]  你對於這樣的世代
[00:00:51.640 --> 00:00:55.700]  尤其是這種很不同的家劇之際
[00:00:55.700 --> 00:00:57.800]  你可不可以分享一些經驗
[00:00:57.800 --> 00:01:00.100]  或者是如何給大家一些鼓勵
[00:01:00.100 --> 00:01:01.400]  如何面對這樣的處境
[00:01:01.400 --> 00:01:04.800]  和一些真的跟自己很不同的人
[00:01:04.800 --> 00:01:07.100]  你如何去跟他相處
[00:01:07.100 --> 00:01:09.100]  甚至協作
[00:01:09.100 --> 00:01:20.600]  大家都很謙虛
[00:01:20.600 --> 00:01:23.500]  我先說吧
[00:01:23.500 --> 00:01:24.500]  就
[00:01:24.500 --> 00:01:28.800]  我不算是有很多經驗
[00:01:28.800 --> 00:01:31.400]  是跟自己很不同的人
[00:01:31.400 --> 00:01:33.300]  甚至很難相處的人
[00:01:33.300 --> 00:01:36.000]  一起去合作的情況
[00:01:36.000 --> 00:01:40.600]  不過最近也有一些例子
[00:01:40.600 --> 00:01:42.100]  是跟一些
[00:01:42.100 --> 00:01:46.500]  我想是他的關注和我很不同的人
[00:01:46.500 --> 00:01:48.200]  是有的
[00:01:48.200 --> 00:01:50.000]  有一些這樣的情況
[00:01:50.000 --> 00:01:52.600]  譬如在今年
[00:01:52.600 --> 00:01:53.800]  今年的四月
[00:01:53.800 --> 00:01:57.400]  我們有一些青年的講座
[00:01:57.400 --> 00:02:01.800]  我們是希望探討一些土地的問題
[00:02:01.800 --> 00:02:04.900]  特別是一些關乎土地的信仰
[00:02:04.900 --> 00:02:06.800]  神學的反思等等的問題
